center_std,noise_std,homophily,density,seed,gcn_acc,gcn_f1,mlp_acc,mlp_f1,struct_acc,struct_f1,feat_cv_score,realized_homophily,realized_density
0.5,1.0,high,dense,43.0,1.0,1.0,0.9116666666666667,0.9094232377336205,0.21,0.06932109596436767,0.9449930797142109,0.7998120188713074,0.04
0.5,1.0,high,medium,43.0,0.9866666666666667,0.9867975990292934,0.9083333333333333,0.9044482218954456,0.17666666666666667,0.05987328564421015,0.9449930797142109,0.7994987368583679,0.015
0.5,1.0,high,sparse,43.0,0.89,0.8906456649024687,0.9066666666666667,0.9059228398054476,0.17666666666666667,0.06000628280180217,0.9449930797142109,0.7994987368583679,0.005
0.5,1.0,low,dense,43.0,0.735,0.734205791679971,0.9283333333333333,0.9270528766513472,0.19499999999999998,0.06526805980411692,0.9449930797142109,0.2998120188713074,0.04
0.5,1.0,low,medium,43.0,0.635,0.6336157981439658,0.9183333333333333,0.917635344477087,0.18333333333333335,0.06182031562175714,0.9449930797142109,0.29991644620895386,0.015
0.5,1.0,low,sparse,43.0,0.5716666666666667,0.5654510850377304,0.9033333333333333,0.9008422504419729,0.19333333333333336,0.06468515819440059,0.9449930797142109,0.2982456088066101,0.005
0.5,1.0,medium,dense,43.0,0.985,0.9848650342183164,0.9483333333333333,0.9476918373860347,0.215,0.07076702443011253,0.9449930797142109,0.5498120188713074,0.04
0.5,1.0,medium,medium,43.0,0.8883333333333333,0.8879031839964298,0.93,0.92872912633596,0.19666666666666666,0.06550873139275123,0.9449930797142109,0.5497075915336609,0.015
0.5,1.0,medium,sparse,43.0,0.745,0.7425726685762797,0.9016666666666667,0.9002084609021495,0.17500000000000002,0.05946487337244241,0.9449930797142109,0.548872172832489,0.005
0.5,1.5,high,dense,43.0,1.0,1.0,0.7083333333333334,0.7038795958009129,0.20833333333333334,0.06888576445942665,0.7424593822865622,0.7998120188713074,0.04
0.5,1.5,high,medium,43.0,0.9866666666666667,0.9868949338114322,0.71,0.7005602193831849,0.16333333333333333,0.056074141638843854,0.7424593822865622,0.7994987368583679,0.015
0.5,1.5,high,sparse,43.0,0.8333333333333334,0.8306638449005551,0.6833333333333332,0.6740697612993118,0.17666666666666667,0.06000628280180217,0.7424593822865622,0.7994987368583679,0.005
0.5,1.5,low,dense,43.0,0.655,0.6516449032737421,0.7116666666666666,0.7060348291382391,0.21166666666666667,0.06977823119610581,0.7424593822865622,0.2998120188713074,0.04
0.5,1.5,low,medium,43.0,0.535,0.5340223912619874,0.7000000000000001,0.693142437219418,0.19666666666666666,0.0657291017589348,0.7424593822865622,0.29991644620895386,0.015
0.5,1.5,low,sparse,43.0,0.47833333333333333,0.4708554196752546,0.7066666666666667,0.7005620361120027,0.19333333333333336,0.06468515819440059,0.7424593822865622,0.2982456088066101,0.005
0.5,1.5,medium,dense,43.0,0.965,0.9652015502992627,0.7399999999999999,0.7365438631916529,0.19666666666666666,0.06564453143053689,0.7424593822865622,0.5498120188713074,0.04
