dataset,model,defense,defense_params,seed,homophily,density,test_accuracy,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,ece_test,dp_epsilon,lambda_epsd
Cora,GCN,none,{},42,0.81,0.00144,0.8685,0.8611,0.9823,0.5546,0.5591,0.5593,0.534,0.5594,0.5524,,,0.0461,,0.0
Cora,GCN,epsd,"{""lambda_epsd"": 0.1}",42,0.81,0.00144,0.8663,0.8582,0.9826,0.5543,0.5613,0.5588,0.534,0.5589,0.5561,,,0.0496,,0.1
Cora,GCN,epsd,"{""lambda_epsd"": 0.5}",42,0.81,0.00144,0.8663,0.8593,0.9826,0.5501,0.5606,0.5578,0.5355,0.5548,0.5535,,,0.0529,,0.5
Cora,GCN,epsd,"{""lambda_epsd"": 1.0}",42,0.81,0.00144,0.8693,0.8611,0.9826,0.5406,0.5598,0.5566,0.5306,0.5479,0.5521,,,0.0485,,1.0
Cora,GCN,epsd,"{""lambda_epsd"": 5.0}",42,0.81,0.00144,0.8722,0.8645,0.9822,0.528,0.5451,0.5511,0.5295,0.5381,0.5432,,,0.0511,,5.0
Cora,GraphSAGE,none,{},42,0.81,0.00144,0.8781,0.8723,0.9814,0.644,0.6329,0.6252,0.5709,0.6251,0.6233,,,0.0577,,0.0
Cora,GraphSAGE,epsd,"{""lambda_epsd"": 0.1}",42,0.81,0.00144,0.87,0.8636,0.9814,0.6425,0.6366,0.6237,0.5694,0.6237,0.6248,,,0.0628,,0.1
Cora,GraphSAGE,epsd,"{""lambda_epsd"": 0.5}",42,0.81,0.00144,0.8693,0.8634,0.981,0.6315,0.613,0.6142,0.5635,0.6142,0.6012,,,0.0658,,0.5
Cora,GraphSAGE,epsd,"{""lambda_epsd"": 1.0}",42,0.81,0.00144,0.8708,0.865,0.9803,0.6218,0.599,0.6053,0.5576,0.6053,0.5879,,,0.0689,,1.0
Cora,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",42,0.81,0.00144,0.87,0.8647,0.981,0.561,0.562,0.5818,0.5458,0.5751,0.558,,,0.073,,5.0
Citeseer,GCN,none,{},42,0.7355,0.000823,0.7218,0.6937,0.9085,0.6343,0.6196,0.6354,0.5852,0.6364,0.6333,,,0.1733,,0.0
Citeseer,GCN,epsd,"{""lambda_epsd"": 0.1}",42,0.7355,0.000823,0.7296,0.7014,0.908,0.6351,0.6232,0.6355,0.59,0.6366,0.6339,,,0.167,,0.1
Citeseer,GCN,epsd,"{""lambda_epsd"": 0.5}",42,0.7355,0.000823,0.7266,0.6982,0.9081,0.6333,0.6178,0.6332,0.5882,0.6351,0.627,,,0.1723,,0.5
Citeseer,GCN,epsd,"{""lambda_epsd"": 1.0}",42,0.7355,0.000823,0.726,0.6959,0.9084,0.6317,0.61,0.631,0.5816,0.6361,0.6219,,,0.1751,,1.0
Citeseer,GCN,epsd,"{""lambda_epsd"": 5.0}",42,0.7355,0.000823,0.7296,0.7004,0.9086,0.6373,0.5992,0.6256,0.5828,0.6447,0.6108,,,0.178,,5.0
Citeseer,GraphSAGE,none,{},42,0.7355,0.000823,0.7422,0.7112,0.916,0.7199,0.7103,0.7235,0.6507,0.7234,0.7214,,,0.1495,,0.0
Citeseer,GraphSAGE,epsd,"{""lambda_epsd"": 0.1}",42,0.7355,0.000823,0.744,0.7127,0.9168,0.7128,0.7001,0.7175,0.6495,0.7173,0.7115,,,0.1499,,0.1
Citeseer,GraphSAGE,epsd,"{""lambda_epsd"": 0.5}",42,0.7355,0.000823,0.7422,0.7117,0.914,0.6991,0.6731,0.7031,0.6531,0.7032,0.6853,,,0.1643,,0.5
Citeseer,GraphSAGE,epsd,"{""lambda_epsd"": 1.0}",42,0.7355,0.000823,0.7374,0.7072,0.9121,0.6942,0.6562,0.6983,0.6453,0.6984,0.6676,,,0.1696,,1.0
Citeseer,GraphSAGE,epsd,"{""lambda_epsd"": 5.0}",42,0.7355,0.000823,0.7242,0.6896,0.9115,0.6777,0.607,0.6764,0.6243,0.6776,0.63,,,0.1964,,5.0
