dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase,sigma,variant
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.25}",42,06e54a47c487,0.2188,0.00052,0.3359,0.3191,0.797,0.4612,random_40_20_40,0.3176,0.6121,0.7905,0.7352,0.779,0.723,0.0,0.0217,0.7306,0.7306,0.7928,0.7359,,,0.5683,0.5469,0.0023,0.027,0.241,17.0554,1,,select,0.25,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.25}",123,06e54a47c487,0.2188,0.00052,0.3197,0.3224,0.8207,0.501,random_40_20_40,0.2955,0.6143,0.8054,0.751,0.7927,0.7372,0.0,0.025,0.7505,0.7505,0.8049,0.7497,,,0.5598,0.5487,0.0112,0.0365,0.2555,17.3842,1,,select,0.25,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",42,06e54a47c487,0.2188,0.00052,0.3312,0.3191,0.752,0.4207,random_40_20_40,0.3153,0.6003,0.7666,0.7161,0.7552,0.703,0.0,0.0171,0.7104,0.7104,0.7674,0.7158,,,0.5556,0.5372,0.003,0.0253,0.245,19.0757,1,,select,0.35,
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",123,06e54a47c487,0.2188,0.00052,0.3138,0.3243,0.7714,0.4576,random_40_20_40,0.2914,0.6003,0.7813,0.7289,0.7727,0.7227,0.0,0.0247,0.7288,0.7288,0.7822,0.728,,,0.5514,0.5433,0.0148,0.0457,0.2602,21.3667,1,,select,0.35,
Actor,GraphSAGE,none,{},42,06e54a47c487,0.2188,0.00052,0.327,0.325,0.903,0.576,random_40_20_40,0.3146,0.6554,0.8756,0.7984,0.8401,0.777,0.0013,0.0115,0.788,0.788,0.8747,0.7993,,,0.6159,0.5855,0.0026,0.0303,0.2703,5.7884,1,,confirm,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.2188,0.00052,0.297,0.2928,0.6562,0.3592,random_40_20_40,0.2817,0.5708,0.7383,0.6951,0.7411,0.6898,0.0,0.0,0.6796,0.6796,0.7386,0.6891,,,0.5478,0.5329,0.0043,0.0332,0.2794,5.332,1,,confirm,,lbp
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",42,06e54a47c487,0.2188,0.00052,0.3312,0.3191,0.752,0.4207,random_40_20_40,0.3153,0.6003,0.7666,0.7161,0.7552,0.703,0.0,0.0171,0.7104,0.7104,0.7674,0.7158,,,0.5558,0.5373,0.003,0.0253,0.245,17.435,1,,confirm,,sami_selected
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",42,06e54a47c487,0.2188,0.00052,0.3312,0.3191,0.752,0.4207,random_40_20_40,0.3153,0.6003,0.7666,0.7161,0.7552,0.703,0.0,0.0171,0.7104,0.7104,0.7673,0.7161,,,0.5556,0.5368,0.003,0.0253,0.245,17.5894,1,,confirm,,sami_locked035
Actor,GraphSAGE,none,{},123,06e54a47c487,0.2188,0.00052,0.3414,0.3375,0.9105,0.5691,random_40_20_40,0.3261,0.6627,0.8746,0.7977,0.8355,0.7806,0.0013,0.0128,0.7845,0.7845,0.872,0.7895,,,0.5983,0.5837,0.0053,0.0349,0.2554,6.2874,1,,confirm,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.2188,0.00052,0.2849,0.2816,0.6618,0.377,random_40_20_40,0.2711,0.5902,0.734,0.6901,0.7395,0.6954,0.0,0.0299,0.6885,0.6885,0.7361,0.6911,,,0.536,0.5349,0.003,0.0266,0.2892,5.514,1,,confirm,,lbp
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",123,06e54a47c487,0.2188,0.00052,0.3132,0.323,0.772,0.4589,random_40_20_40,0.2903,0.6005,0.7817,0.7276,0.7728,0.722,0.0,0.0243,0.7294,0.7294,0.7825,0.7303,,,0.5517,0.5434,0.0138,0.0454,0.2603,17.6146,1,,confirm,,sami_selected
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",123,06e54a47c487,0.2188,0.00052,0.3132,0.323,0.772,0.4589,random_40_20_40,0.2904,0.6004,0.7817,0.7276,0.7728,0.7224,0.0,0.0243,0.7294,0.7294,0.7826,0.7299,,,0.5518,0.5437,0.0138,0.0454,0.2603,18.803,1,,confirm,,sami_locked035
Actor,GraphSAGE,none,{},456,06e54a47c487,0.2188,0.00052,0.3375,0.3178,0.9095,0.572,random_40_20_40,0.3259,0.6599,0.8798,0.8063,0.84,0.7826,0.0013,0.0122,0.786,0.786,0.8788,0.8013,,,0.6151,0.5868,0.0151,0.0444,0.2604,5.4593,1,,confirm,,none
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",456,06e54a47c487,0.2188,0.00052,0.2796,0.2809,0.653,0.3734,random_40_20_40,0.2645,0.572,0.7366,0.6924,0.7376,0.6947,0.0,0.026,0.6867,0.6867,0.7362,0.6908,,,0.5619,0.5467,0.0036,0.0349,0.2995,5.4733,1,,confirm,,lbp
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""noise_scale"": 0.35}",456,06e54a47c487,0.2188,0.00052,0.3095,0.3533,0.7691,0.4595,random_40_20_40,0.2939,0.607,0.7869,0.7329,0.7771,0.7266,0.0,0.0,0.7298,0.7298,0.7884,0.7359,,,0.5604,0.5428,0.0099,0.0336,0.2633,18.3597,1,,confirm,,sami_selected
