dataset,seed,none_topdecile_conf_auroc,sami_topdecile_conf_auroc,delta,n_topdecile_members
Cora,42,0.5740573795123124,0.38283969031891474,-0.19121768919339766,169
Cora,123,0.5360110803324101,0.36169724912776463,-0.17431383120464544,149
Cora,456,0.54330819739407,0.360011413768339,-0.18329678362573099,144
Citeseer,42,0.6095377731926394,0.4784249301950054,-0.13111284299763393,134
Citeseer,123,0.6356345644351299,0.48146921586460517,-0.15416534857052472,152
Citeseer,456,0.6805008079207105,0.46714284244002346,-0.21335796548068708,146
Actor,42,0.8041462418300653,0.6053663570691434,-0.1987798847609219,306
Actor,123,0.8230072609114247,0.6795686577342748,-0.14343860317714996,328
Actor,456,0.8174196369087275,0.6389667305129912,-0.1784529063957363,316
Chameleon,42,0.804527696139183,0.6783754116355654,-0.1261522845036176,93
Chameleon,123,0.8125310532093132,0.6649026517996418,-0.14762840140967137,95
Chameleon,456,0.853377698499817,0.7032336260519576,-0.15014407244785943,96
