dataset,model,defense,defense_params,seed,homophily,density,train_time_seconds,test_accuracy,test_f1,test_auroc,train_ego_gap,train_ego_gap_std,test_ego_gap,test_ego_gap_std,ego_gap_diff,conf_attack_auc,conf_attack_acc,conf_attack_tpr01,conf_attack_tpr05,conf_attack_adv,threshold_attack_auc,threshold_attack_acc,threshold_attack_tpr01,threshold_attack_tpr05,threshold_attack_adv,shadow_attack_auc,shadow_attack_acc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,label_only_attack_auc,label_only_attack_acc,label_only_attack_tpr01,label_only_attack_tpr05,label_only_attack_adv,label_only_flip_rate,lira_attack_auc,lira_attack_acc,ece_test,actual_dp_epsilon,peak_memory_mb
Cora,GCN,none,{},42,0.81,0.00144,0.0,0.8685,0.8598,0.982,0.029,0.1086,0.0196,0.0553,0.0093,0.5552,0.5598,0.0104,0.0609,0.1317,0.5596,0.5369,0.0081,0.0591,0.1248,0.5585,0.5547,0.0155,0.0672,0.1196,0.5032,0.4965,0.0,0.0,0.047,0.591,0.5,0.5,0.0485,,536.33
Cora,GCN,none,{},123,0.81,0.00144,0.0,0.87,0.8635,0.9805,0.028,0.1029,0.0215,0.0572,0.0065,0.5501,0.5539,0.015,0.0466,0.1295,0.5607,0.5318,0.0052,0.0657,0.1396,0.5708,0.5631,0.0096,0.048,0.1344,0.5321,0.5105,0.0,0.0,0.076,0.5765,0.5,0.5,0.0379,,539.67
Cora,GCN,none,{},456,0.81,0.00144,0.0,0.8752,0.865,0.9847,0.033,0.1094,0.0175,0.0437,0.0155,0.5557,0.5473,0.0164,0.0522,0.1122,0.5534,0.5332,0.0052,0.0428,0.1219,0.56,0.5521,0.0081,0.0554,0.1182,0.5177,0.506,0.0,0.0,0.052,0.5785,0.5,0.5,0.0257,,547.25
Cora,GCN,none,{},789,0.81,0.00144,0.0,0.8752,0.861,0.9875,0.027,0.094,0.0199,0.0521,0.0071,0.5333,0.5583,0.0073,0.0425,0.1241,0.5608,0.5373,0.0037,0.0561,0.1182,0.5504,0.5513,0.0081,0.0532,0.1196,0.5459,0.53,0.0,0.0,0.084,0.6355,0.5,0.5,0.0218,,552.11
Cora,GCN,none,{},999,0.81,0.00144,0.0,0.8708,0.8548,0.9861,0.0285,0.0982,0.0198,0.0545,0.0087,0.5353,0.5502,0.0058,0.0478,0.1031,0.5504,0.5258,0.017,0.0665,0.1174,0.5533,0.5499,0.0096,0.0502,0.1167,0.525,0.518,0.0,0.0,0.051,0.582,0.5,0.5,0.037,,561.66
Cora,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",42,0.81,0.00144,0.0,0.8685,0.8598,0.982,0.029,0.1086,0.0196,0.0553,0.0093,0.5552,0.5598,0.0104,0.0609,0.1317,0.5596,0.5369,0.0081,0.0591,0.1248,0.5585,0.5547,0.0155,0.0672,0.1196,0.5032,0.4965,0.0,0.0,0.047,0.591,0.5,0.5,0.0485,,561.67
Cora,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",123,0.81,0.00144,0.0,0.87,0.8635,0.9805,0.028,0.1029,0.0215,0.0572,0.0065,0.5501,0.5539,0.015,0.0466,0.1295,0.5607,0.5318,0.0052,0.0657,0.1396,0.5708,0.5631,0.0096,0.048,0.1344,0.5321,0.5105,0.0,0.0,0.076,0.5765,0.5,0.5,0.0379,,561.7
Cora,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",456,0.81,0.00144,0.0,0.8752,0.865,0.9847,0.033,0.1094,0.0175,0.0437,0.0155,0.5557,0.5473,0.0164,0.0522,0.1122,0.5534,0.5332,0.0052,0.0428,0.1219,0.56,0.5521,0.0081,0.0554,0.1182,0.5177,0.506,0.0,0.0,0.052,0.5785,0.5,0.5,0.0257,,561.75
Cora,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",789,0.81,0.00144,0.0,0.8752,0.861,0.9875,0.027,0.094,0.0199,0.0521,0.0071,0.5333,0.5583,0.0073,0.0425,0.1241,0.5608,0.5373,0.0037,0.0561,0.1182,0.5504,0.5513,0.0081,0.0532,0.1196,0.5459,0.53,0.0,0.0,0.084,0.6355,0.5,0.5,0.0218,,561.75
Cora,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",999,0.81,0.00144,0.0,0.8708,0.8548,0.9861,0.0285,0.0982,0.0198,0.0545,0.0087,0.5353,0.5502,0.0058,0.0478,0.1031,0.5504,0.5258,0.017,0.0665,0.1174,0.5533,0.5499,0.0096,0.0502,0.1167,0.525,0.518,0.0,0.0,0.051,0.582,0.5,0.5,0.037,,561.75
