config,lam,sigma,seed,none_acc,sami_acc,none_lira,sami_lira,sami_tpr01,acc_ratio
locked,0.5,0.35,42,0.8836565096952909,0.876269621421976,0.5701200198825294,0.5168281056434156,0.012927054478301015,0.9916405433646812
locked,0.5,0.35,123,0.8670360110803325,0.8707294552169899,0.5871894100805788,0.5236514282255184,0.014773776546629732,1.0042598509052183
locked,0.5,0.35,456,0.8901200369344414,0.8698060941828255,0.5598824782225769,0.49650606323360524,0.020313942751615882,0.9771784232365145
locked,0.5,0.35,789,0.8781163434903048,0.8744228993536473,0.5675498704480987,0.5026912180095474,0.009233610341643583,0.9957939011566771
locked,0.5,0.35,1024,0.8790397045244691,0.8753462603878116,0.575947084506718,0.5152610349316943,0.017543859649122806,0.995798319327731
aggressive,0.75,0.65,42,0.8845798707294552,0.8310249307479224,0.5688274849538191,0.5183491361927685,0.020313942751615882,0.9394572025052191
aggressive,0.75,0.65,123,0.8679593721144968,0.8208679593721145,0.5832504184112903,0.5174496478353877,0.014773776546629732,0.9457446808510639
aggressive,0.75,0.65,456,0.8836565096952909,0.8291782086795937,0.5550687234682907,0.4928731533845061,0.02123730378578024,0.9383490073145245
aggressive,0.75,0.65,789,0.8808864265927978,0.8199445983379502,0.5621248046490332,0.4955149208492876,0.010156971375807941,0.9308176100628931
aggressive,0.75,0.65,1024,0.8725761772853186,0.8264081255771006,0.574934627232415,0.5030902327500727,0.018467220683287166,0.9470899470899471
