dataset,model,defense,seed,lambda_epsd,ablation,kl_loss_ep1,kl_loss_final,model_sha256,prediction_sha256
Cora,GCN,epsd_tuned,42,1.0,none,0.0015,0.0513,9625930675758f349f5bb007f7303b5d0a8400e05a20e79aac3d10d0da29b6d4,4abec21e20a1fd238d6929bd80028f0f66d5e98bef179cfa31e8f4d2d57bd44a
Cora,GCN,epsd_tuned,123,1.0,none,0.0016,0.0508,7c982b9c705b5e8f2b1518cc567938e6abd71f9558439b2c4cbcdfa3e6de3f2e,9b1d4a4b65f3c4120d4c21a82a12a195e2b1c2fe3035fc0486894c2e3bdbd6f9
Cora,GCN,epsd_tuned,456,1.0,none,0.0015,0.052,f5dc0a821d57115cf94e5c1ad016b2a94eb9f5b69491b639a756198633c75d67,d8e506ce3d768588f91837b80a373fd1fc9e2c8a32c547cba5d02b808f1adace
Cora,GCN,epsd_tuned,789,1.0,none,0.0014,0.0525,d4fe9e68ec96935d28cdb724703ace672c933e6e03fc6ea930bbd5d2ea362b70,a41702d53265aaa288a60da59a9ee70d02ca31a80ead540cc2fd9607ee7a4f10
Cora,GCN,epsd_tuned,1024,1.0,none,0.0015,0.0557,153e1f453ba9f3fbcaf1a08cb6a88749956dcd87273d8279e47d4d6e202d2ca3,5358e9cf6af8d63e8adbb8bfb4251e972a628f9d0156e42e648a6bf31cc77c07
Cora,GCN,epsd_tuned,2024,1.0,none,0.0014,0.0474,0f97c5db987b4726fc92de00468eaf6d9615483bced5004c9435c1776a69dd03,80a9203a0e77f472115c8261a53c324053d3140e55bd40742dcba41038ae1e77
Cora,GCN,epsd_tuned,3141,1.0,none,0.0016,0.0503,5fd9243d1d5b30c10127d77cf9a629ce8690e126312bbe7dbf34d038f7eef06c,ab0e6d85b50fdf36574d22d03e2d44d3776aed769a37c6bb52cd9ecb8edd5455
Cora,GCN,epsd_tuned,5000,1.0,none,0.0017,0.0484,d4a3b731547e8d51330317a1288db2828b7fb8efebc13a4fca01a173da912b11,28eca7042186be96e655fdc2bc8a9abf1e9f7e6a2585b2b03390b42825c98a4c
Cora,GCN,epsd_tuned,7777,1.0,none,0.0017,0.0516,70dc9d37cf071c7e7baaee74814a2343a0accf3c6f45524cc395fd61033ba20b,f270397ea89bd7a7e2f3f79dab0398fd02d86a217a15315f3aed2a3d7d39d220
Cora,GCN,epsd_tuned,9999,1.0,none,0.0019,0.0501,fffb7b54342bc9f65a5547eb46ba849f295bd1025159fa3d82b3999b805f3803,42a348a145ecdf2d2bf821a3fa234de61d892a8e200db7f2874de41f23b3cf70
Cora,GraphSAGE,epsd_tuned,42,1.0,none,0.0012,0.041,f318b6bd88518e1c611f2636604f3595c26d2912619eefbf69f9c450cb87ddf5,ae03611abb5422619f55ee84d5d16a245e0f402aa874d146843274020b179224
Cora,GraphSAGE,epsd_tuned,123,1.0,none,0.0011,0.0403,8bdc93dd8a0d14b1193783370f4fdd457f546c4f33a0595fccbdd1d2833461df,80ffe250f831d9ad37328119bf20df3866a72f70b116eaa29dcbcb565752b089
Cora,GraphSAGE,epsd_tuned,456,1.0,none,0.0012,0.0491,3ad5b32713b2d68a88c30ebbda9e99b54cd7fd0c759c9e42dbadbd18b02ab2cc,f7f4a3391c5f139f85812434762e29b2cead8d76cd5cebf963ba087af826251a
Cora,GraphSAGE,epsd_tuned,789,1.0,none,0.0013,0.0483,44318f56f400e5c214ca5f2ecd79170fae7a984dcccbf5315391c7815d12f574,cb5f200b6fd72e59596270b8bd3619cf2015e3f629c1cbdb7978e2d0466a586f
