h_target,rho_target,feature_snr,model,conf_attack_auc
0.2,0.005,0.25,GCN,0.703723986856517
0.2,0.005,0.25,GraphSAGE,0.7609137850101706
0.2,0.005,1.0,GCN,0.5771397277421374
0.2,0.005,1.0,GraphSAGE,0.5802691284618995
0.2,0.005,2.5,GCN,0.5348145830073541
0.2,0.005,2.5,GraphSAGE,0.4704662807072445
0.2,0.01,0.25,GCN,0.685104052573932
0.2,0.01,0.25,GraphSAGE,0.7343921139101863
0.2,0.01,1.0,GCN,0.5623533093412612
0.2,0.01,1.0,GraphSAGE,0.5873102800813644
0.2,0.01,2.5,GCN,0.5521827570020341
0.2,0.01,2.5,GraphSAGE,0.5891096854952277
0.2,0.02,0.25,GCN,0.6186825222969802
0.2,0.02,0.25,GraphSAGE,0.7005945861367548
0.2,0.02,1.0,GCN,0.5089187920513221
0.2,0.02,1.0,GraphSAGE,0.573892974495384
0.2,0.02,2.5,GCN,0.4939759036144578
0.2,0.02,2.5,GraphSAGE,0.4981614770771397
0.2,0.04,0.25,GCN,0.5716632764825536
0.2,0.04,0.25,GraphSAGE,0.6726646847128774
0.2,0.04,1.0,GCN,0.4633860115787827
0.2,0.04,1.0,GraphSAGE,0.582342356438742
0.2,0.04,2.5,GCN,0.48865592239086214
0.2,0.04,2.5,GraphSAGE,0.5169378813957127
0.4,0.005,0.25,GCN,0.6435612580190893
0.4,0.005,0.25,GraphSAGE,0.7280550774526677
0.4,0.005,1.0,GCN,0.5364575183852291
0.4,0.005,1.0,GraphSAGE,0.5420904396808011
0.4,0.005,2.5,GCN,0.4996870599280238
0.4,0.005,2.5,GraphSAGE,0.5265216710999843
0.4,0.01,0.25,GCN,0.606869034579878
0.4,0.01,0.25,GraphSAGE,0.6731340948208417
0.4,0.01,1.0,GCN,0.5125176028790486
0.4,0.01,1.0,GraphSAGE,0.565013299953059
0.4,0.01,2.5,GCN,0.511657017681114
0.4,0.01,2.5,GraphSAGE,0.5424424972617743
0.4,0.02,0.25,GCN,0.52605226099202
0.4,0.02,0.25,GraphSAGE,0.6258019089344391
0.4,0.02,1.0,GCN,0.46956657800031293
0.4,0.02,1.0,GraphSAGE,0.5018776404318572
0.4,0.02,2.5,GCN,0.4415584415584416
0.4,0.02,2.5,GraphSAGE,0.5210452198404006
0.4,0.04,0.25,GCN,0.5371616335471757
0.4,0.04,0.25,GraphSAGE,0.6329995305898921
0.4,0.04,1.0,GCN,0.4576748552652167
0.4,0.04,1.0,GraphSAGE,0.48705210452198405
0.4,0.04,2.5,GCN,0.5232358003442341
0.4,0.04,2.5,GraphSAGE,0.5476060084493819
0.6,0.005,0.25,GCN,0.544711312783602
0.6,0.005,0.25,GraphSAGE,0.6715693944609608
0.6,0.005,1.0,GCN,0.4916679705836332
0.6,0.005,1.0,GraphSAGE,0.5147081833828822
0.6,0.005,2.5,GCN,0.4622124863088718
0.6,0.005,2.5,GraphSAGE,0.4815756532624002
0.6,0.01,0.25,GCN,0.5478798310123612
0.6,0.01,0.25,GraphSAGE,0.6436394930370835
0.6,0.01,1.0,GCN,0.5258957909560319
0.6,0.01,1.0,GraphSAGE,0.5303551869816929
0.6,0.01,2.5,GCN,0.5444374902206227
0.6,0.01,2.5,GraphSAGE,0.5363792833672352
0.6,0.02,0.25,GCN,0.5124393678610545
0.6,0.02,0.25,GraphSAGE,0.5575809732436239
0.6,0.02,1.0,GCN,0.5624315443592552
0.6,0.02,1.0,GraphSAGE,0.459552495697074
0.6,0.02,2.5,GCN,0.55210452198404
0.6,0.02,2.5,GraphSAGE,0.4539586919104992
0.6,0.04,0.25,GCN,0.5081364418713816
0.6,0.04,0.25,GraphSAGE,0.5761226725082147
0.6,0.04,1.0,GCN,0.5041464559536848
0.6,0.04,1.0,GraphSAGE,0.4642857142857143
0.6,0.04,2.5,GCN,0.4936629635424816
0.6,0.04,2.5,GraphSAGE,0.46878422782037243
0.8,0.005,0.25,GCN,0.5127914254420278
0.8,0.005,0.25,GraphSAGE,0.5557815678297606
0.8,0.005,1.0,GCN,0.4646768893756846
0.8,0.005,1.0,GraphSAGE,0.4731653888280394
0.8,0.005,2.5,GCN,0.4627601314348302
0.8,0.005,2.5,GraphSAGE,0.46303395399780944
0.8,0.01,0.25,GCN,0.5185416992645908
0.8,0.01,0.25,GraphSAGE,0.5895008605851979
0.8,0.01,1.0,GCN,0.4662807072445627
0.8,0.01,1.0,GraphSAGE,0.5360663432952589
0.8,0.01,2.5,GCN,0.47250039117508996
0.8,0.01,2.5,GraphSAGE,0.5145908308558911
0.8,0.02,0.25,GCN,0.5165858238147395
0.8,0.02,0.25,GraphSAGE,0.5421686746987951
0.8,0.02,1.0,GCN,0.49921764982005945
0.8,0.02,1.0,GraphSAGE,0.5138867156939446
0.8,0.02,2.5,GCN,0.4910812079486778
0.8,0.02,2.5,GraphSAGE,0.5156861211078079
0.8,0.04,0.25,GCN,0.513065248005007
0.8,0.04,0.25,GraphSAGE,0.5156470035988108
0.8,0.04,1.0,GCN,0.5046158660616492
0.8,0.04,1.0,GraphSAGE,0.51302613049601
0.8,0.04,2.5,GCN,0.5035596933187295
0.8,0.04,2.5,GraphSAGE,0.4921373806915975
