dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon
synthetic_low_sparse,GCN,none,{},42,06e54a47c487,0.2982,0.005,0.7562,0.9625,0.2063,0.7556,0.9692,0.6359,0.5813,0.5634,0.5375,0.0,0.0,0.6031,0.6031,0.6362,0.5687,,,0.4971,0.475,0.0187,0.025,0.132,0.0355,1,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""noise_scale"": 0.25, ""entropy_coef"": 0.15, ""warmup_epochs"": 5, ""budget_B"": 0.0}",42,06e54a47c487,0.2982,0.005,0.7438,0.8938,0.15,0.7422,0.9298,0.5541,0.55,0.5598,0.5125,0.0,0.0,0.575,0.575,0.5447,0.5312,,,0.5091,0.5125,0.0,0.0125,0.0533,0.1284,1,
synthetic_low_sparse,GCN,none,{},123,06e54a47c487,0.2982,0.005,0.8313,0.9688,0.1375,0.8296,0.9807,0.4963,0.5312,0.5271,0.5,0.0,0.0,0.5687,0.5687,0.6553,0.5813,,,0.4968,0.4875,0.0063,0.0187,0.0788,0.0347,1,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""noise_scale"": 0.25, ""entropy_coef"": 0.15, ""warmup_epochs"": 5, ""budget_B"": 0.0}",123,06e54a47c487,0.2982,0.005,0.825,0.9062,0.0813,0.8227,0.9494,0.5394,0.5062,0.5205,0.5,0.0,0.0,0.5406,0.5406,0.5489,0.525,,,0.4886,0.5094,0.0,0.025,0.0727,0.1154,1,
synthetic_low_sparse,GCN,none,{},456,06e54a47c487,0.2982,0.005,0.7875,0.9625,0.175,0.7859,0.9711,0.6508,0.4688,0.5701,0.5125,0.0,0.0,0.5875,0.5875,0.6337,0.5875,,,0.4788,0.5281,0.0063,0.0063,0.0697,0.0346,1,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""noise_scale"": 0.25, ""entropy_coef"": 0.15, ""warmup_epochs"": 5, ""budget_B"": 0.0}",456,06e54a47c487,0.2982,0.005,0.75,0.9,0.15,0.7449,0.9233,0.6378,0.55,0.534,0.4813,0.0,0.0,0.575,0.575,0.6071,0.5188,,,0.4663,0.5156,0.0,0.0187,0.0824,0.1145,1,
synthetic_low_sparse,GCN,none,{},789,06e54a47c487,0.2982,0.005,0.75,0.925,0.175,0.7521,0.955,0.5537,0.5938,0.6022,0.5625,0.0,0.0,0.5875,0.5875,0.682,0.575,,,0.4822,0.4688,0.0,0.0,0.1316,0.0346,1,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""noise_scale"": 0.25, ""entropy_coef"": 0.15, ""warmup_epochs"": 5, ""budget_B"": 0.0}",789,06e54a47c487,0.2982,0.005,0.725,0.8938,0.1688,0.7269,0.9049,0.5969,0.5813,0.6239,0.6,0.0,0.0,0.5844,0.5844,0.5672,0.5437,,,0.4875,0.4688,0.0,0.025,0.0621,0.1151,1,
synthetic_low_sparse,GCN,none,{},1024,06e54a47c487,0.2982,0.005,0.7375,0.9563,0.2188,0.7328,0.9493,0.5983,0.6062,0.6297,0.5813,0.0,0.025,0.6094,0.6094,0.6051,0.5875,,,0.5559,0.5656,0.0375,0.0437,0.1753,0.0352,1,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""noise_scale"": 0.25, ""entropy_coef"": 0.15, ""warmup_epochs"": 5, ""budget_B"": 0.0}",1024,06e54a47c487,0.2982,0.005,0.6875,0.9375,0.25,0.684,0.9034,0.6385,0.6375,0.6458,0.5938,0.0,0.0,0.625,0.625,0.6407,0.6312,,,0.5456,0.55,0.0063,0.0063,0.0546,0.1223,1,
