lam,use_lte,use_gate,arch_aware,noise_scale,entropy_coef,warmup_epochs,budget_B,acc,conf,lira,d_acc,d_conf,d_lira,success,score
1.0,True,False,True,0.25,0.15,5,0.0,0.7844,0.5467500000000001,0.49885,-0.00934999999999997,-0.01934999999999998,0.0019000000000000128,False,0.761025
1.0,True,True,True,0.25,0.05,5,0.0,0.7906,0.5648500000000001,0.50545,-0.003149999999999986,-0.0012499999999999734,0.008499999999999952,False,0.7581749999999999
1.0,True,False,True,0.25,0.05,5,0.0,0.78125,0.5466500000000001,0.502,-0.012499999999999956,-0.019449999999999967,0.005049999999999999,False,0.757925
1.5,True,False,True,0.25,0.15,5,0.0,0.7781,0.5448500000000001,0.49985,-0.015649999999999942,-0.02124999999999999,0.0029000000000000137,False,0.755675
1.0,True,True,True,0.25,0.15,5,0.0,0.78745,0.5640000000000001,0.4974,-0.006299999999999972,-0.0020999999999999908,0.00045000000000000595,False,0.75545
1.5,True,False,True,0.25,0.05,5,0.0,0.77495,0.54105,0.502,-0.018799999999999928,-0.025050000000000017,0.005049999999999999,False,0.754425
1.5,True,True,True,0.25,0.05,5,0.0,0.77815,0.5716,0.4994,-0.015599999999999947,0.005499999999999949,0.0024500000000000077,False,0.7423500000000001
1.5,True,True,True,0.25,0.15,5,0.0,0.775,0.56565,0.4981,-0.018749999999999933,-0.00045000000000006146,0.0011499999999999844,False,0.742175
1.0,True,False,True,0.5,0.05,5,0.0,0.71245,0.52075,0.50005,-0.08129999999999993,-0.04535,0.0030999999999999917,False,0.702075
1.5,True,False,True,0.5,0.15,5,0.0,0.70625,0.5163,0.5021,-0.08749999999999991,-0.049800000000000066,0.005149999999999988,False,0.6981
1.5,True,False,True,0.5,0.05,5,0.0,0.7031000000000001,0.51425,0.506,-0.0906499999999999,-0.05185000000000006,0.009050000000000002,False,0.695975
1.0,True,True,True,0.5,0.15,5,0.0,0.70625,0.5233,0.504,-0.08749999999999991,-0.04280000000000006,0.007050000000000001,False,0.6946000000000001
1.0,True,False,True,0.5,0.15,5,0.0,0.7031499999999999,0.51835,0.4966,-0.09060000000000001,-0.04775000000000007,-0.00035000000000001696,False,0.693975
1.0,True,True,True,0.5,0.05,5,0.0,0.7031499999999999,0.5194000000000001,0.5005,-0.09060000000000001,-0.046699999999999964,0.003549999999999942,False,0.6934499999999999
1.5,True,True,True,0.5,0.05,5,0.0,0.7,0.5223,0.5023,-0.09375,-0.04380000000000006,0.005349999999999966,False,0.68885
1.5,True,True,True,0.5,0.15,5,0.0,0.6906,0.5199499999999999,0.4993,-0.10314999999999996,-0.046150000000000135,0.0023500000000000187,False,0.680625
