dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,sweep_tag
synthetic_low_sparse,GCN,none,{},42,eac9960f8ba0,0.2982,0.005,0.7562,0.9625,0.2063,0.7556,0.9692,0.6359,0.5813,0.5634,0.5375,0.0,0.0,0.6362,0.5687,,,0.4971,0.475,0.0187,0.025,0.132,0.0543,1,,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7438,0.8938,0.15,0.7416,0.9301,0.5487,0.5437,0.5603,0.5188,0.0,0.0,0.5331,0.5188,,,0.5097,0.5094,0.0,0.0063,0.0598,0.165,1,,best_confirm
synthetic_low_sparse,GCN,none,{},123,eac9960f8ba0,0.2982,0.005,0.8313,0.9688,0.1375,0.8296,0.9807,0.4963,0.5312,0.5271,0.5,0.0,0.0,0.6553,0.5813,,,0.4968,0.4875,0.0063,0.0187,0.0788,0.035,1,,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.825,0.9,0.075,0.8227,0.9483,0.534,0.5188,0.522,0.5,0.0,0.0,0.5489,0.5062,,,0.4891,0.5031,0.0,0.0187,0.0692,0.1329,1,,best_confirm
synthetic_low_sparse,GCN,none,{},456,eac9960f8ba0,0.2982,0.005,0.7875,0.9625,0.175,0.7859,0.9711,0.6508,0.4688,0.5701,0.5125,0.0,0.0,0.6337,0.5875,,,0.4788,0.5281,0.0063,0.0063,0.0697,0.0351,1,,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.2982,0.005,0.7438,0.9187,0.175,0.7386,0.9243,0.6461,0.5563,0.5387,0.4875,0.0,0.0,0.6336,0.5437,,,0.4673,0.5156,0.0,0.0187,0.086,0.1193,1,,best_confirm
synthetic_low_sparse,GCN,none,{},789,eac9960f8ba0,0.2982,0.005,0.75,0.925,0.175,0.7521,0.955,0.5537,0.5938,0.6022,0.5625,0.0,0.0,0.682,0.575,,,0.4822,0.4688,0.0,0.0,0.1316,0.0366,1,,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.2982,0.005,0.7312,0.8938,0.1625,0.7322,0.9051,0.5873,0.5625,0.617,0.6,0.0,0.0,0.5585,0.5437,,,0.4828,0.4625,0.0,0.025,0.0831,0.1187,1,,best_confirm
synthetic_low_sparse,GCN,none,{},1024,eac9960f8ba0,0.2982,0.005,0.7375,0.9563,0.2188,0.7328,0.9493,0.5983,0.6062,0.6297,0.5813,0.0,0.025,0.6051,0.5875,,,0.5559,0.5656,0.0375,0.0437,0.1753,0.0349,1,,
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.2982,0.005,0.6937,0.9313,0.2375,0.6909,0.9038,0.6359,0.6375,0.6467,0.5875,0.0,0.0,0.6518,0.6312,,,0.5425,0.5437,0.0063,0.0063,0.0726,0.1149,1,,best_confirm
