lam,noise_scale,use_gate,sel,acc,ca,la
1.0,0.25,False,0.763725,0.7844,0.54135,0.52275
0.5,0.25,False,0.7616,0.7844,0.5456,0.5212
1.0,0.25,True,0.761475,0.7906500000000001,0.55835,0.51265
1.0,0.4,False,0.758375,0.7718499999999999,0.52695,0.5091
0.5,0.4,False,0.749325,0.7625500000000001,0.5264500000000001,0.51395
0.5,0.25,True,0.7475499999999999,0.78435,0.5736,0.51825
1.0,0.4,True,0.732925,0.75,0.53415,0.50725
0.5,0.4,True,0.7278,0.75,0.5444,0.5045
1.0,0.6,False,0.67185,0.6812499999999999,0.5187999999999999,0.51005
0.5,0.6,False,0.6667749999999999,0.675,0.5164500000000001,0.50935
1.0,0.6,True,0.6522749999999999,0.6718999999999999,0.53925,0.50415
0.5,0.6,True,0.64755,0.675,0.5549,0.49650000000000005
