dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,sweep_tag,lam,noise_scale,use_gate
synthetic_low_sparse,GCN,none,{},42,eac9960f8ba0,0.2982,0.005,0.7562,0.9625,0.2063,0.7556,0.9692,0.6359,0.5813,0.5634,0.5375,0.0,0.0,0.6362,0.5687,,,0.5077,0.5031,0.0,0.0125,0.132,0.0852,1,,,,,
synthetic_low_sparse,GCN,none,{},123,eac9960f8ba0,0.2982,0.005,0.8313,0.9688,0.1375,0.8296,0.9807,0.4963,0.5312,0.5271,0.5,0.0,0.0,0.6553,0.5813,,,0.5541,0.5125,0.0,0.0187,0.0788,0.0365,1,,,,,
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7562,0.8875,0.1312,0.7548,0.9251,0.5791,0.55,0.5794,0.5563,0.0,0.0,0.5436,0.525,,,0.5149,0.5062,0.0,0.0063,0.035,0.1871,1,,lam=0.5_noise=0.25_gate=True,0.5,0.25,True
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.8125,0.9375,0.125,0.81,0.9405,0.5681,0.5312,0.5499,0.5125,0.0,0.0,0.5649,0.5125,,,0.5216,0.4969,0.0,0.0063,0.0803,0.1728,1,,lam=0.5_noise=0.25_gate=True,0.5,0.25,True
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7375,0.8938,0.1562,0.7357,0.9282,0.5567,0.55,0.5629,0.525,0.0,0.0,0.5456,0.5375,,,0.5293,0.5094,0.0,0.0063,0.0349,0.1215,1,,lam=0.5_noise=0.25_gate=False,0.5,0.25,False
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.8313,0.9062,0.075,0.8294,0.9483,0.5345,0.4875,0.5241,0.5062,0.0,0.0,0.5394,0.5188,,,0.5131,0.4875,0.0063,0.0063,0.0836,0.1201,1,,lam=0.5_noise=0.25_gate=False,0.5,0.25,False
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.2982,0.005,0.725,0.8375,0.1125,0.7239,0.9051,0.5375,0.5375,0.5687,0.5437,0.0,0.0,0.5117,0.5,,,0.507,0.5,0.0,0.0063,0.0576,0.1725,1,,lam=0.5_noise=0.4_gate=True,0.5,0.4,True
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.2982,0.005,0.775,0.8812,0.1062,0.7695,0.9219,0.5513,0.5188,0.539,0.5125,0.0,0.0,0.557,0.5125,,,0.502,0.4844,0.0,0.0063,0.0929,0.174,1,,lam=0.5_noise=0.4_gate=True,0.5,0.4,True
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.2982,0.005,0.7188,0.8313,0.1125,0.7174,0.9086,0.525,0.4938,0.5541,0.525,0.0,0.0,0.4946,0.4938,,,0.5221,0.5094,0.0,0.0063,0.0625,0.121,1,,lam=0.5_noise=0.4_gate=False,0.5,0.4,False
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.2982,0.005,0.8063,0.8562,0.05,0.8045,0.9347,0.5279,0.5312,0.517,0.5125,0.0,0.0,0.5288,0.4938,,,0.5058,0.4844,0.0063,0.0063,0.1101,0.1209,1,,lam=0.5_noise=0.4_gate=False,0.5,0.4,False
