seed,query_set,acc,frac_prot,conf_auc,lira_auc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,n_member_queries,n_nonmember_queries,train_seconds
42,population,0.8448753462603878,0.4006646971935007,0.5005013262124548,0.5366407221825765,0.0036934441366574,0.0120036934441366,1083,1083,6.234838008880615
42,unprot_clean,0.8448753462603878,0.4006646971935007,0.6250162483751626,0.5475652434756524,,,548,730,6.234838008880615
42,prot_boundary_clean,0.8448753462603878,0.4006646971935007,0.6087631625914688,0.5555559521684812,,,325,431,6.234838008880615
42,top_decile_lte,0.8448753462603878,0.4006646971935007,0.6349149876413752,0.5642086735076024,,,169,158,6.234838008880615
123,population,0.8291782086795937,0.4002954209748892,0.5218690771249453,0.5463782165234732,0.0092336103416435,0.0166204986149584,1083,1083,21.4909348487854
123,unprot_clean,0.8291782086795937,0.4002954209748892,0.6488574838263927,0.5514515419885686,,,549,725,21.4909348487854
123,prot_boundary_clean,0.8291782086795937,0.4002954209748892,0.6250580942234679,0.5312493296820369,,,323,433,21.4909348487854
123,top_decile_lte,0.8291782086795937,0.4002954209748892,0.6352258298567025,0.5265282060584073,,,149,148,21.4909348487854
456,population,0.8328716528162512,0.4006646971935007,0.5159750837462027,0.5193637249560701,0.0073868882733148,0.0120036934441366,1083,1083,8.260985136032104
456,unprot_clean,0.8328716528162512,0.4006646971935007,0.6402088858828506,0.5181134914543231,,,543,727,8.260985136032104
456,prot_boundary_clean,0.8328716528162512,0.4006646971935007,0.6455094703287743,0.5180436635901997,,,345,391,8.260985136032104
456,top_decile_lte,0.8328716528162512,0.4006646971935007,0.684241452991453,0.506517094017094,,,144,130,8.260985136032104
789,population,0.8254847645429363,0.40066469719350073,0.524339046576445,0.5295198437362785,0.008310249307479225,0.009233610341643583,1083,1083,2.4884352684020996
789,unprot_clean,0.8254847645429363,0.40066469719350073,0.6640381485846049,0.5378820342510828,,,543,722,2.4884352684020996
789,prot_boundary_clean,0.8254847645429363,0.40066469719350073,0.6581377615860374,0.535139371346268,,,348,407,2.4884352684020996
789,top_decile_lte,0.8254847645429363,0.40066469719350073,0.611996644295302,0.5339765100671141,,,149,144,2.4884352684020996
1024,population,0.8254847645429363,0.39918759231905465,0.525893328354175,0.5318312304062873,0.0046168051708217915,0.007386888273314866,1083,1083,2.320006847381592
1024,unprot_clean,0.8254847645429363,0.39918759231905465,0.6474900310810405,0.5558134537931861,,,559,716,2.320006847381592
1024,prot_boundary_clean,0.8254847645429363,0.39918759231905465,0.6344080338266385,0.5486654334038055,,,352,430,2.320006847381592
1024,top_decile_lte,0.8254847645429363,0.39918759231905465,0.6387726244343892,0.514762443438914,,,136,130,2.320006847381592
