dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag,wall_seconds
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8449,0.8358,0.9077,0.0628,random_40_20_40,0.8294,0.9472,0.5622,0.5614,0.5005,0.4875,0.0,0.0129,0.5314,0.5314,0.6203,0.5697,,,0.5365,0.5286,0.0037,0.012,0.0415,2.8764,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,lte,13.89
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8292,0.845,0.9141,0.0849,random_40_20_40,0.8107,0.9456,0.5797,0.5374,0.5219,0.5115,0.0,0.0175,0.5425,0.5425,0.6334,0.5863,,,0.5464,0.5282,0.0092,0.0166,0.0308,2.7334,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0,lte,14.17
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.954,0.572,0.5485,0.516,0.4968,0.0,0.0175,0.5392,0.5392,0.6299,0.5716,,,0.5197,0.5189,0.0074,0.012,0.0393,2.6781,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,lte,14.32
Cora,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",42,eac9960f8ba0,0.81,0.00144,0.8209,0.8155,0.9252,0.1043,random_40_20_40,0.8051,0.9456,0.6027,0.566,0.604,0.5826,0.0,0.0102,0.5522,0.5522,0.6065,0.5753,,,0.5321,0.5254,0.0065,0.0102,0.0979,2.7591,1,,325.2,0.4003,0.1071,0.1201,0.4003,1084.0,random,13.75
Cora,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",123,eac9960f8ba0,0.81,0.00144,0.8153,0.8395,0.9132,0.0979,random_40_20_40,0.7947,0.9445,0.5789,0.5522,0.5815,0.566,0.0,0.0194,0.5489,0.5489,0.5719,0.5669,,,0.5277,0.5222,0.0055,0.0111,0.0617,2.8287,1,,324.6,0.3996,0.1171,0.1199,0.3996,1082.0,random,14.11
Cora,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",456,eac9960f8ba0,0.81,0.00144,0.8163,0.8413,0.9298,0.1136,random_40_20_40,0.805,0.9582,0.6143,0.5845,0.6042,0.5919,0.0,0.0175,0.5568,0.5568,0.6284,0.5919,,,0.5056,0.4991,0.0028,0.0083,0.0713,2.7722,1,,325.8,0.401,0.1038,0.1203,0.401,1086.0,random,13.97
Cora,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",42,eac9960f8ba0,0.81,0.00144,0.8384,0.8303,0.9298,0.0914,random_40_20_40,0.8228,0.9427,0.5266,0.494,0.557,0.5355,0.0,0.0065,0.5457,0.5457,0.6072,0.5753,,,0.5322,0.5263,0.0009,0.0139,0.041,6.3844,1,,324.9,0.3999,0.1791,0.12,0.3999,1083.0,audit,33.47
Cora,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",123,eac9960f8ba0,0.81,0.00144,0.8246,0.8229,0.9326,0.108,random_40_20_40,0.8063,0.9311,0.4972,0.5346,0.5797,0.5614,0.0111,0.0166,0.554,0.554,0.6039,0.566,,,0.5384,0.5231,0.0055,0.0102,0.0282,6.6507,1,,318.9,0.3925,0.1721,0.1178,0.3925,1063.0,audit,33.23
Cora,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",456,eac9960f8ba0,0.81,0.00144,0.8283,0.8469,0.9437,0.1154,random_40_20_40,0.8132,0.9496,0.542,0.5392,0.5734,0.5485,0.0,0.0055,0.5577,0.5577,0.6214,0.5956,,,0.5135,0.5148,0.0074,0.0157,0.0411,6.8248,1,,325.8,0.401,0.1625,0.1203,0.401,1086.0,audit,32.98
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.7355,0.000823,0.713,0.806,0.9068,0.1938,random_40_20_40,0.6805,0.8853,0.5957,0.5883,0.5861,0.5267,0.0,0.0113,0.5969,0.5969,0.6498,0.6146,,,0.5329,0.5218,0.0023,0.0105,0.0984,5.9858,1,,399.0,0.3998,0.196,0.1199,0.3998,1330.0,lte,30.01
