dataset,model,defense,baseline,metric,delta_mean,delta_std,ci_low,ci_high,n_seeds,pair
Actor,GraphSAGE,lte,random,lira_attack_auc,-0.003766666666666659,0.005485739087245568,-0.00770000000000004,0.0025000000000000577,3,lte-random
Chameleon,GraphSAGE,lte,random,lira_attack_auc,-0.0009000000000000119,0.0018520259177452314,-0.0028000000000000247,0.0009000000000000119,3,lte-random
Citeseer,GraphSAGE,lte,random,lira_attack_auc,0.008033333333333373,0.00999316433034768,-0.0033999999999999586,0.015100000000000002,3,lte-random
Cora,GraphSAGE,lte,random,lira_attack_auc,0.012400000000000003,0.007300000000000044,0.0043999999999999595,0.01870000000000005,3,lte-random
Actor,GraphSAGE,lte,random,test_accuracy,0.008799999999999994,0.006781592733274412,0.0012999999999999678,0.014500000000000013,3,lte-random
Chameleon,GraphSAGE,lte,random,test_accuracy,-0.014966666666666665,0.004142865353029627,-0.019699999999999995,-0.01200000000000001,3,lte-random
Citeseer,GraphSAGE,lte,random,test_accuracy,0.01576666666666667,0.003925981830489536,0.013499999999999956,0.020300000000000096,3,lte-random
Cora,GraphSAGE,lte,random,test_accuracy,0.018166666666666664,0.005229085324732562,0.013900000000000023,0.02400000000000002,3,lte-random
Actor,GraphSAGE,audit,random,lira_attack_auc,-0.0038333333333333184,0.004747982027486364,-0.00759999999999994,0.0015000000000000568,3,audit-random
Chameleon,GraphSAGE,audit,random,lira_attack_auc,0.00516666666666669,0.006971609092120233,-0.0020999999999999908,0.011800000000000033,3,audit-random
Citeseer,GraphSAGE,audit,random,lira_attack_auc,-0.00033333333333333365,0.0023860706890897563,-0.0030000000000000027,0.0015999999999999348,3,audit-random
Cora,GraphSAGE,audit,random,lira_attack_auc,0.006233333333333313,0.005493025881363881,9.999999999998899e-05,0.010700000000000043,3,audit-random
Actor,GraphSAGE,audit,random,test_accuracy,0.007933333333333329,0.0067062160219704455,0.0014000000000000123,0.01479999999999998,3,audit-random
Chameleon,GraphSAGE,audit,random,test_accuracy,-0.0032666666666666586,0.01597508476764158,-0.018699999999999994,0.013200000000000045,3,audit-random
Citeseer,GraphSAGE,audit,random,test_accuracy,0.01473333333333334,0.004423045707805098,0.009700000000000042,0.018000000000000016,3,audit-random
Cora,GraphSAGE,audit,random,test_accuracy,0.012933333333333352,0.004178915329763663,0.009299999999999975,0.01750000000000007,3,audit-random
Actor,GraphSAGE,audit,lte,lira_attack_auc,-6.666666666665932e-05,0.0020647840887931075,-0.0014999999999999458,0.0022999999999999687,3,audit-lte
Chameleon,GraphSAGE,audit,lte,lira_attack_auc,0.006066666666666702,0.008013946177341944,-0.0012999999999999678,0.014600000000000057,3,audit-lte
Citeseer,GraphSAGE,audit,lte,lira_attack_auc,-0.008366666666666708,0.007629110913686688,-0.013500000000000068,0.00039999999999995595,3,audit-lte
Cora,GraphSAGE,audit,lte,lira_attack_auc,-0.006166666666666691,0.001850225211517075,-0.008000000000000007,-0.0042999999999999705,3,audit-lte
Actor,GraphSAGE,audit,lte,test_accuracy,-0.0008666666666666637,0.01064628260630599,-0.0131,0.006300000000000028,3,audit-lte
Chameleon,GraphSAGE,audit,lte,test_accuracy,0.011700000000000007,0.019509997437211542,-0.005500000000000005,0.03290000000000004,3,audit-lte
Citeseer,GraphSAGE,audit,lte,test_accuracy,-0.0010333333333333306,0.00357258076652344,-0.0037999999999999146,0.0030000000000000027,3,audit-lte
Cora,GraphSAGE,audit,lte,test_accuracy,-0.005233333333333312,0.0010969655114602642,-0.00649999999999995,-0.0045999999999999375,3,audit-lte
