defense,seed,acc,lira_pop,conf_pop,top_decile_conf_auc,planted_canary_conf_auc,ece_test
none,42,0.8809,0.5663,0.6572,0.5777590191611073,0.5286025507848569,0.0549
none,123,0.8707,0.5776,0.6531,0.5302013422818792,0.48607023314866116,0.0623
none,456,0.8846,0.5587,0.6535,0.5459404175643787,0.5657894736842105,0.0428
lbp,42,0.7054,0.5208,0.5716,0.5511318002261961,0.5603070175438596,0.1419
lbp,123,0.7184,0.5301,0.5584,0.5221017928076992,0.4857311865189289,0.1461
lbp,456,0.7239,0.5001,0.5485,0.570201087514107,0.5839320752539242,0.1513
sami,42,0.8781,0.519,0.5681,0.3375267037103815,0.47361207294552166,0.1289
sami,123,0.8707,0.5191,0.5735,0.3504310051001754,0.48376904432132967,0.1224
sami,456,0.8698,0.4951,0.5664,0.33121729763004004,0.6061576638965835,0.1248
harp,42,0.8449,0.5366,0.5622,0.25298453233675905,0.405016447368421,0.0415
harp,123,0.8292,0.5464,0.5796,0.2782849033569441,0.40684152816251157,0.0308
harp,456,0.8329,0.5196,0.572,0.2668256899558839,0.45667416897506924,0.0378
