Acc,LiRA,ExactFrac,Mass,Frac,ExactFrac_design,feasible_audit,feasible_exact,c,tau,dataset,seed,constructor
0.8486,0.5367,0.8006,162.0,0.2,0.8,1.0,1.0,0.6,0.55,Cora,42,random
0.8587,0.5427,0.7999,162.6,0.2,0.8,1.0,1.0,0.6,0.55,Cora,42,lte
0.8624,0.5449,0.7984,163.8,0.2,0.8,1.0,1.0,0.6,0.55,Cora,42,audit
0.855,0.5475,0.8032,159.9,0.2,0.8,1.0,1.0,0.6,0.55,Cora,42,entropy
0.8264,0.5395,0.6998,243.9,0.3,0.7,1.0,1.0,0.6,0.55,Cora,123,random
0.8458,0.5477,0.8002,162.3,0.2,0.8,1.0,1.0,0.6,0.55,Cora,123,lte
0.8246,0.5459,0.7001,243.6,0.3,0.7,1.0,1.0,0.6,0.55,Cora,123,audit
0.7978,0.5518,0.5974999999999999,327.0,0.4,0.6,0.0,1.0,0.6,0.55,Cora,123,entropy
0.8486,0.5324,0.7991,163.2,0.2,0.8,1.0,1.0,0.6,0.55,Cora,456,random
0.8643,0.5265,0.8002,162.3,0.2,0.8,1.0,1.0,0.6,0.55,Cora,456,lte
0.8569,0.5281,0.7999,162.6,0.2,0.8,1.0,1.0,0.6,0.55,Cora,456,audit
0.8504,0.5271,0.8002,162.3,0.2,0.8,1.0,1.0,0.6,0.55,Cora,456,entropy
0.8578,0.5406,0.7987,163.5,0.2,0.8,1.0,1.0,0.6,0.55,Cora,42,ensemble
0.8135,0.5516,0.5993,325.5,0.4,0.6,0.0,1.0,0.6,0.55,Cora,123,ensemble
0.8578,0.5208,0.7999,162.6,0.2,0.8,1.0,1.0,0.6,0.55,Cora,456,ensemble
0.844,0.535,0.829,138.9,0.2,0.8,1.0,1.0,0.6,0.55,Cora,789,random
0.8504,0.5314,0.7995,162.9,0.2,0.8,1.0,1.0,0.6,0.55,Cora,789,lte
0.8476,0.5416,0.8002,162.3,0.2,0.8,1.0,1.0,0.6,0.55,Cora,789,audit
0.8412,0.5441,0.7995,162.9,0.2,0.8,1.0,1.0,0.6,0.55,Cora,789,ensemble
0.8421,0.5428,0.7947,166.8,0.2,0.8,1.0,1.0,0.6,0.55,Cora,1024,random
0.8532,0.5355,0.8002,162.3,0.2,0.8,1.0,1.0,0.6,0.55,Cora,1024,lte
0.856,0.5414,0.8039,159.3,0.2,0.8,1.0,1.0,0.6,0.55,Cora,1024,audit
0.855,0.5391,0.7984,163.8,0.2,0.8,1.0,1.0,0.6,0.55,Cora,1024,ensemble
