Acc,LiRA,ExactFrac,Mass,TPR1,Frac,ExactFrac_design,feasible_audit,feasible_exact,c,tau,dataset,seed,constructor,n_shadows
0.8587,0.6988,0.7999,162.6,0.0406,0.2,0.8,1.0,1.0,0.6,0.7,Cora,42,topology,16
0.8347,0.671,0.5993,325.5,0.0609,0.4,0.6,1.0,1.0,0.6,0.68,Cora,42,topology,16
0.8587,0.6988,0.7999,162.6,0.0406,0.2,0.8,1.0,1.0,0.6,0.75,Cora,42,topology,16
0.8246,0.6746,0.5997,325.2,0.0582,0.4,0.6,1.0,1.0,0.6,0.7,Cora,123,topology,16
0.8246,0.6746,0.5997,325.2,0.0582,0.4,0.6,1.0,1.0,0.6,0.68,Cora,123,topology,16
0.8458,0.7038,0.8002,162.3,0.0554,0.2,0.8,1.0,1.0,0.6,0.75,Cora,123,topology,16
0.831,0.6766,0.5993,325.5,0.0499,0.4,0.6,1.0,1.0,0.6,0.7,Cora,456,topology,16
0.831,0.6766,0.5993,325.5,0.0499,0.4,0.6,1.0,1.0,0.6,0.68,Cora,456,topology,16
0.8643,0.7181,0.8002,162.3,0.0757,0.2,0.8,1.0,1.0,0.6,0.75,Cora,456,topology,16
0.843,0.6788,0.7005,243.3,0.0268,0.3,0.7,1.0,1.0,0.6,0.7,Cora,42,ensemble,16
0.843,0.6788,0.7005,243.3,0.0268,0.3,0.7,1.0,1.0,0.6,0.68,Cora,42,ensemble,16
0.8578,0.7127,0.7987,163.5,0.0379,0.2,0.8,1.0,1.0,0.6,0.75,Cora,42,ensemble,16
0.8283,0.6845,0.7009,243.0,0.036,0.3,0.7,1.0,1.0,0.6,0.7,Cora,123,ensemble,16
0.8135,0.655,0.5993,325.5,0.0166,0.4,0.6,1.0,1.0,0.6,0.68,Cora,123,ensemble,16
0.8421,0.724,0.8006,162.0,0.0545,0.2,0.8,1.0,1.0,0.6,0.75,Cora,123,ensemble,16
0.8421,0.6806,0.7001,243.6,0.036,0.3,0.7,1.0,1.0,0.6,0.7,Cora,456,ensemble,16
0.8255,0.6427,0.599,325.8,0.024,0.4,0.6,1.0,1.0,0.6,0.68,Cora,456,ensemble,16
0.8578,0.717,0.7999,162.6,0.0295,0.2,0.8,1.0,1.0,0.6,0.75,Cora,456,ensemble,16
0.8486,0.6805,0.8006,162.0,0.0111,0.2,0.8,1.0,1.0,0.6,0.7,Cora,42,random,16
0.8283,0.6501,0.6994,244.2,0.0277,0.3,0.7,1.0,1.0,0.6,0.68,Cora,42,random,16
0.8486,0.6805,0.8006,162.0,0.0111,0.2,0.8,1.0,1.0,0.6,0.75,Cora,42,random,16
0.8356,0.6937,0.7991,163.2,0.0111,0.2,0.8,1.0,1.0,0.6,0.7,Cora,123,random,16
0.8264,0.6594,0.6998,243.9,0.0249,0.3,0.7,1.0,1.0,0.6,0.68,Cora,123,random,16
0.8356,0.6937,0.7991,163.2,0.0111,0.2,0.8,1.0,1.0,0.6,0.75,Cora,123,random,16
0.8329,0.6933,0.7005,243.3,0.024,0.3,0.7,1.0,1.0,0.6,0.7,Cora,456,random,16
0.819,0.6534,0.599,325.8,0.0212,0.4,0.6,1.0,1.0,0.6,0.68,Cora,456,random,16
0.8486,0.7037,0.7991,163.2,0.0545,0.2,0.8,1.0,1.0,0.6,0.75,Cora,456,random,16
