constructor,seed,Frac,n_shadows,c,Acc,LiRA,ExactFrac,Mass,TPR1
topology,42,0.0,16,0.6,0.8809,0.791,1.0,0.0,0.1579
topology,42,0.2,16,0.6,0.8587,0.6988,0.7999,162.6,0.0406
topology,42,0.3,16,0.6,0.8495,0.699,0.7001,243.6,0.0646
topology,42,0.4,16,0.6,0.8347,0.671,0.5993,325.5,0.0609
topology,123,0.0,16,0.6,0.8707,0.8125,1.0,0.0,0.2041
topology,123,0.2,16,0.6,0.8458,0.7038,0.8002,162.3,0.0554
topology,123,0.3,16,0.6,0.8366,0.7033,0.6983,245.1,0.0951
topology,123,0.4,16,0.6,0.8246,0.6746,0.5997,325.2,0.0582
topology,456,0.0,16,0.6,0.8846,0.8201,1.0,0.0,0.2401
topology,456,0.2,16,0.6,0.8643,0.7181,0.8002,162.3,0.0757
topology,456,0.3,16,0.6,0.8523,0.704,0.6994,244.2,0.0683
topology,456,0.4,16,0.6,0.831,0.6766,0.5993,325.5,0.0499
ensemble,42,0.0,16,0.6,0.8809,0.791,1.0,0.0,0.1579
ensemble,42,0.2,16,0.6,0.8578,0.7127,0.7987,163.5,0.0379
ensemble,42,0.3,16,0.6,0.843,0.6788,0.7005,243.3,0.0268
ensemble,42,0.4,16,0.6,0.8338,0.6411,0.6012,324.0,0.0065
ensemble,123,0.0,16,0.6,0.8707,0.8125,1.0,0.0,0.2041
ensemble,123,0.2,16,0.6,0.8421,0.724,0.8006,162.0,0.0545
ensemble,123,0.3,16,0.6,0.8283,0.6845,0.7009,243.0,0.036
ensemble,123,0.4,16,0.6,0.8135,0.655,0.5993,325.5,0.0166
ensemble,456,0.0,16,0.6,0.8846,0.8201,1.0,0.0,0.2401
ensemble,456,0.2,16,0.6,0.8578,0.717,0.7999,162.6,0.0295
ensemble,456,0.3,16,0.6,0.8421,0.6806,0.7001,243.6,0.036
ensemble,456,0.4,16,0.6,0.8255,0.6427,0.599,325.8,0.024
random,42,0.0,16,0.6,0.8809,0.791,1.0,0.0,0.1579
random,42,0.2,16,0.6,0.8486,0.6805,0.8006,162.0,0.0111
random,42,0.3,16,0.6,0.8283,0.6501,0.6994,244.2,0.0277
random,42,0.4,16,0.6,0.8116,0.6341,0.5997,325.2,0.0175
random,123,0.0,16,0.6,0.8707,0.8125,1.0,0.0,0.2041
random,123,0.2,16,0.6,0.8356,0.6937,0.7991,163.2,0.0111
random,123,0.3,16,0.6,0.8264,0.6594,0.6998,243.9,0.0249
random,123,0.4,16,0.6,0.8144,0.628,0.6004,324.6,0.024
random,456,0.0,16,0.6,0.8846,0.8201,1.0,0.0,0.2401
random,456,0.2,16,0.6,0.8486,0.7037,0.7991,163.2,0.0545
random,456,0.3,16,0.6,0.8329,0.6933,0.7005,243.3,0.024
random,456,0.4,16,0.6,0.819,0.6534,0.599,325.8,0.0212
