dataset,seed,tag,defense,Acc,LiRA,TPR1,ECE,Mass,Frac,ExactFrac,feasible_c060
Cora,42,none,none,0.8809,0.5663,,,,,,1
Cora,42,lbp_strong,lbp,0.7054,0.5208,,,812.4,1.0,0.0,0
Cora,42,lbp_eqmass,lbp,0.8707,0.5246,,,324.96,1.0,0.0,0
Cora,42,sel_lte,harp_release_only,0.8347,0.541,,,325.5,0.4007,0.5992999999999999,1
Cora,42,sel_random,harp_random,0.8116,0.5319,,,325.2,0.4003,0.5997,1
Cora,42,sel_audit,harp_audit,0.8292,0.5303,,,324.9,0.3999,0.6001000000000001,1
Cora,42,sel_degree,harp_degree,0.831,0.5453,,,325.2,0.4003,0.5997,1
Cora,42,sel_train_nbr,harp_train_nbr,0.8449,0.538,,,324.3,0.3992,0.6008,1
Cora,42,sel_confidence,harp_confidence,0.8301,0.555,,,323.7,0.3984,0.6016,1
Cora,42,sel_entropy,harp_entropy,0.8153,0.5346,,,324.6,0.3996,0.6004,1
Cora,123,none,none,0.8707,0.5776,,,,,,1
Cora,123,lbp_strong,lbp,0.7184,0.5301,,,812.4,1.0,0.0,0
Cora,123,lbp_eqmass,lbp,0.868,0.5323,,,324.96,1.0,0.0,0
Cora,123,sel_lte,harp_release_only,0.8246,0.5481,,,325.2,0.4003,0.5997,1
Cora,123,sel_random,harp_random,0.8144,0.5336,,,324.6,0.3996,0.6004,1
Cora,123,sel_audit,harp_audit,0.8163,0.5384,,,325.2,0.4003,0.5997,1
Cora,123,sel_degree,harp_degree,0.8301,0.5539,,,325.2,0.4003,0.5997,1
Cora,123,sel_train_nbr,harp_train_nbr,0.8384,0.5484,,,324.6,0.3996,0.6004,1
Cora,123,sel_confidence,harp_confidence,0.819,0.5697,,,324.9,0.3999,0.6001000000000001,1
Cora,123,sel_entropy,harp_entropy,0.7978,0.5518,,,327.0,0.4025,0.5974999999999999,1
Cora,456,none,none,0.8846,0.5587,,,,,,1
Cora,456,lbp_strong,lbp,0.7239,0.5001,,,812.4,1.0,0.0,0
Cora,456,lbp_eqmass,lbp,0.8781,0.5041,,,324.96,1.0,0.0,0
Cora,456,sel_lte,harp_release_only,0.831,0.5274,,,325.5,0.4007,0.5992999999999999,1
Cora,456,sel_random,harp_random,0.819,0.5174,,,325.8,0.401,0.599,1
