dataset,tag,Acc_mean,Acc_std,LiRA_mean,LiRA_std,ECE_mean,Mass_mean,Frac_mean,ExactFrac_mean,n,Acc_lo,Acc_hi,LiRA_lo,LiRA_hi
Chameleon,lbp_eqmass,0.4382,0.025665541100861278,0.56724,0.013574350813206492,,273.24,1.0,0.0,5,0.41570316132431046,0.4606968386756895,0.5553415569018463,0.5791384430981537
Chameleon,lbp_strong,0.38882,0.024459394923014757,0.54378,0.010459780112411513,,683.1,1.0,0.0,5,0.3673803950633413,0.4102596049366587,0.5346115984904675,0.5529484015095326
Chameleon,none,0.44852,0.02271446675579245,0.6224999999999999,0.013913662350366299,,,,,5,0.42860989203846445,0.4684301079615355,0.6103041372260917,0.6346958627739082
Chameleon,sel_audit,0.43468,0.013324488733155948,0.5681200000000001,0.01003628417293971,,300.65999999999997,0.44014,0.5598599999999999,5,0.42300057067147545,0.44635942932852457,0.5593228090483383,0.5769171909516618
Chameleon,sel_confidence,0.4237,0.02424664925304112,0.57042,0.013018717294726104,,288.36,0.42216000000000004,0.5778399999999999,5,0.4024468748650934,0.44495312513490665,0.559008591154463,0.5818314088455371
Chameleon,sel_degree,0.42898,0.014949481596363124,0.58854,0.010352439326071838,,273.3,0.4001,0.5999,5,0.4158762016254828,0.44208379837451717,0.5794656868381127,0.5976143131618872
Chameleon,sel_entropy,0.43292,0.01787601745356051,0.57388,0.011368245247178634,,276.06,0.40413999999999994,0.59586,5,0.4172509798442915,0.44858902015570856,0.5639152936902284,0.5838447063097715
Chameleon,sel_lte,0.42590000000000006,0.025525183642826157,0.5631600000000001,0.006093685256066292,,272.04,0.39824000000000004,0.60176,5,0.40352619006069823,0.4482738099393019,0.5578186493693076,0.5685013506306926
Chameleon,sel_random,0.43468,0.025349003925203843,0.57232,0.014285552141936973,,272.04,0.39824000000000004,0.60176,5,0.4124606183920434,0.4568993816079566,0.5597981614512885,0.5848418385487116
Chameleon,sel_train_nbr,0.43006,0.018751746585318394,0.5588200000000001,0.012184908698878292,,276.06,0.40414000000000005,0.59586,5,0.4136233694158444,0.4464966305841556,0.5481394566130745,0.5695005433869257
Cora,lbp_eqmass,0.8701599999999999,0.00537010241987992,0.5197200000000001,0.012217078210439672,,324.96,1.0,0.0,5,0.8654528976896608,0.874867102310339,0.5090112587929301,0.5304287412070701
Cora,lbp_strong,0.7071,0.014259382875847052,0.5168200000000001,0.012715620315187155,,812.4,1.0,0.0,5,0.6946010998243844,0.7195989001756155,0.5056742673708724,0.5279657326291277
Cora,none,0.877,0.005616493568054744,0.56672,0.006947445573734289,,,,,5,0.8720769263259626,0.8819230736740374,0.5606302954554429,0.5728097045445572
Cora,sel_audit,0.81958,0.010956596186772633,0.5258200000000001,0.010549028391278503,,325.32,0.40044,0.59956,5,0.8099761200007497,0.8291838799992503,0.5165733689248463,0.5350666310751538
Cora,sel_confidence,0.8132999999999999,0.01777624819808725,0.5503600000000001,0.013434954410045436,,324.71999999999997,0.39968,0.6003200000000001,5,0.7977184314525141,0.8288815685474857,0.5385837432364949,0.5621362567635052
Cora,sel_degree,0.81884,0.011579205499514977,0.5428,0.007851114570556187,,325.2,0.4003,0.5997,5,0.8086903788760369,0.8289896211239631,0.5359181946554701,0.5496818053445298
Cora,sel_entropy,0.80496,0.011678527304416401,0.52962,0.015687319720079602,,325.32,0.40044,0.59956,5,0.7947233194755331,0.8151966805244669,0.5158694579946825,0.5433705420053174
Cora,sel_lte,0.82622,0.006434827115004732,0.53576,0.008625137680060567,,325.2,0.40031999999999995,0.59968,5,0.8205796253457771,0.8318603746542228,0.5281997334861792,0.5433202665138208
Cora,sel_random,0.8103400000000001,0.007029082443676397,0.5261,0.007359687493365515,,325.32,0.40044,0.59956,5,0.8041787375839038,0.8165012624160963,0.5196489494808985,0.5325510505191016
Cora,sel_train_nbr,0.83766,0.006786972815622536,0.5369200000000001,0.009559654805483306,,324.54,0.3995,0.6005,5,0.8317109560297473,0.8436090439702526,0.5285405931092947,0.5452994068907054
