constructor,seed,slice_auc,Acc
random,42,0.6743244234788432,0.8070175438596491
lte,42,0.6301807319268073,0.8384118190212373
audit,42,0.6136459165230549,0.8227146814404432
ensemble,42,0.5927431236590329,0.8264081255771006
random,123,0.6480323353293413,0.817174515235457
lte,123,0.6465938069216758,0.8217913204062789
audit,123,0.6047065339046087,0.8153277931671283
ensemble,123,0.5921412974669027,0.8134810710987996
random,456,0.6596303837864228,0.8208679593721145
lte,456,0.643177770853757,0.8310249307479224
audit,456,0.6055181650520222,0.8264081255771006
ensemble,456,0.5804119022407311,0.8236380424746076
random,789,0.6934645661741441,0.8033240997229917
lte,789,0.6676652739729522,0.8227146814404432
audit,789,0.6478396315860762,0.7940904893813481
ensemble,789,0.6113869602823947,0.7996306555863343
random,1024,0.6673045045045045,0.8051708217913204
lte,1024,0.6468254364837449,0.8190212373037857
audit,1024,0.6076853463278803,0.8153277931671283
ensemble,1024,0.5909180270317711,0.8024007386888273
