seed,theta,temp,slice_auc_before,slice_auc_after,Acc_before,Acc_after,frac_smoothed,argmax_preserved
42,0.95,2.0,0.6301007399260075,0.6104527047295271,0.8384118190212373,0.8384118190212373,0.5321270310192023,True
42,0.9,2.0,0.6301007399260075,0.6274385061493851,0.8384118190212373,0.8384118190212373,0.552437223042836,True
42,0.9,3.0,0.6301007399260075,0.6091678332166783,0.8384118190212373,0.8384118190212373,0.552437223042836,True
42,0.8,2.0,0.6301007399260075,0.6299707529247075,0.8384118190212373,0.8384118190212373,0.5683161004431314,True
123,0.95,2.0,0.6499453551912567,0.6237334338295333,0.8264081255771006,0.8264081255771006,0.5166174298375185,True
123,0.9,2.0,0.6499453551912567,0.6436542930720431,0.8264081255771006,0.8264081255771006,0.5398818316100443,True
123,0.9,3.0,0.6499453551912567,0.6126386533509203,0.8264081255771006,0.8264081255771006,0.5398818316100443,True
123,0.8,2.0,0.6499453551912567,0.648767037246404,0.8264081255771006,0.8264081255771006,0.5605612998522895,True
456,0.95,2.0,0.6421923644939596,0.623315119781336,0.8356417359187442,0.8356417359187442,0.5295420974889217,True
456,0.9,2.0,0.6421923644939596,0.6354667760999693,0.8356417359187442,0.8356417359187442,0.5465288035450517,True
456,0.9,3.0,0.6421923644939596,0.6071534422093368,0.8356417359187442,0.8356417359187442,0.5465288035450517,True
456,0.8,2.0,0.6421923644939596,0.6411917590643453,0.8356417359187442,0.8356417359187442,0.5616691285081241,True
789,0.95,2.0,0.6700629517964728,0.6533965402019152,0.8199445983379502,0.8199445983379502,0.5236336779911374,True
789,0.9,2.0,0.6700629517964728,0.6655430740270275,0.8199445983379502,0.8199445983379502,0.5443131462333826,True
789,0.9,3.0,0.6700629517964728,0.6411377746488932,0.8199445983379502,0.8199445983379502,0.5443131462333826,True
789,0.8,2.0,0.6700629517964728,0.6689967503813328,0.8199445983379502,0.8199445983379502,0.560930576070901,True
1024,0.95,2.0,0.6554226921577838,0.6367965541019976,0.8227146814404432,0.8227146814404432,0.5299113737075333,True
1024,0.9,2.0,0.6554226921577838,0.6473875935679236,0.8227146814404432,0.8227146814404432,0.5542836041358936,True
1024,0.9,3.0,0.6554226921577838,0.6196645046521623,0.8227146814404432,0.8227146814404432,0.5542836041358936,True
1024,0.8,2.0,0.6554226921577838,0.6525419494108594,0.8227146814404432,0.8227146814404432,0.5701624815361891,True
