dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Citeseer,GraphSAGE,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7408,0.7654,1.0,0.2592,random_40_20_40,0.7073,0.9131,0.7372,0.7295,0.7326,0.6566,0.0008,0.0128,0.6296,0.6296,0.737,0.731,,,0.5833,0.5654,0.0083,0.0316,0.153,1.8796,1,,,,,,,,none
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.7355,0.000823,0.6228,0.6,0.8527,0.2299,random_40_20_40,0.5927,0.8129,0.6311,0.5943,0.6501,0.5995,0.0,0.0,0.615,0.615,0.6326,0.6011,,,0.5204,0.5071,0.003,0.027,0.0712,1.8365,1,,998.1,1.0,,0.3,1.0,3327.0,lbp_strong
Citeseer,GraphSAGE,lbp,"{""scale"": 0.12}",42,eac9960f8ba0,0.7355,0.000823,0.7355,0.7519,0.997,0.2615,random_40_20_40,0.7033,0.8626,0.6678,0.6266,0.6817,0.6161,0.0,0.0,0.6307,0.6307,0.671,0.6454,,,0.5325,0.5177,0.0045,0.0173,0.061,2.016,1,,399.24,1.0,,0.12,1.0,3327.0,lbp_equal_mass
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.7355,0.000823,0.713,0.806,0.9068,0.1938,random_40_20_40,0.6805,0.8853,0.5957,0.5883,0.5861,0.5267,0.0,0.0113,0.5969,0.5969,0.6498,0.6146,,,0.533,0.5222,0.0023,0.0105,0.0984,5.2906,1,,399.0,0.3998,0.196,0.1199,0.3998,1330.0,harp
Citeseer,GraphSAGE,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7431,0.7414,0.9992,0.2562,random_40_20_40,0.7171,0.9252,0.7395,0.7325,0.7393,0.6679,0.0075,0.0308,0.6281,0.6281,0.7394,0.7318,,,0.595,0.5718,0.0105,0.0406,0.1386,1.9161,1,,,,,,,,none
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.7355,0.000823,0.6266,0.6361,0.8392,0.2126,random_40_20_40,0.6009,0.8206,0.6277,0.5875,0.6416,0.5913,0.0,0.0,0.6063,0.6063,0.6241,0.5973,,,0.5203,0.5053,0.0038,0.0301,0.0848,1.8844,1,,998.1,1.0,,0.3,1.0,3327.0,lbp_strong
Citeseer,GraphSAGE,lbp,"{""scale"": 0.12}",123,eac9960f8ba0,0.7355,0.000823,0.7415,0.7323,0.997,0.2554,random_40_20_40,0.7179,0.8659,0.6787,0.6394,0.6825,0.6138,0.0,0.0,0.6277,0.6277,0.6736,0.6551,,,0.5317,0.5188,0.0015,0.0218,0.085,1.8336,1,,399.24,1.0,,0.12,1.0,3327.0,lbp_equal_mass
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.7355,0.000823,0.716,0.8135,0.9181,0.2021,random_40_20_40,0.6882,0.8821,0.6245,0.6018,0.5852,0.5169,0.0,0.0278,0.6011,0.6011,0.6704,0.6108,,,0.5573,0.547,0.0015,0.0128,0.0968,5.0834,1,,398.7,0.3995,0.2074,0.1198,0.3995,1329.0,harp
Citeseer,GraphSAGE,none,{},456,eac9960f8ba0,0.7355,0.000823,0.7476,0.7368,0.9992,0.2517,random_40_20_40,0.7182,0.926,0.7907,0.7536,0.7793,0.704,0.0015,0.0173,0.6258,0.6258,0.7907,0.7558,,,0.5953,0.5654,0.027,0.0548,0.1277,1.8807,1,,,,,,,,none
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.7355,0.000823,0.6108,0.615,0.8249,0.2141,random_40_20_40,0.5868,0.8147,0.6316,0.583,0.6395,0.5935,0.0,0.0,0.6071,0.6071,0.6152,0.5905,,,0.5287,0.5147,0.015,0.0331,0.0517,1.9383,1,,998.1,1.0,,0.3,1.0,3327.0,lbp_strong
