policy,c,seed,Frac,ExactFrac,feasible_c,Acc,LiRA,Mass
lbp_eqmass,-1.0,42,1.0,0.0,0,0.8707,0.5246,324.96
lbp_strong,-1.0,42,1.0,0.0,0,0.7054,0.5208,812.4
none,1.0,42,0.0,1.0,1,0.8809,0.5663,0.0
harp_random,0.0,42,0.9996,0.00039999999999995595,1,0.7285,0.5232,812.1
harp_lte,0.0,42,0.9996,0.00039999999999995595,1,0.7285,0.5229,812.1
harp_entropy,0.0,42,1.0,0.0,1,0.7313,0.5212,812.4
harp_random,0.2,42,0.8002,0.19979999999999998,1,0.7608,0.52,650.1
harp_lte,0.2,42,0.7999,0.20009999999999994,1,0.7756,0.5283,649.8
harp_entropy,0.2,42,0.7999,0.20009999999999994,1,0.7498,0.5233,649.8
harp_random,0.4,42,0.5993,0.40069999999999995,1,0.7839,0.521,486.9
harp_lte,0.4,42,0.6001,0.39990000000000003,1,0.807,0.5275,487.5
harp_entropy,0.4,42,0.599,0.401,1,0.7802,0.5314,486.6
harp_random,0.6,42,0.4003,0.5997,1,0.8116,0.5319,325.2
harp_lte,0.6,42,0.4007,0.5992999999999999,1,0.8347,0.541,325.5
harp_entropy,0.6,42,0.3996,0.6004,1,0.8153,0.5346,324.6
harp_random,0.8,42,0.1994,0.8006,1,0.8486,0.5367,162.0
harp_lte,0.8,42,0.2001,0.7999,1,0.8587,0.5427,162.6
harp_entropy,0.8,42,0.1968,0.8032,1,0.855,0.5475,159.9
lbp_eqmass,-1.0,123,1.0,0.0,0,0.868,0.5323,324.96
lbp_strong,-1.0,123,1.0,0.0,0,0.7184,0.5301,812.4
none,1.0,123,0.0,1.0,1,0.8707,0.5776,0.0
harp_random,0.0,123,1.0,0.0,1,0.7276,0.5248,812.4
harp_lte,0.0,123,0.9996,0.00039999999999995595,1,0.7276,0.5247,812.1
harp_entropy,0.0,123,1.0,0.0,1,0.7193,0.5245,812.4
harp_random,0.2,123,0.8006,0.19940000000000002,1,0.7544,0.5251,650.4
harp_lte,0.2,123,0.8002,0.19979999999999998,1,0.7692,0.5262,650.1
harp_entropy,0.2,123,0.7999,0.20009999999999994,1,0.7415,0.5331,649.8
harp_random,0.4,123,0.6004,0.39959999999999996,1,0.7904,0.5256,487.8
harp_lte,0.4,123,0.5997,0.4003,1,0.7959,0.5338,487.2
harp_entropy,0.4,123,0.5993,0.40069999999999995,1,0.7655,0.5409,486.9
harp_random,0.6,123,0.3996,0.6004,1,0.8144,0.5336,324.6
harp_lte,0.6,123,0.4003,0.5997,1,0.8246,0.5481,325.2
harp_entropy,0.6,123,0.4025,0.5974999999999999,1,0.7978,0.5518,327.0
harp_random,0.8,123,0.2009,0.7991,1,0.8356,0.5576,163.2
harp_lte,0.8,123,0.1998,0.8002,1,0.8458,0.5477,162.3
harp_entropy,0.8,123,0.1994,0.8006,1,0.8356,0.5632,162.0
lbp_eqmass,-1.0,456,1.0,0.0,0,0.8781,0.5041,324.96
lbp_strong,-1.0,456,1.0,0.0,0,0.7239,0.5001,812.4
none,1.0,456,0.0,1.0,1,0.8846,0.5587,0.0
harp_random,0.0,456,1.0,0.0,1,0.7258,0.4958,812.4
harp_lte,0.0,456,1.0,0.0,1,0.7258,0.4958,812.4
harp_entropy,0.0,456,0.9996,0.00039999999999995595,1,0.7267,0.4952,812.1
harp_random,0.2,456,0.8006,0.19940000000000002,1,0.7608,0.5036,650.4
harp_lte,0.2,456,0.7999,0.20009999999999994,1,0.7692,0.5065,649.8
harp_entropy,0.2,456,0.8002,0.19979999999999998,1,0.7562,0.4996,650.1
harp_random,0.4,456,0.5982,0.40180000000000005,1,0.7959,0.5039,486.0
harp_lte,0.4,456,0.5993,0.40069999999999995,1,0.8042,0.5136,486.9
harp_entropy,0.4,456,0.6001,0.39990000000000003,1,0.7886,0.5098,487.5
harp_random,0.6,456,0.401,0.599,1,0.819,0.5174,325.8
harp_lte,0.6,456,0.4007,0.5992999999999999,1,0.831,0.5274,325.5
harp_entropy,0.6,456,0.401,0.599,1,0.8199,0.5088,325.8
harp_random,0.8,456,0.2009,0.7991,1,0.8486,0.5324,163.2
harp_lte,0.8,456,0.1998,0.8002,1,0.8643,0.5265,162.3
harp_entropy,0.8,456,0.1998,0.8002,1,0.8504,0.5271,162.3
lbp_eqmass,-1.0,789,1.0,0.0,0,0.8707,0.5096,324.96
lbp_strong,-1.0,789,1.0,0.0,0,0.699,0.5072,812.4
none,1.0,789,0.0,1.0,1,0.8744,0.5636,0.0
harp_random,0.0,789,0.9996,0.00039999999999995595,1,0.6934,0.5052,812.1
harp_lte,0.0,789,1.0,0.0,1,0.6934,0.5048,812.4
harp_entropy,0.0,789,0.9996,0.00039999999999995595,1,0.6925,0.5042,812.1
harp_random,0.2,789,0.7999,0.20009999999999994,1,0.7295,0.5026,649.8
harp_lte,0.2,789,0.801,0.19899999999999995,1,0.7368,0.5088,650.7
harp_entropy,0.2,789,0.7995,0.2005,1,0.7258,0.5042,649.5
harp_random,0.4,789,0.6001,0.39990000000000003,1,0.7655,0.5136,487.5
harp_lte,0.4,789,0.5997,0.4003,1,0.7839,0.5093,487.2
harp_entropy,0.4,789,0.5997,0.4003,1,0.7599,0.5161,487.2
harp_random,0.6,789,0.4021,0.5979,1,0.8052,0.5193,326.7
harp_lte,0.6,789,0.4007,0.5992999999999999,1,0.8199,0.5295,325.5
harp_entropy,0.6,789,0.3992,0.6008,1,0.7959,0.5238,324.3
harp_random,0.8,789,0.171,0.829,1,0.844,0.535,138.9
harp_lte,0.8,789,0.2005,0.7995,1,0.8504,0.5314,162.9
harp_entropy,0.8,789,0.2005,0.7995,1,0.8384,0.5357,162.9
lbp_eqmass,-1.0,1024,1.0,0.0,0,0.8633,0.528,324.96
lbp_strong,-1.0,1024,1.0,0.0,0,0.6888,0.5259,812.4
none,1.0,1024,0.0,1.0,1,0.8744,0.5674,0.0
harp_random,0.0,1024,0.9996,0.00039999999999995595,1,0.6999,0.5131,812.1
harp_lte,0.0,1024,0.9993,0.0007000000000000339,1,0.6999,0.5134,811.8
harp_entropy,0.0,1024,1.0,0.0,1,0.6981,0.5107,812.4
harp_random,0.2,1024,0.8002,0.19979999999999998,1,0.7276,0.5149,650.1
harp_lte,0.2,1024,0.7999,0.20009999999999994,1,0.7433,0.5218,649.8
harp_entropy,0.2,1024,0.7999,0.20009999999999994,1,0.7313,0.5166,649.8
harp_random,0.4,1024,0.6012,0.39880000000000004,1,0.7664,0.5205,488.4
harp_lte,0.4,1024,0.5997,0.4003,1,0.7904,0.5235,487.2
harp_entropy,0.4,1024,0.5997,0.4003,1,0.7636,0.5189,487.2
harp_random,0.6,1024,0.3992,0.6008,1,0.8015,0.5283,324.3
harp_lte,0.6,1024,0.3992,0.6008,1,0.8209,0.5328,324.3
harp_entropy,0.6,1024,0.3999,0.6001000000000001,1,0.7959,0.5291,324.9
harp_random,0.8,1024,0.2053,0.7947,1,0.8421,0.5428,166.8
harp_lte,0.8,1024,0.1998,0.8002,1,0.8532,0.5355,162.3
harp_entropy,0.8,1024,0.2009,0.7991,1,0.8412,0.5432,163.2
