seed,policy,raw_exactfrac,replay_frac,cross_client_exactfrac,presession_audit_replay,clean_threshold_flicker,shared_cache_hit,n_clients,n_req,cache_cap
42,none,1.0,1.0,1.0,1.0,0.0,0.869,8,20000,1024
42,lbp_fresh,0.0,0.00036927621861152144,0.0011078286558345643,0.0,0.08133086876155268,0.004,8,20000,1024
42,lbp_sticky,0.0,1.0,0.0011078286558345643,0.0,0.08133086876155268,0.61965,8,20000,1024
42,lbp_global,0.00036927621861152144,1.0,1.0,1.0,0.0,0.869,8,20000,1024
42,lbp_seeded,0.0,1.0,1.0,1.0,0.0,0.869,8,20000,1024
42,harp,0.5993353028064993,0.5993353028064993,0.5997045790251108,0.5997045790251108,0.0,0.76675,8,20000,1024
123,none,1.0,1.0,1.0,1.0,0.0,0.8721,8,20000,1024
123,lbp_fresh,0.00036927621861152144,0.0,0.0,0.0,0.09913793103448276,0.0039,8,20000,1024
123,lbp_sticky,0.00036927621861152144,1.0,0.0,0.0,0.09913793103448276,0.62025,8,20000,1024
123,lbp_global,0.0,1.0,1.0,1.0,0.0,0.8721,8,20000,1024
123,lbp_seeded,0.0,1.0,1.0,1.0,0.0,0.8721,8,20000,1024
123,harp,0.6000738552437223,0.5997045790251108,0.5997045790251108,0.5997045790251108,0.0,0.77565,8,20000,1024
456,none,1.0,1.0,1.0,1.0,0.0,0.86665,8,20000,1024
456,lbp_fresh,0.00036927621861152144,0.0,0.0,0.0,0.0862600123228589,0.0044,8,20000,1024
456,lbp_sticky,0.00036927621861152144,1.0,0.0,0.0,0.0862600123228589,0.6182,8,20000,1024
456,lbp_global,0.0,1.0,1.0,1.0,0.0,0.86665,8,20000,1024
456,lbp_seeded,0.0,1.0,1.0,1.0,0.0,0.86665,8,20000,1024
456,harp,0.5993353028064993,0.5993353028064993,0.5993353028064993,0.5993353028064993,0.0,0.76505,8,20000,1024
