dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,0.8579,1.0,0.1191,random_40_20_40,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.5596,0.5596,0.6569,0.6482,,,0.5663,0.5471,0.0129,0.0397,0.0549,0.8693,1,,,,,,,,none
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.81,0.00144,0.7054,0.6734,0.8052,0.0997,random_40_20_40,0.6803,0.8974,0.5716,0.554,0.5734,0.5466,0.0,0.0,0.5499,0.5499,0.5713,0.554,,,0.5208,0.5088,0.0046,0.0203,0.1419,1.103,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",42,eac9960f8ba0,0.81,0.00144,0.8707,0.8487,0.9982,0.1274,random_40_20_40,0.8635,0.9475,0.6055,0.5762,0.5982,0.5614,0.0,0.0,0.5637,0.5637,0.592,0.5706,,,0.5246,0.512,0.0037,0.0092,0.1592,0.9823,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_equal_mass
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8449,0.8358,0.9077,0.0628,random_40_20_40,0.8294,0.9472,0.5622,0.5614,0.5005,0.4875,0.0,0.0129,0.5314,0.5314,0.6203,0.5697,,,0.5366,0.5286,0.0037,0.012,0.0415,2.6246,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,harp
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,eac9960f8ba0,0.81,0.00144,0.8781,0.8801,0.9769,0.0988,random_40_20_40,0.8695,0.9551,0.5681,0.5531,0.5617,0.5346,0.0,0.0,0.5494,0.5494,0.5594,0.554,,,0.519,0.5115,0.0092,0.0148,0.1289,2.5997,1,,311.5959,0.9996,,0.1151,0.3288,2707.0,sami
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,0.8745,1.0,0.1293,random_40_20_40,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.5646,0.5646,0.6528,0.6445,,,0.5776,0.5512,0.0139,0.0323,0.0623,0.9649,1,,,,,,,,none
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.81,0.00144,0.7184,0.7306,0.8098,0.0914,random_40_20_40,0.6922,0.8958,0.5584,0.5466,0.5472,0.5162,0.0,0.0,0.5457,0.5457,0.5591,0.542,,,0.5301,0.5162,0.0065,0.0222,0.1461,0.8522,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",123,eac9960f8ba0,0.81,0.00144,0.868,0.8727,0.9945,0.1265,random_40_20_40,0.8581,0.9447,0.5837,0.5743,0.5754,0.5309,0.0,0.0166,0.5633,0.5633,0.5712,0.5642,,,0.5323,0.5208,0.0129,0.0222,0.1473,0.8517,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_equal_mass
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8292,0.845,0.9141,0.0849,random_40_20_40,0.8107,0.9456,0.5797,0.5374,0.5219,0.5115,0.0,0.0175,0.5425,0.5425,0.6334,0.5863,,,0.5464,0.5282,0.0092,0.0166,0.0308,2.545,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0,harp
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,eac9960f8ba0,0.81,0.00144,0.8717,0.9133,0.9861,0.1145,random_40_20_40,0.8589,0.9491,0.5733,0.5466,0.566,0.5392,0.0,0.0157,0.5572,0.5572,0.5716,0.5522,,,0.5191,0.5115,0.0102,0.012,0.1233,2.4656,1,,298.0522,0.9996,,0.1101,0.3145,2707.0,sami
