seed,policy,Mass,mean_L1,top1_flip,mean_JS,ExactFrac
42,lbp_eqmass,324.96,0.4936169957009272,0.014401772525849335,0.09429942779442252,0.0
42,harp_release,325.5,0.3515356318926271,0.08751846381093058,0.07777352634625814,0.0
123,lbp_eqmass,324.96,0.48518989846334265,0.016986706056129987,0.09239144771578084,0.0
123,harp_release,325.2,0.344727056909898,0.08456425406203841,0.07585299175374706,0.00036927621861152144
456,lbp_eqmass,324.96,0.4974315421361865,0.01624815361890694,0.09507619817821242,0.0
456,harp_release,325.5,0.35312684979411446,0.086410635155096,0.07810012263953872,0.0
789,lbp_eqmass,324.96,0.4937651162868757,0.019571639586410634,0.09433197563328026,0.0
789,harp_release,325.5,0.34809368197677365,0.0878877400295421,0.07650780114469512,0.00036927621861152144
1024,lbp_eqmass,324.96,0.4959960634379279,0.017355982274741506,0.09445635996011374,0.0
1024,harp_release,324.3,0.34643864213308817,0.0930576070901034,0.07609359783559443,0.0
