dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Cora,GraphSAGE,harp_frac0.2,test_accuracy,0.85946,0.007274475926140683,0.8548399999999999,0.8659399999999999,5
Cora,GraphSAGE,harp_frac0.2,lira_attack_auc,0.5374399999999999,0.007371770479335353,0.53208,0.543412,5
Cora,GraphSAGE,harp_frac0.2,noise_mass,162.48000000000002,0.2683281572999706,162.3,162.71999999999997,5
Cora,GraphSAGE,harp_frac0.3,test_accuracy,0.8472800000000001,0.006436769376014639,0.8425,0.853,5
Cora,GraphSAGE,harp_frac0.3,lira_attack_auc,0.53814,0.006523266053136276,0.53278,0.54296,5
Cora,GraphSAGE,harp_frac0.3,noise_mass,244.08,0.6220932405998305,243.66,244.61999999999998,5
Cora,GraphSAGE,harp_frac0.4,test_accuracy,0.8316000000000001,0.008043009387039142,0.82624,0.8386199999999999,5
Cora,GraphSAGE,harp_frac0.4,lira_attack_auc,0.53284,0.010181502836025697,0.5245340000000001,0.5406465,5
Cora,GraphSAGE,harp_frac0.4,noise_mass,325.2,0.5196152422706583,324.78,325.5,5
Cora,GraphSAGE,harp_frac0.6,test_accuracy,0.8,0.010966312051004222,0.79278,0.8088600000000001,5
Cora,GraphSAGE,harp_frac0.6,lira_attack_auc,0.51916,0.009074304381053106,0.51226,0.52638,5
Cora,GraphSAGE,harp_frac0.6,noise_mass,487.2,0.2121320343559723,487.02,487.38,5
Cora,GraphSAGE,harp_frac1.0,test_accuracy,0.71394,0.018892008892650865,0.69934,0.7274200000000001,5
Cora,GraphSAGE,harp_frac1.0,lira_attack_auc,0.51054,0.01021924654756893,0.50258,0.5185000000000001,5
Cora,GraphSAGE,harp_frac1.0,noise_mass,812.4,0.0,812.4,812.4,5
