dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,target_frac
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8717,0.8745,0.952,0.0803,random_40_20_40,0.8649,0.9615,0.6043,0.5697,0.5761,0.5642,0.0,0.0092,0.5402,0.5402,0.611,0.5937,,,0.5405,0.5342,0.0018,0.0092,0.0293,2.7061,1,,162.6,0.2001,0.0816,0.06,0.2001,542.0,0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8532,0.8856,0.9464,0.0933,random_40_20_40,0.838,0.9552,0.6038,0.5466,0.5934,0.5771,0.0065,0.0175,0.5466,0.5466,0.6114,0.5993,,,0.5477,0.5286,0.0074,0.0185,0.0251,2.5258,1,,162.3,0.1998,0.0809,0.0599,0.1998,541.0,0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8596,0.869,0.9538,0.0942,random_40_20_40,0.8508,0.9662,0.609,0.5808,0.5918,0.5743,0.0,0.0148,0.5471,0.5471,0.6401,0.6307,,,0.5282,0.5305,0.0037,0.012,0.0239,2.4929,1,,162.3,0.1998,0.0764,0.0599,0.1998,541.0,0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8578,0.8616,0.9243,0.0665,random_40_20_40,0.8491,0.9558,0.5361,0.5319,0.5204,0.5125,0.0,0.0129,0.5332,0.5332,0.6051,0.5411,,,0.5407,0.5309,0.0028,0.0129,0.028,2.5313,1,,243.6,0.2999,0.1422,0.09,0.2999,812.0,0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8449,0.8616,0.9252,0.0803,random_40_20_40,0.8301,0.9535,0.5457,0.5374,0.5352,0.5319,0.0092,0.0157,0.5402,0.5402,0.6171,0.591,,,0.5467,0.5272,0.0074,0.0148,0.0203,2.5189,1,,245.1,0.3017,0.1418,0.0905,0.3017,817.0,0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8458,0.8635,0.9335,0.0877,random_40_20_40,0.8357,0.9586,0.5489,0.5005,0.5362,0.5346,0.0,0.0175,0.5439,0.5439,0.6357,0.6076,,,0.5295,0.53,0.0046,0.0166,0.0263,2.5845,1,,244.2,0.3006,0.1337,0.0902,0.3006,814.0,0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8449,0.8358,0.9077,0.0628,random_40_20_40,0.8294,0.9472,0.5622,0.5614,0.5005,0.4875,0.0,0.0129,0.5314,0.5314,0.6203,0.5697,,,0.5366,0.5286,0.0037,0.012,0.0415,2.6892,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8292,0.845,0.9141,0.0849,random_40_20_40,0.8107,0.9456,0.5797,0.5374,0.5219,0.5115,0.0,0.0175,0.5425,0.5425,0.6334,0.5863,,,0.5464,0.5282,0.0092,0.0166,0.0308,2.7301,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0,0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.9535,0.572,0.5485,0.5159,0.4968,0.0,0.0175,0.5392,0.5392,0.6291,0.5697,,,0.5192,0.5185,0.0074,0.012,0.0378,2.7622,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.6, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8181,0.8044,0.8753,0.0572,random_40_20_40,0.7975,0.9377,0.592,0.5928,0.4876,0.4626,0.0,0.0065,0.5286,0.5286,0.6216,0.5854,,,0.5277,0.5222,0.0074,0.0175,0.074,2.8529,1,,487.5,0.6001,0.322,0.18,0.6001,1625.0,0.6
