dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,target_frac,tag
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8717,0.8745,0.952,0.0803,random_40_20_40,0.8649,0.9615,0.6044,0.5697,0.5761,0.5642,0.0,0.0092,0.5402,0.5402,0.6108,0.5919,,,0.5402,0.5337,0.0018,0.0092,0.0296,3.4371,1,,162.6,0.2001,0.0816,0.06,0.2001,542.0,0.2,harp_frac0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8532,0.8856,0.9464,0.0933,random_40_20_40,0.838,0.9552,0.6038,0.5466,0.5934,0.5771,0.0065,0.0175,0.5466,0.5466,0.6112,0.5993,,,0.5482,0.5291,0.0074,0.0185,0.0251,3.2862,1,,162.3,0.1998,0.0809,0.0599,0.1998,541.0,0.2,harp_frac0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8596,0.869,0.9538,0.0942,random_40_20_40,0.8508,0.9662,0.609,0.5808,0.5918,0.5743,0.0,0.0148,0.5471,0.5471,0.6397,0.6316,,,0.5283,0.5314,0.0037,0.012,0.0239,3.3596,1,,162.3,0.1998,0.0764,0.0599,0.1998,541.0,0.2,harp_frac0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",789,eac9960f8ba0,0.81,0.00144,0.8578,0.8764,0.9548,0.097,random_40_20_40,0.8395,0.969,0.5828,0.5679,0.6052,0.5854,0.0,0.024,0.5485,0.5485,0.6216,0.6168,,,0.5346,0.5254,0.0055,0.0102,0.0233,3.4139,1,,162.9,0.2005,0.0853,0.0602,0.2005,543.0,0.2,harp_frac0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.2, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",1024,eac9960f8ba0,0.81,0.00144,0.855,0.8801,0.9557,0.1006,random_40_20_40,0.8365,0.9563,0.5792,0.5494,0.5851,0.578,0.0,0.0175,0.5503,0.5503,0.6297,0.6066,,,0.5359,0.5383,0.0055,0.0083,0.0275,4.1155,1,,162.3,0.1998,0.0838,0.0599,0.1998,541.0,0.2,harp_frac0.2
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8578,0.8616,0.9243,0.0665,random_40_20_40,0.8491,0.9558,0.5361,0.5319,0.5204,0.5125,0.0,0.0129,0.5332,0.5332,0.6042,0.5383,,,0.5406,0.5305,0.0028,0.0129,0.028,3.2557,1,,243.6,0.2999,0.1422,0.09,0.2999,812.0,0.3,harp_frac0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8449,0.8616,0.9252,0.0803,random_40_20_40,0.8301,0.9535,0.5457,0.5374,0.5351,0.5328,0.0092,0.0157,0.5402,0.5402,0.6185,0.5946,,,0.5465,0.5268,0.0074,0.0148,0.0214,3.4666,1,,245.1,0.3017,0.1418,0.0905,0.3017,817.0,0.3,harp_frac0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8467,0.8635,0.9335,0.0868,random_40_20_40,0.8363,0.9591,0.5489,0.5005,0.5362,0.5355,0.0,0.0175,0.5434,0.5434,0.6359,0.6094,,,0.5287,0.5286,0.0046,0.0166,0.0283,3.2694,1,,244.2,0.3006,0.1337,0.0902,0.3006,814.0,0.3,harp_frac0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",789,eac9960f8ba0,0.81,0.00144,0.8467,0.8672,0.9298,0.0831,random_40_20_40,0.8247,0.9648,0.5801,0.5365,0.5494,0.5374,0.0,0.024,0.5416,0.5416,0.6277,0.5965,,,0.536,0.5323,0.0065,0.0129,0.0231,3.2928,1,,243.6,0.2999,0.1422,0.09,0.2999,812.0,0.3,harp_frac0.3
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.3, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",1024,eac9960f8ba0,0.81,0.00144,0.8403,0.8708,0.9354,0.0951,random_40_20_40,0.8203,0.9478,0.6052,0.5392,0.5489,0.5457,0.0,0.0212,0.5476,0.5476,0.6187,0.5993,,,0.5389,0.5397,0.0046,0.0074,0.018,3.2742,1,,243.9,0.3002,0.1377,0.0901,0.3002,813.0,0.3,harp_frac0.3
