tag,seed,Acc,LiRA,eps,sigma,ExactFrac,slice_auc
gap_alone,42,0.7996306555863343,0.5432065608936566,41.331691063060056,3.0,1.0,
gap_harp040,42,0.6703601108033241,0.5447199180826148,41.331691063060056,3.0,0.6,0.5655571942805719
gap_alone,123,0.7516158818097877,0.5045076729340969,41.331691063060056,3.0,1.0,
gap_harp040,123,0.6481994459833795,0.49544799209473356,41.331691063060056,3.0,0.6,0.5780202248602475
gap_alone,456,0.7903970452446907,0.5181675333300935,41.331691063060056,3.0,1.0,
gap_harp040,456,0.6500461680517082,0.5154729049381485,41.331691063060056,3.0,0.6,0.5928485843333055
gap_alone,789,0.7192982456140351,0.5139898148929694,41.331691063060056,3.0,1.0,
gap_harp040,789,0.6177285318559557,0.5063846621462048,41.331691063060056,3.0,0.6,0.5940081010901782
gap_alone,1024,0.788550323176362,0.518397734141935,41.331691063060056,3.0,1.0,
gap_harp040,1024,0.6574330563250231,0.5214960665502021,41.331691063060056,3.0,0.6,0.5906122265418094
