dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Cora,GAT,none,{},42,eac9960f8ba0,0.81,0.00144,0.8726,0.8635,0.9705,0.0979,random_40_20_40,0.8683,0.9829,0.5439,0.5568,0.5623,0.5365,0.0009,0.0139,0.5489,0.5489,0.5392,0.5596,,,0.5268,0.5152,0.0009,0.0231,0.0447,0.5345,1,,,,,,,,gat_arch
Cora,GAT,none,{},123,eac9960f8ba0,0.81,0.00144,0.8753,0.8598,0.976,0.1006,random_40_20_40,0.8659,0.9814,0.5859,0.5586,0.5768,0.5365,0.0065,0.0222,0.5503,0.5503,0.5596,0.5586,,,0.5358,0.5291,0.0046,0.0222,0.0453,1.0872,1,,,,,,,,gat_arch
Cora,GAT,none,{},456,eac9960f8ba0,0.81,0.00144,0.8689,0.8653,0.9714,0.1025,random_40_20_40,0.8616,0.986,0.5528,0.5669,0.5641,0.5355,0.0009,0.0092,0.5512,0.5512,0.5728,0.5633,,,0.5053,0.5055,0.0018,0.0129,0.0232,0.4767,1,,,,,,,,gat_arch
Cora,GAT,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.81,0.00144,0.6944,0.6882,0.7535,0.0591,random_40_20_40,0.6716,0.9019,0.5233,0.5319,0.5396,0.5235,0.0,0.0,0.5295,0.5295,0.5312,0.5162,,,0.5139,0.5018,0.0055,0.0212,0.1339,0.492,1,,812.4,1.0,,0.3,1.0,2708.0,gat_arch
Cora,GAT,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.81,0.00144,0.6953,0.6919,0.7562,0.0609,random_40_20_40,0.6713,0.895,0.5377,0.5291,0.5301,0.5014,0.0,0.0139,0.5305,0.5305,0.5388,0.5374,,,0.5217,0.5139,0.0009,0.0129,0.1311,0.7183,1,,812.4,1.0,,0.3,1.0,2708.0,gat_arch
Cora,GAT,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.81,0.00144,0.6861,0.6734,0.7452,0.0591,random_40_20_40,0.6607,0.8942,0.5462,0.5254,0.5265,0.5171,0.0,0.0,0.5295,0.5295,0.5573,0.5309,,,0.497,0.4963,0.0083,0.0166,0.1251,0.4551,1,,812.4,1.0,,0.3,1.0,2708.0,gat_arch
Cora,GAT,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.819,0.7897,0.8633,0.0443,random_40_20_40,0.8053,0.9406,0.5465,0.5605,0.4924,0.4617,0.0,0.0111,0.5222,0.5222,0.5953,0.5568,,,0.5352,0.53,0.0083,0.0102,0.0298,1.0289,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,gat_arch
Cora,GAT,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8181,0.7731,0.8763,0.0582,random_40_20_40,0.8019,0.9426,0.5478,0.5235,0.5064,0.4857,0.0,0.0277,0.5291,0.5291,0.5522,0.5476,,,0.5294,0.5212,0.0046,0.0148,0.0263,1.0356,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0,gat_arch
Cora,GAT,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8116,0.797,0.8596,0.048,random_40_20_40,0.8024,0.953,0.5357,0.5254,0.5049,0.4801,0.0,0.0157,0.524,0.524,0.5401,0.5365,,,0.511,0.5171,0.0037,0.0065,0.0392,1.0023,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,gat_arch
Citeseer,GAT,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7265,0.7489,0.9489,0.2224,random_40_20_40,0.6915,0.9125,0.6406,0.6093,0.6349,0.583,0.0,0.009,0.6112,0.6112,0.6332,0.6243,,,0.5369,0.5267,0.0008,0.012,0.1407,0.6114,1,,,,,,,,gat_arch
Citeseer,GAT,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7198,0.7293,0.9339,0.2141,random_40_20_40,0.695,0.9191,0.644,0.6228,0.6358,0.5763,0.0105,0.0203,0.6071,0.6071,0.6493,0.6356,,,0.5468,0.5342,0.006,0.0173,0.1441,0.6779,1,,,,,,,,gat_arch
Citeseer,GAT,none,{},456,eac9960f8ba0,0.7355,0.000823,0.7273,0.7128,0.9369,0.2096,random_40_20_40,0.702,0.9229,0.6521,0.6048,0.6491,0.5943,0.0045,0.0323,0.6048,0.6048,0.6442,0.6078,,,0.5524,0.5364,0.0135,0.0398,0.1358,0.6041,1,,,,,,,,gat_arch
Citeseer,GAT,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.7355,0.000823,0.6063,0.5835,0.7754,0.169,random_40_20_40,0.5798,0.8128,0.5942,0.5778,0.6065,0.5635,0.0,0.0,0.5845,0.5845,0.5931,0.5778,,,0.511,0.4996,0.0023,0.015,0.0498,0.9193,1,,998.1,1.0,,0.3,1.0,3327.0,gat_arch
Citeseer,GAT,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.7355,0.000823,0.6093,0.6135,0.7603,0.151,random_40_20_40,0.5866,0.8097,0.5919,0.574,0.6043,0.562,0.0,0.0,0.5755,0.5755,0.5918,0.5845,,,0.5229,0.5131,0.003,0.0225,0.0697,0.6286,1,,998.1,1.0,,0.3,1.0,3327.0,gat_arch
Citeseer,GAT,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.7355,0.000823,0.5935,0.5805,0.7446,0.151,random_40_20_40,0.5704,0.8149,0.5853,0.5575,0.5968,0.565,0.0,0.0,0.5755,0.5755,0.5765,0.5597,,,0.5148,0.5041,0.0083,0.0165,0.054,0.6203,1,,998.1,1.0,,0.3,1.0,3327.0,gat_arch
