tag,seed,Acc,LiRA,TPR1,ECE,ExactFrac,phi_auc,conf_auc,eps
none,42,0.8809,0.791,0.1579,0.0549,1.0,0.6569,0.6572,
lbp_eq,42,0.8707,0.587,0.0074,0.1592,0.0,0.592,0.6055,
lbp_strong,42,0.7054,0.5644,0.0139,0.1419,0.0,0.5713,0.5716,
harp_locked,42,0.8347,0.671,0.0609,0.0333,0.5993,0.6318,0.5652,
harp_full,42,0.7285,0.579,0.0055,0.1618,0.0004,0.5781,0.574,
gap_s3,42,0.7793,0.6384,0.0425,0.4032,1.0,0.5263,0.55,41.3317
none,123,0.8707,0.8125,0.2041,0.0623,1.0,0.6528,0.6531,
lbp_eq,123,0.868,0.6066,0.0074,0.1473,0.0,0.5712,0.5837,
lbp_strong,123,0.7184,0.5521,0.0028,0.1461,0.0,0.5591,0.5584,
harp_locked,123,0.8246,0.6746,0.0582,0.0195,0.5997,0.6301,0.5754,
harp_full,123,0.7276,0.5667,0.0055,0.1571,0.0004,0.5618,0.5698,
gap_s3,123,0.7544,0.5995,0.0443,0.3731,1.0,0.5528,0.5355,41.3317
none,456,0.8846,0.8201,0.2401,0.0428,1.0,0.6533,0.6535,
lbp_eq,456,0.8781,0.5922,0.0083,0.1658,0.0,0.5668,0.5763,
lbp_strong,456,0.7239,0.5477,0.0074,0.1513,0.0,0.5755,0.5485,
harp_locked,456,0.831,0.6766,0.0499,0.045,0.5993,0.6287,0.5763,
harp_full,456,0.7258,0.5564,0.0083,0.1592,0.0004,0.5787,0.5789,
gap_s3,456,0.8126,0.6473,0.0305,0.4307,1.0,0.538,0.5388,41.3317
none,789,0.8744,0.8246,0.2271,0.0464,1.0,0.6422,0.6424,
lbp_eq,789,0.8707,0.5894,0.0111,0.1648,0.0,0.6031,0.6005,
lbp_strong,789,0.699,0.5499,0.0074,0.139,0.0,0.5618,0.5607,
harp_locked,789,0.8199,0.6829,0.0979,0.0387,0.5993,0.6146,0.5606,
harp_full,789,0.6934,0.5474,0.0092,0.1428,0.0004,0.5864,0.585,
gap_s3,789,0.7442,0.6202,0.0397,0.3806,1.0,0.5447,0.5445,41.3317
none,1024,0.8744,0.8153,0.1717,0.0503,1.0,0.6442,0.6442,
lbp_eq,1024,0.8633,0.5834,0.0102,0.1566,0.0,0.5862,0.6008,
lbp_strong,1024,0.6888,0.5384,0.0046,0.1308,0.0,0.558,0.5678,
harp_locked,1024,0.8209,0.6658,0.0332,0.0284,0.6008,0.6223,0.5702,
harp_full,1024,0.6999,0.5497,0.0139,0.138,0.0004,0.5539,0.5572,
gap_s3,1024,0.7904,0.6139,0.0397,0.4083,1.0,0.5385,0.5364,41.3317
memguard,42,0.8809,0.6496,0.012,0.0565,0.0,0.6506,0.6506,
memguard,123,0.8707,0.6623,0.0988,0.0764,0.0,0.6124,0.6125,
memguard,456,0.8846,0.6744,0.1071,0.0559,0.0,0.6092,0.6082,
memguard,789,0.8744,0.6772,0.0822,0.0613,0.0,0.6037,0.6048,
memguard,1024,0.8744,0.6719,0.0979,0.0655,0.0,0.6209,0.6225,
