tag,seed,Acc,LiRA,ExactFrac
none,42,0.6759002770083102,0.831558655593155,
lbp_strong,42,0.48107109879963067,0.5847475762838598,0.0
harp,42,0.6177285318559557,0.6814566425296853,0.5997045790251108
none,123,0.6851338873499538,0.8120350689621951,
lbp_strong,123,0.4939981532779317,0.576246345562112,0.0
harp,123,0.6121883656509696,0.6757058852116441,0.6000738552437224
none,456,0.7045244690674054,0.8208031621065592,
lbp_strong,456,0.49122807017543857,0.5722706922820489,0.0
harp,456,0.615881809787627,0.6884879984380448,0.6000738552437224
none,789,0.65466297322253,0.8166578423022127,
lbp_strong,789,0.46352723915050786,0.5970258055110074,0.0
harp,789,0.5974145891043398,0.6828523415259244,0.6000738552437224
none,1024,0.6389658356417359,0.8098080892565281,
lbp_strong,1024,0.45244690674053556,0.5889389362505745,0.0
harp,1024,0.5595567867036011,0.6801811595129632,0.5997045790251108
