experiment,tag,seed,Acc,LiRA,ECE,Mass,Frac,K
eqmass,none,42,0.8809,0.5663,0.0549,,,
eqmass,lbp_eq,42,0.8707,0.5246,0.1592,324.96,1.0,
eqmass,lbp_strong,42,0.7054,0.5208,0.1419,812.4,1.0,
eqmass,harp,42,0.8347,0.541,0.0333,325.5,0.4007,
eqmass,none,123,0.8707,0.5776,0.0623,,,
eqmass,lbp_eq,123,0.868,0.5323,0.1473,324.96,1.0,
eqmass,lbp_strong,123,0.7184,0.5301,0.1461,812.4,1.0,
eqmass,harp,123,0.8246,0.5481,0.0195,325.2,0.4003,
eqmass,none,456,0.8846,0.5587,0.0428,,,
eqmass,lbp_eq,456,0.8781,0.5041,0.1658,324.96,1.0,
eqmass,lbp_strong,456,0.7239,0.5001,0.1513,812.4,1.0,
eqmass,harp,456,0.831,0.5274,0.045,325.5,0.4007,
eqmass,none,789,0.8744,0.5636,0.0464,,,
eqmass,lbp_eq,789,0.8707,0.5096,0.1648,324.96,1.0,
eqmass,lbp_strong,789,0.699,0.5072,0.139,812.4,1.0,
eqmass,harp,789,0.8199,0.5295,0.0387,325.5,0.4007,
eqmass,none,1024,0.8744,0.5674,0.0503,,,
eqmass,lbp_eq,1024,0.8633,0.528,0.1566,324.96,1.0,
eqmass,lbp_strong,1024,0.6888,0.5259,0.1308,812.4,1.0,
eqmass,harp,1024,0.8209,0.5328,0.0284,324.3,0.3992,
mq_K1,none,42,0.8809,0.5663,,,,1.0
mq_K1,harp,42,0.8347,0.541,,,,1.0
mq_K1,lbp_eq,42,0.8707,0.5246,,,,1.0
mq_K5,none,42,0.8809,0.5663,,,,5.0
mq_K5,harp,42,0.8818,0.5464,,,,5.0
mq_K5,lbp_eq,42,0.8707,0.5246,,,,5.0
mq_K20,none,42,0.8809,0.5663,,,,20.0
mq_K20,harp,42,0.8827,0.5566,,,,20.0
mq_K20,lbp_eq,42,0.8707,0.5246,,,,20.0
mq_K1,none,123,0.8707,0.5776,,,,1.0
mq_K1,harp,123,0.8246,0.5481,,,,1.0
mq_K1,lbp_eq,123,0.868,0.5323,,,,1.0
mq_K5,none,123,0.8707,0.5776,,,,5.0
mq_K5,harp,123,0.8698,0.5615,,,,5.0
mq_K5,lbp_eq,123,0.868,0.5323,,,,5.0
mq_K20,none,123,0.8707,0.5776,,,,20.0
mq_K20,harp,123,0.8707,0.5615,,,,20.0
mq_K20,lbp_eq,123,0.868,0.5323,,,,20.0
mq_K1,none,456,0.8846,0.5587,,,,1.0
mq_K1,harp,456,0.831,0.5274,,,,1.0
mq_K1,lbp_eq,456,0.8781,0.5041,,,,1.0
mq_K5,none,456,0.8846,0.5587,,,,5.0
mq_K5,harp,456,0.8827,0.5385,,,,5.0
mq_K5,lbp_eq,456,0.8781,0.5041,,,,5.0
mq_K20,none,456,0.8846,0.5587,,,,20.0
mq_K20,harp,456,0.8855,0.5413,,,,20.0
mq_K20,lbp_eq,456,0.8781,0.5041,,,,20.0
mq_K1,none,789,0.8744,0.5636,,,,1.0
mq_K1,harp,789,0.8199,0.5295,,,,1.0
mq_K1,lbp_eq,789,0.8707,0.5096,,,,1.0
mq_K5,none,789,0.8744,0.5636,,,,5.0
mq_K5,harp,789,0.8707,0.542,,,,5.0
mq_K5,lbp_eq,789,0.8707,0.5096,,,,5.0
mq_K20,none,789,0.8744,0.5636,,,,20.0
mq_K20,harp,789,0.8753,0.5473,,,,20.0
mq_K20,lbp_eq,789,0.8707,0.5096,,,,20.0
mq_K1,none,1024,0.8744,0.5674,,,,1.0
mq_K1,harp,1024,0.8209,0.5328,,,,1.0
mq_K1,lbp_eq,1024,0.8633,0.528,,,,1.0
mq_K5,none,1024,0.8744,0.5674,,,,5.0
mq_K5,harp,1024,0.867,0.5396,,,,5.0
mq_K5,lbp_eq,1024,0.8633,0.528,,,,5.0
mq_K20,none,1024,0.8744,0.5674,,,,20.0
mq_K20,harp,1024,0.8689,0.5498,,,,20.0
mq_K20,lbp_eq,1024,0.8633,0.528,,,,20.0
ablate_k,harp_k0,42,0.8403,0.5279,,324.9,0.3999,
ablate_k,harp_k1,42,0.8347,0.541,,325.5,0.4007,
ablate_k,harp_k2,42,0.8236,0.5318,,326.4,0.4018,
ablate_k,harp_k0,123,0.8246,0.5333,,324.9,0.3999,
ablate_k,harp_k1,123,0.8246,0.5481,,325.2,0.4003,
ablate_k,harp_k2,123,0.8172,0.5404,,323.7,0.3984,
ablate_k,harp_k0,456,0.8347,0.5164,,324.9,0.3999,
ablate_k,harp_k1,456,0.831,0.5274,,325.5,0.4007,
ablate_k,harp_k2,456,0.8292,0.5165,,351.6,0.4328,
ablate_k,harp_k0,789,0.8218,0.5175,,324.9,0.3999,
ablate_k,harp_k1,789,0.8199,0.5295,,325.5,0.4007,
ablate_k,harp_k2,789,0.8089,0.5291,,328.5,0.4044,
ablate_k,harp_k0,1024,0.8218,0.5251,,324.9,0.3999,
ablate_k,harp_k1,1024,0.8209,0.5328,,324.3,0.3992,
ablate_k,harp_k2,1024,0.8042,0.5342,,324.9,0.3999,
