experiment,tag,Acc,LiRA,Acc_std,LiRA_std,n
ablate_k,harp_k0,0.82864,0.5240400000000001,0.008404939024169106,0.007122359159716651,5
ablate_k,harp_k1,0.82622,0.53576,0.006434827115004732,0.008625137680060567,5
ablate_k,harp_k2,0.81662,0.5304,0.010261189014924173,0.00882184787898772,5
eqmass,harp,0.82622,0.53576,0.006434827115004732,0.008625137680060567,5
eqmass,lbp_eq,0.8701599999999999,0.5197200000000001,0.00537010241987992,0.012217078210439672,5
eqmass,lbp_strong,0.7071,0.5168200000000001,0.014259382875847052,0.012715620315187155,5
eqmass,none,0.877,0.56672,0.005616493568054744,0.006947445573734289,5
mq_K1,harp,0.82622,0.53576,0.006434827115004732,0.008625137680060567,5
mq_K1,lbp_eq,0.8701599999999999,0.5197200000000001,0.00537010241987992,0.012217078210439672,5
mq_K1,none,0.877,0.56672,0.005616493568054744,0.006947445573734289,5
mq_K20,harp,0.87662,0.5513,0.007283680388375104,0.007911700196544375,5
mq_K20,lbp_eq,0.8701599999999999,0.5197200000000001,0.00537010241987992,0.012217078210439672,5
mq_K20,none,0.877,0.56672,0.005616493568054744,0.006947445573734289,5
mq_K5,harp,0.8744,0.5456,0.007301712127987507,0.0093917517002953,5
mq_K5,lbp_eq,0.8701599999999999,0.5197200000000001,0.00537010241987992,0.012217078210439672,5
mq_K5,none,0.877,0.56672,0.005616493568054744,0.006947445573734289,5
