sigma,frac,exact_frac,eps_protected_local,global_eps,mass_cora
0.1,0.0,1.0,,inf,0.0
0.1,0.2,0.8,20.0,inf,54.2
0.1,0.4,0.6,20.0,inf,108.3
0.1,0.6,0.4,20.0,inf,162.5
0.1,1.0,0.0,20.0,20.0,270.8
0.15,0.0,1.0,,inf,0.0
0.15,0.2,0.8,13.3333,inf,81.2
0.15,0.4,0.6,13.3333,inf,162.5
0.15,0.6,0.4,13.3333,inf,243.7
0.15,1.0,0.0,13.3333,13.3333,406.2
0.3,0.0,1.0,,inf,0.0
0.3,0.2,0.8,6.6667,inf,162.5
0.3,0.4,0.6,6.6667,inf,325.0
0.3,0.6,0.4,6.6667,inf,487.4
0.3,1.0,0.0,6.6667,6.6667,812.4
0.5,0.0,1.0,,inf,0.0
0.5,0.2,0.8,4.0,inf,270.8
0.5,0.4,0.6,4.0,inf,541.6
0.5,0.6,0.4,4.0,inf,812.4
0.5,1.0,0.0,4.0,4.0,1354.0
