dataset,model,defense,test_accuracy,lira_attack_auc,conf_attack_auc,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,train_seconds,lira_tpr_at_0.01_fpr,n_seeds
Actor,GraphSAGE,gtd,0.33959999999999996,0.5887000000000001,0.8473666666666667,,,,,,1.5757666666666665,0.022133333333333335,3
Actor,GraphSAGE,harp,0.3274333333333333,0.5614666666666667,0.7720333333333333,911.8000000000001,0.3999333333333333,0.14023333333333332,0.12,0.3999333333333333,5.4238333333333335,0.0193,3
Actor,GraphSAGE,harp_k0,0.3173333333333333,0.5656333333333333,0.7924666666666668,911.7000000000002,0.3999,0.3999,0.12,0.3999,5.249766666666667,0.021033333333333334,3
Actor,GraphSAGE,harp_k2,0.3199666666666667,0.5693,0.7949,912.9,0.4003666666666667,0.01686666666666667,0.12013333333333333,0.4003666666666667,5.464166666666666,0.0183,3
Actor,GraphSAGE,harp_release_only,0.32283333333333336,0.5663,0.7876333333333334,911.8000000000001,0.3999333333333333,0.14023333333333332,0.12,0.3999333333333333,1.8669333333333336,0.019166666666666665,3
Actor,GraphSAGE,harp_uniform,0.3177666666666667,0.5691,0.7800333333333334,911.7000000000002,0.3999,0.3999,0.12,0.3999,4.143666666666667,0.019733333333333335,3
Actor,GraphSAGE,lbp,0.2871666666666666,0.5485666666666668,0.7363,2280.0,1.0,,0.3,1.0,1.5293333333333334,0.031566666666666666,3
Actor,GraphSAGE,none,0.3353,0.6097666666666667,0.8766666666666666,,,,,,1.5254333333333332,0.036533333333333334,3
Actor,GraphSAGE,sami,0.31806666666666666,0.5559,0.7783333333333333,1392.0643,0.9997666666666666,,0.18316666666666667,0.5233333333333333,5.137899999999999,0.03443333333333334,3
Chameleon,GraphSAGE,gtd,0.4676,0.5790333333333333,0.7944,,,,,,3.163,0.018333333333333337,3
Chameleon,GraphSAGE,harp,0.45153333333333334,0.5547,0.8067333333333334,273.09999999999997,0.3998,0.10189999999999999,0.11993333333333334,0.3998,9.3567,0.010633333333333333,3
Chameleon,GraphSAGE,harp_k0,0.4471333333333334,0.5602333333333332,0.8058,273.0,0.3996,0.3996,0.1199,0.3996,9.277833333333334,0.0205,3
Chameleon,GraphSAGE,harp_k2,0.42883333333333334,0.5786666666666668,0.8309333333333333,281.90000000000003,0.4126666666666667,0.0047,0.12380000000000001,0.4126666666666667,9.4284,0.013933333333333334,3
Chameleon,GraphSAGE,harp_release_only,0.42663333333333336,0.5634,0.8216,273.09999999999997,0.3998,0.10189999999999999,0.11993333333333334,0.3998,3.022566666666666,0.015366666666666667,3
Chameleon,GraphSAGE,harp_uniform,0.44493333333333335,0.5734666666666667,0.7942333333333335,273.0,0.3996,0.3996,0.1199,0.3996,8.087633333333335,0.023033333333333333,3
Chameleon,GraphSAGE,lbp,0.39080000000000004,0.5387333333333334,0.7558666666666666,683.1,1.0,,0.3,1.0,3.1663333333333337,0.03766666666666666,3
Chameleon,GraphSAGE,none,0.4475,0.6177666666666667,0.8744333333333333,,,,,,3.1025333333333336,0.05893333333333334,3
Chameleon,GraphSAGE,sami,0.45809999999999995,0.5493333333333333,0.7889666666666667,378.31569999999994,0.9987,,0.16613333333333336,0.4747333333333333,9.047000000000002,0.02963333333333333,3
Citeseer,GraphSAGE,gtd,0.7403000000000001,0.5458333333333334,0.622,,,,,,1.8769,0.021533333333333335,3
Citeseer,GraphSAGE,harp,0.7157666666666667,0.5481666666666667,0.6242333333333333,398.90000000000003,0.3997,0.20109999999999997,0.11986666666666668,0.3997,5.403633333333334,0.013766666666666668,3
Citeseer,GraphSAGE,harp_k0,0.7007,0.5378999999999999,0.6635,399.3,0.40009999999999996,0.40009999999999996,0.12,0.40009999999999996,5.8297,0.013766666666666668,3
Citeseer,GraphSAGE,harp_k2,0.7115,0.5467333333333334,0.6460333333333333,399.59999999999997,0.40040000000000003,0.10099999999999999,0.1201,0.40040000000000003,5.359699999999999,0.0128,3
Citeseer,GraphSAGE,harp_release_only,0.7142666666666667,0.5472666666666667,0.6351666666666667,398.90000000000003,0.3997,0.20109999999999997,0.11986666666666668,0.3997,2.0109,0.015266666666666664,3
Citeseer,GraphSAGE,harp_uniform,0.7094999999999999,0.5468333333333333,0.6517,399.3,0.40009999999999996,0.40009999999999996,0.12,0.40009999999999996,4.9412,0.013033333333333333,3
Citeseer,GraphSAGE,lbp,0.6200666666666667,0.5231333333333333,0.6301333333333333,998.1,1.0,,0.3,1.0,1.8546333333333334,0.03006666666666667,3
Citeseer,GraphSAGE,none,0.7438333333333333,0.5912000000000001,0.7558000000000001,,,,,,1.8854333333333333,0.042333333333333334,3
Citeseer,GraphSAGE,sami,0.7347666666666667,0.5319999999999999,0.6493666666666668,468.0808666666667,0.9997000000000001,,0.1406666666666667,0.40199999999999997,5.1856,0.025533333333333335,3
Cora,GCN,harp,0.8153,0.5287666666666667,0.5632,324.8,0.3998,0.18596666666666664,0.11996666666666667,0.3998,1.1125,0.0111,3
Cora,GCN,lbp,0.6925,0.5117666666666666,0.5403,812.4,1.0,,0.3,1.0,0.30823333333333336,0.0157,3
