tag,seed,Acc,LiRA,ECE,Mass,Frac,ExactFrac,dp_epsilon
none,42,0.8809,0.5663,0.0549,,,1.0,
lbp_eqmass,42,0.8707,0.5246,0.1592,324.96,1.0,0.0,
memguard,42,0.8809,0.6166,0.052,541.5968,1.0,0.0,
gap_agg_s3,42,0.7793,0.5313,0.4027,,1.0,0.0,41.3317
gap_agg_s5,42,0.4063,0.4981,0.2517,,1.0,0.0,19.2243
harp_release,42,0.8347,0.541,0.0333,325.5,0.4007,0.5992999999999999,
none,123,0.8707,0.5776,0.0623,,,1.0,
lbp_eqmass,123,0.868,0.5323,0.1473,324.96,1.0,0.0,
memguard,123,0.8707,0.6263,0.0651,541.5917,1.0,0.0,
gap_agg_s3,123,0.7544,0.5239,0.372,,1.0,0.0,41.3317
gap_agg_s5,123,0.3869,0.5093,0.2341,,1.0,0.0,19.2243
harp_release,123,0.8246,0.5481,0.0195,325.2,0.4003,0.5997,
none,456,0.8846,0.5587,0.0428,,,1.0,
lbp_eqmass,456,0.8781,0.5041,0.1658,324.96,1.0,0.0,
memguard,456,0.8846,0.5988,0.0656,541.5982,1.0,0.0,
gap_agg_s3,456,0.8126,0.5097,0.4307,,1.0,0.0,41.3317
gap_agg_s5,456,0.6002,0.4892,0.4488,,1.0,0.0,19.2243
harp_release,456,0.831,0.5274,0.045,325.5,0.4007,0.5992999999999999,
none,789,0.8744,0.5636,0.0464,,,1.0,
lbp_eqmass,789,0.8707,0.5096,0.1648,324.96,1.0,0.0,
memguard,789,0.8744,0.6219,0.0871,541.5812,1.0,0.0,
gap_agg_s3,789,0.7442,0.5107,0.3806,,1.0,0.0,41.3317
gap_agg_s5,789,0.3952,0.4956,0.2391,,1.0,0.0,19.2243
harp_release,789,0.8199,0.5295,0.0387,325.5,0.4007,0.5992999999999999,
none,1024,0.8744,0.5674,0.0503,,,1.0,
lbp_eqmass,1024,0.8633,0.528,0.1566,324.96,1.0,0.0,
memguard,1024,0.8744,0.6211,0.0667,541.5939,1.0,0.0,
gap_agg_s3,1024,0.7904,0.5176,0.4087,,1.0,0.0,41.3317
gap_agg_s5,1024,0.4201,0.5089,0.2606,,1.0,0.0,19.2243
harp_release,1024,0.8209,0.5328,0.0284,324.3,0.3992,0.6008,
