dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected
Photo,GraphSAGE,none,{},42,eac9960f8ba0,0.8272,0.00407,0.8869,0.9,0.8977,0.0108,random_40_20_40,0.8422,0.9866,0.5133,0.5108,0.5173,0.5144,0.001,0.0137,0.5054,0.5054,0.5152,0.5056,,,0.5079,0.5015,0.0026,0.0069,0.0488,11.4902,1,,,,,,,
Photo,GraphSAGE,none,{},123,eac9960f8ba0,0.8272,0.00407,0.9,0.9124,0.9271,0.0271,random_40_20_40,0.864,0.9837,0.5039,0.5065,0.5129,0.5059,0.0,0.0049,0.5136,0.5136,0.4957,0.4997,,,0.4895,0.4908,0.0013,0.0069,0.0343,10.2726,1,,,,,,,
Photo,GraphSAGE,none,{},456,eac9960f8ba0,0.8272,0.00407,0.6183,0.6327,0.6114,-0.0069,random_40_20_40,0.3959,0.91,0.4987,0.4918,0.498,0.4935,0.0003,0.0085,0.4966,0.4966,0.4915,0.4843,,,0.5018,0.5003,0.002,0.0088,0.2273,9.7864,1,,,,,,,
Photo,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.8272,0.00407,0.6477,0.6569,0.6618,0.0141,random_40_20_40,0.5825,0.8734,0.4912,0.4908,0.5027,0.5056,0.0,0.0092,0.507,0.507,0.4871,0.4935,,,0.5053,0.4985,0.0016,0.0131,0.1342,10.0925,1,,2295.0,1.0,,0.3,1.0,7650.0
Photo,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.8272,0.00407,0.6791,0.6667,0.699,0.0199,random_40_20_40,0.6092,0.886,0.5093,0.5013,0.5115,0.5082,0.0,0.0108,0.51,0.51,0.5062,0.5059,,,0.495,0.5013,0.0026,0.0127,0.1575,10.2562,1,,2295.0,1.0,,0.3,1.0,7650.0
Photo,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.8272,0.00407,0.3284,0.3366,0.3408,0.0124,random_40_20_40,0.2554,0.6484,0.4961,0.5036,0.5069,0.5036,0.0,0.0101,0.5062,0.5062,0.4968,0.5062,,,0.4969,0.4931,0.0003,0.0095,0.1176,9.9517,1,,2295.0,1.0,,0.3,1.0,7650.0
Photo,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.8272,0.00407,0.7608,0.7621,0.7464,-0.0144,random_40_20_40,0.6543,0.9238,0.5196,0.515,0.4927,0.4879,0.0023,0.0131,0.4928,0.4928,0.5125,0.5072,,,0.5102,0.5033,0.001,0.0127,0.0729,37.9397,1,,961.8,0.4191,0.0791,0.1257,0.4191,3206.0
Photo,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.8272,0.00407,0.7797,0.7863,0.7703,-0.0095,random_40_20_40,0.6982,0.8976,0.5121,0.5124,0.4888,0.4889,0.0,0.0082,0.4953,0.4953,0.5087,0.5029,,,0.4928,0.4967,0.0013,0.0105,0.0851,36.9296,1,,950.4,0.4141,0.0769,0.1242,0.4141,3168.0
Photo,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.8272,0.00407,0.6693,0.6725,0.6536,-0.0157,random_40_20_40,0.5425,0.8931,0.499,0.5016,0.4903,0.4922,0.0,0.0111,0.4922,0.4922,0.5034,0.5007,,,0.5007,0.4975,0.0003,0.0124,0.0808,45.6089,1,,925.8,0.4034,0.0763,0.121,0.4034,3086.0
Photo,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,eac9960f8ba0,0.8272,0.00407,0.8729,0.866,0.8739,0.001,random_40_20_40,0.8264,0.9611,0.508,0.5101,0.5106,0.5131,0.0,0.0075,0.5005,0.5005,0.505,0.5127,,,0.5119,0.5057,0.0033,0.0111,0.2222,35.1492,1,,602.251,0.9999,,0.0787,0.2249,7649.0
