tag,seed,n_sub,n_shadows,Acc,LiRA,Mass,Frac,wall
none,42,15000,4,0.8838333333333334,0.5194052638888889,,,24.53
none,123,15000,4,0.8785,0.5093758611111111,,,22.07
none,456,15000,4,0.8701666666666666,0.5219865972222222,,,22.17
none,789,15000,4,0.8705,0.5139320138888889,,,22.96
none,1024,15000,4,0.8731666666666666,0.5099904027777777,,,22.76
lbp,42,15000,4,0.32666666666666666,0.5013540694444445,4500.0,1.0,24.7
lbp,123,15000,4,0.355,0.5039513055555556,4500.0,1.0,26.01
lbp,456,15000,4,0.3426666666666667,0.5035310000000001,4500.0,1.0,30.41
lbp,789,15000,4,0.351,0.5037673611111111,4500.0,1.0,29.85
lbp,1024,15000,4,0.3541666666666667,0.5004386388888888,4500.0,1.0,27.64
harp,42,15000,4,0.6785,0.5119453194444444,1840.8,0.4090666666666667,57.71
harp,123,15000,4,0.6878333333333333,0.5078469027777778,1799.1,0.3998,55.4
harp,456,15000,4,0.707,0.5199722777777778,1642.5,0.365,56.27
harp,789,15000,4,0.7038333333333333,0.49884755555555554,1662.3,0.3694,60.8
harp,1024,15000,4,0.6896666666666667,0.5130289444444445,1799.4,0.39986666666666665,73.53
