seed,policy,measured_exactfrac_requery,top1_flicker,threshold_flicker,bitexact_vs_base
42,none,1.0,0.0,0.0,1.0
42,gap,1.0,0.0,0.0,0.0
42,lbp,0.0,0.027695716395864108,0.08899556868537666,0.0
42,harp,0.5997045790251108,0.1395864106351551,0.1739290989660266,0.0
123,none,1.0,0.0,0.0,1.0
123,gap,1.0,0.0,0.0,0.0
123,lbp,0.0007385524372230429,0.024002954209748892,0.10672082717872969,0.0
123,harp,0.5997045790251108,0.1536189069423929,0.1879615952732644,0.0
456,none,1.0,0.0,0.0,1.0
456,gap,1.0,0.0,0.0,0.0
456,lbp,0.00036927621861152144,0.029172821270310192,0.10635155096011817,0.0
456,harp,0.5997045790251108,0.1451255539143279,0.18242245199409157,0.0
