workload,policy,n_queries,qps,p50_ms,p95_ms,hit_rate,cache_bytes,cost_per_1e6_queries_rel
uniform,none,20000,1872761.580101746,0.0002500019036233425,0.000833999365568161,0.8646,75824,0.13539999999999996
uniform,lbp_fresh,20000,6689.80242066738,0.1298334973398596,0.22037705421098505,0.0,0,1.0
uniform,lbp_B1,20000,66825.48857748696,0.0002090091584250331,0.10604104900266975,0.8646,151648,0.13539999999999996
uniform,harp_fresh,20000,533166.274660717,0.00037500285543501377,0.003958004526793957,0.51485,45444,0.48514999999999997
uniform,harp_B1,20000,1637716.6132887416,0.0002500019036233425,0.00404199818149209,0.8646,106204,0.13539999999999996
zipf,none,20000,3972589.1306902347,0.00012500095181167126,0.000500003807246685,0.93655,35532,0.06345
zipf,lbp_fresh,20000,9328.71862642634,0.10350000229664147,0.11591605143621564,0.0,0,1.0
zipf,lbp_B1,20000,146453.71555308282,0.000166997779160738,0.10145799024030566,0.93655,71064,0.06345
zipf,harp_fresh,20000,621710.1239366223,0.0002500019036233425,0.0038750004023313522,0.6062,20944,0.39380000000000004
zipf,harp_B1,20000,2209843.1710081184,0.00020800507627427578,0.0008329952834174037,0.93655,50120,0.06345
bursty,none,20000,4473272.2056986615,0.00012500095181167126,0.00020800507627427578,0.9652,19488,0.03480000000000005
bursty,lbp_fresh,20000,10103.102581126628,0.09691699233371764,0.10662704662536268,0.0,0,1.0
bursty,lbp_B1,20000,237253.9046785062,0.000166997779160738,0.00029199873097240925,0.9652,38976,0.03480000000000005
bursty,harp_fresh,20000,561278.7748616796,0.0002500019036233425,0.0041669991333037615,0.59375,11900,0.40625
bursty,harp_B1,20000,2376814.177407463,0.00024998735170811415,0.00033300602808594704,0.9652,27076,0.03480000000000005
