policy,cache_cap,hit_rate,p50_ms,p99_ms,n_req,n_sessions
none,256,0.7232,0.02,0.45,60000,200
none,1024,0.8846666666666667,0.02,0.45,60000,200
none,4096,0.9574333333333334,0.02,0.45,60000,200
gap,256,0.7232,0.02,0.45,60000,200
gap,1024,0.8846666666666667,0.02,0.45,60000,200
gap,4096,0.9574333333333334,0.02,0.45,60000,200
lbp,256,0.05795,0.45,0.45,60000,200
lbp,1024,0.17881666666666668,0.45,0.45,60000,200
lbp,4096,0.37735,0.45,0.45,60000,200
harp,256,0.5136666666666667,0.02,0.45,60000,200
harp,1024,0.6298666666666667,0.02,0.45,60000,200
harp,4096,0.7431666666666666,0.02,0.45,60000,200
