dataset,tag,n_shadows_run,test_accuracy,lira_attack_auc,lira_tpr_at_0.01_fpr,lira_tpr_at_0.001_fpr
Chameleon,harp,4,0.4515,0.5547,0.0106,0.0044
Chameleon,harp,16,0.4515,0.782,0.0275,0.0007
Chameleon,harp,64,0.4515,0.8105,0.064,0.004
Chameleon,lbp,4,0.3908,0.5387,0.0377,0.0048
Chameleon,lbp,16,0.3908,0.6646,0.0051,0.0004
Chameleon,lbp,64,0.3908,0.6846,0.0307,0.0
Chameleon,none,4,0.4475,0.6178,0.0589,0.0037
Chameleon,none,16,0.4475,0.9465,0.5038,0.1888
Chameleon,none,64,0.4475,0.965,0.6078,0.3845
Cora,harp,4,0.8357,0.5341,0.0135,0.0068
Cora,harp,16,0.8357,0.6695,0.0566,0.008
Cora,harp,64,0.8357,0.6774,0.0751,0.0262
Cora,lbp,4,0.7159,0.517,0.0219,0.0089
Cora,lbp,16,0.7159,0.5547,0.008,0.0018
Cora,lbp,64,0.7159,0.5605,0.0083,0.0012
Cora,none,4,0.8787,0.5675,0.0329,0.0123
Cora,none,16,0.8787,0.8079,0.2007,0.0803
Cora,none,64,0.8787,0.8474,0.265,0.1514
