seed,variant,acc,ece_pop,ece_clean,ece_prot,brier_pop,brier_clean,brier_prot,frac_prot,n_clean_test,n_prot_test,train_seconds
42,harp,0.8448753462603878,0.041499218465197225,0.016079920347498743,0.10448274330072668,0.2466991941826911,0.06438345248303283,0.6237260821168283,0.40066469719350073,730,353,2.733720064163208
42,harp_release_only,0.05170821791320406,0.27795144707050207,0.2487518023545408,0.33833598146894867,0.9609155244553903,0.9139500503150246,1.0580395927909911,0.40066469719350073,730,353,2.733720064163208
42,none,0.8855032317636196,0.052109815132144674,0.052109815132144674,,0.1869417626764941,0.1869417626764941,,0.0,1083,0,
123,harp,0.8291782086795937,0.030800399085122578,0.02412986733915728,0.06446816077425924,0.2515212079446414,0.09204877492405007,0.574475157497515,0.40029542097488924,725,358,2.8110530376434326
123,harp_release_only,0.09418282548476455,0.22043728575275676,0.1819053513583656,0.29846983445648173,0.9573510287139897,0.9159287778569747,1.0412368719300118,0.40029542097488924,725,358,2.8110530376434326
123,none,0.8688827331486612,0.05951600479837489,0.05951600479837489,,0.20039501293825143,0.20039501293825143,,0.0,1083,0,
456,harp,0.8328716528162512,0.03784766659829901,0.017264352258560205,0.101216236951045,0.2603263583463707,0.10019819331767564,0.587329661649352,0.40066469719350073,727,356,3.037156105041504
456,harp_release_only,0.07571560480147738,0.22406159465822076,0.18017518242887606,0.3136835656996072,0.9520803981027526,0.8963095081143735,1.0659720751295831,0.40066469719350073,727,356,3.037156105041504
456,none,0.8864265927977839,0.04320582541072134,0.04320582541072134,,0.18175373030722625,0.18175373030722625,,0.0,1083,0,
789,harp,0.8254847645429363,0.026583909910245875,0.013252021714751365,0.06965254320259337,0.25542442090444417,0.08913763829803815,0.5879979861172562,0.40066469719350073,722,361,3.2387049198150635
789,harp_release_only,0.11449676823638043,0.20984198156591238,0.15722251997258185,0.32470425269929026,0.9883586489074865,0.9445298480112122,1.0760162507000346,0.40066469719350073,722,361,3.2387049198150635
789,none,0.8799630655586335,0.04256217686643453,0.04256217686643453,,0.18220654269204187,0.18220654269204187,,0.0,1083,0,
1024,harp,0.8254847645429363,0.02802501971217436,0.02090523750586816,0.06637980405499724,0.25940002315655536,0.08756081273638232,0.5946503628318793,0.39918759231905465,716,367,3.0660529136657715
1024,harp_release_only,0.14681440443213298,0.17887142877642798,0.12344625220235841,0.28700338089368627,0.9281361753363431,0.881753244600584,1.0186271246736822,0.39918759231905465,716,367,3.0660529136657715
1024,none,0.8716528162511542,0.051113005490184146,0.051113005490184146,,0.1922086788992504,0.1922086788992504,,0.0,1083,0,
