dataset,variant,seed,acc,ece_pop,ece_clean,ece_prot,frac_prot,n_clean_test,n_prot_test,train_seconds
Cora,harp,42,0.8448753462603878,0.0414992182925812,0.0160799201232673,0.1044827470374151,0.4006646971935007,730,353,2.4706060886383057
Cora,none,42,0.8808864265927978,0.0548602919939592,0.0548602919939592,,0.0,1083,0,0.8154308795928955
Cora,harp,123,0.8291782086795937,0.0308003932777594,0.0241298616186395,0.0644681538701369,0.4002954209748892,725,358,2.550431966781616
Cora,none,123,0.8707294552169899,0.0622599314234373,0.0622599314234373,,0.0,1083,0,0.789146900177002
Cora,harp,456,0.8328716528162512,0.0379861664719933,0.0189625862497317,0.1011509547309928,0.4006646971935007,727,356,2.411227226257324
Cora,none,456,0.8845798707294552,0.04279217696366,0.04279217696366,,0.0,1083,0,0.7951850891113281
Citeseer,harp,42,0.7129977460555973,0.0983981924061164,0.0951318425233868,0.1052188766159925,0.3997595431319507,900,431,5.031514883041382
Citeseer,none,42,0.7407963936889557,0.1530435012078302,0.1530435012078302,,0.0,1331,0,1.9785869121551511
Citeseer,harp,123,0.7160030052592036,0.0968215244532797,0.0729366119461421,0.149336124931496,0.399458972046889,903,428,5.272753000259399
Citeseer,none,123,0.7430503380916604,0.1386338070897031,0.1386338070897031,,0.0,1331,0,1.8544328212738037
Citeseer,harp,456,0.7182569496619083,0.0879965640838153,0.0803810906463292,0.1097130972248594,0.3997595431319507,900,431,5.231245040893555
Citeseer,none,456,0.7475582268970699,0.1276890019963864,0.1276890019963864,,0.0,1331,0,1.8224201202392576
Chameleon,harp,42,0.433589462129528,0.2485118143064592,0.2747672239901313,0.2152268416068768,0.4000878348704436,543,368,9.03678011894226
Chameleon,none,42,0.4401756311745334,0.293764197211365,0.293764197211365,,0.0,911,0,2.803236961364746
Chameleon,harp,123,0.4763995609220636,0.2136885132771024,0.2451020706803856,0.1625698720370909,0.3992094861660079,565,346,9.084917783737184
Chameleon,none,123,0.4643249176728869,0.2791553112861223,0.2791553112861223,,0.0,911,0,2.8031411170959473
Chameleon,harp,456,0.4445664105378705,0.2511453576131538,0.2993082037548702,0.1794982907057546,0.4000878348704436,567,344,9.005661725997925
Chameleon,none,456,0.4379802414928649,0.2960818642188113,0.2960818642188113,,0.0,911,0,2.881523847579956
Actor,harp,42,0.3325657894736842,0.2546310680918145,0.2410146672663498,0.281477872065385,0.4002631578947368,2017,1023,5.310351133346558
Actor,none,42,0.3269736842105263,0.2702659453902589,0.2702659453902589,,0.0,3040,0,1.8297090530395508
Actor,harp,123,0.325328947368421,0.2626112219936334,0.2597488587513245,0.2690878358136083,0.3996052631578947,2040,1000,5.541780948638916
Actor,none,123,0.3414473684210526,0.2553541536099816,0.2553541536099816,,0.0,3040,0,1.6889221668243408
Actor,harp,456,0.3240131578947368,0.2683519651891468,0.2619355906505994,0.2805479748082177,0.3998684210526316,1992,1048,5.613926887512207
Actor,none,456,0.3375,0.2604145206020851,0.2604145206020851,,0.0,3040,0,1.6291162967681885
