dataset,seed,constructor,spearman,pval
Cora,42,lte,0.26065770032322283,2.6516300295932113e-43
Cora,42,degree,0.14295370761307033,7.775157456493021e-14
Cora,42,train_nbr,0.02163986068002374,0.2602854756716596
Cora,42,confidence,-0.30963587629528383,2.9574799644097312e-61
Cora,42,entropy,0.3091341393469989,4.713647561112808e-61
Cora,42,random,0.013271735572445471,0.48997282268613945
Cora,123,lte,0.2652065134965091,8.05573846351007e-45
Cora,123,degree,0.13051761371097464,9.232918136895179e-12
Cora,123,train_nbr,0.013850607583322107,0.4712381893563636
Cora,123,confidence,-0.35364583718316855,1.345992132624887e-80
Cora,123,entropy,0.35108531168395357,2.2019648742504352e-79
Cora,123,random,0.010838269810997133,0.5729155093955404
Cora,456,lte,0.25693830265897194,4.3864400986428225e-42
Cora,456,degree,0.13716378780502952,7.58796501288585e-13
Cora,456,train_nbr,-0.002144740372357017,0.9111742256362455
Cora,456,confidence,-0.31512735609592524,1.6956730946849435e-63
Cora,456,entropy,0.3134125705248458,8.598500157709587e-63
Cora,456,random,-0.03521617972072102,0.06690412536302989
Cora,789,lte,0.22813232306775938,2.623382557241746e-33
Cora,789,degree,0.12664562631246212,3.739559209238359e-11
Cora,789,train_nbr,-0.018188318565119432,0.34408068910858935
Cora,789,confidence,-0.33003206328380896,7.987314778856292e-70
Cora,789,entropy,0.32965469125996527,1.1669002413291736e-69
Cora,789,random,-0.007303238218545672,0.7040354021228075
Cora,1024,lte,0.24882696674412114,1.7030019889453065e-39
Cora,1024,degree,0.12602415412642629,4.662657040996293e-11
Cora,1024,train_nbr,-0.057676177085962864,0.0026777859834633978
Cora,1024,confidence,-0.3568252989878509,4.037781855071191e-82
Cora,1024,entropy,0.35455565719804005,4.954979977261255e-81
Cora,1024,random,-0.005894264595485562,0.7591559029262382
Chameleon,42,lte,-0.10739249884178523,2.797627154301744e-07
Chameleon,42,degree,0.00026003492531344113,0.990105278052759
Chameleon,42,train_nbr,-0.013454729411895069,0.5210626522656547
Chameleon,42,confidence,0.16622262082345993,1.4277448206587562e-15
Chameleon,42,entropy,-0.159841052518131,1.6871155608039943e-14
Chameleon,42,random,0.04338125674783438,0.038461604234506584
Chameleon,123,lte,-0.1516103128134919,3.52546495349524e-13
Chameleon,123,degree,0.0008478581019630253,0.967745675303726
Chameleon,123,train_nbr,-0.14996030219939815,6.358232299187699e-13
Chameleon,123,confidence,0.0981930483074844,2.67464630961581e-06
Chameleon,123,entropy,-0.11286244246999977,6.66912059841682e-08
Chameleon,123,random,-0.03066722377868479,0.1434901780365017
Chameleon,456,lte,-0.0871304607972038,3.136519382183934e-05
Chameleon,456,degree,-0.01330875282385856,0.5255944730109255
Chameleon,456,train_nbr,-0.02563263027434952,0.2214562225568711
Chameleon,456,confidence,0.1373479593479977,4.654955800765877e-11
Chameleon,456,entropy,-0.13085411766924193,3.6659904510998534e-10
Chameleon,456,random,-0.03765768173896412,0.07239965293107643
Chameleon,789,lte,0.0072377720402208795,0.729954309447086
Chameleon,789,degree,-0.011252182976667005,0.5915073713367301
