tag,seed,Acc,LiRA,ECE,ExactFrac,Mass,Frac,eps,edge_mia,label_gap
none,42,0.8809,0.5663,0.0549,1.0,,,,0.8925,0.5596
lbp_eq,42,0.8707,0.5246,0.1592,0.0,324.96,1.0,,0.8476,0.5637
lbp_strong,42,0.7054,0.5208,0.1419,0.0,812.4,1.0,,0.7615,0.5499
harp_locked,42,0.8347,0.541,0.0333,0.5993,325.5,0.4007,,0.8451,0.5383
harp_full,42,0.7285,0.5231,0.1618,0.0004,812.1,0.9996,,0.7611,0.5494
harp_random,42,0.8116,0.5319,0.0797,0.5997,325.2,0.4003,,0.8292,0.56
harp_audit,42,0.8292,0.5303,0.0265,0.6001,324.9,0.3999,,0.8461,0.5517
harp_ensemble,42,0.8338,0.5285,0.0365,0.6012,324.0,0.3988,,0.842,0.5489
harp_entropy,42,0.8153,0.5346,0.0541,0.6004,324.6,0.3996,,0.8406,0.5642
memguard,42,0.8809,0.6376,0.0813,0.0,110.77,1.0,,0.8636,0.5596
gap_s3,42,0.7793,0.53,0.4027,1.0,0.0,0.0,41.3317,0.7257,0.5189
gap_s5,42,0.4063,0.4978,0.2517,1.0,0.0,0.0,19.2243,0.4695,0.5263
none,123,0.8707,0.5776,0.0623,1.0,,,,0.8988,0.5646
lbp_eq,123,0.868,0.5323,0.1473,0.0,324.96,1.0,,0.8525,0.5633
lbp_strong,123,0.7184,0.5301,0.1461,0.0,812.4,1.0,,0.7529,0.5457
harp_locked,123,0.8246,0.5481,0.0195,0.5997,325.2,0.4003,,0.8471,0.5471
harp_full,123,0.7276,0.5245,0.1571,0.0004,812.1,0.9996,,0.7637,0.5489
harp_random,123,0.8144,0.5336,0.0739,0.6004,324.6,0.3996,,0.8303,0.5508
harp_audit,123,0.8163,0.5384,0.0211,0.5997,325.2,0.4003,,0.8401,0.5577
harp_ensemble,123,0.8135,0.5516,0.0283,0.5993,325.5,0.4007,,0.8424,0.5623
harp_entropy,123,0.7978,0.5518,0.0369,0.5975,327.0,0.4025,,0.8432,0.5702
memguard,123,0.8707,0.5776,0.0623,0.0,0.0,1.0,,0.8988,0.5646
gap_s3,123,0.7544,0.5238,0.372,1.0,0.0,0.0,41.3317,0.7701,0.5212
gap_s5,123,0.3869,0.5095,0.2341,1.0,0.0,0.0,19.2243,0.4707,0.5115
none,456,0.8846,0.5587,0.0428,1.0,,,,0.8939,0.5577
lbp_eq,456,0.8781,0.5041,0.1658,0.0,324.96,1.0,,0.8425,0.5572
lbp_strong,456,0.7239,0.5001,0.1513,0.0,812.4,1.0,,0.7431,0.5448
harp_locked,456,0.831,0.5274,0.045,0.5993,325.5,0.4007,,0.8404,0.5425
harp_full,456,0.7258,0.4958,0.1592,0.0004,812.1,0.9996,,0.7555,0.5545
harp_random,456,0.819,0.5174,0.0846,0.599,325.8,0.401,,0.8187,0.5563
harp_audit,456,0.8319,0.5102,0.0342,0.5993,325.5,0.4007,,0.8415,0.554
harp_ensemble,456,0.8255,0.5067,0.0355,0.599,325.8,0.401,,0.8403,0.5614
harp_entropy,456,0.8199,0.5088,0.0488,0.599,325.8,0.401,,0.8349,0.5609
memguard,456,0.8846,0.5587,0.0428,0.0,0.0,1.0,,0.8939,0.5577
gap_s3,456,0.8126,0.5105,0.4307,1.0,0.0,0.0,41.3317,0.7337,0.5171
gap_s5,456,0.6002,0.4889,0.4488,1.0,0.0,0.0,19.2243,0.456,0.5162
none,789,0.8744,0.5636,0.0464,1.0,,,,0.888,0.5628
lbp_eq,789,0.8707,0.5096,0.1648,0.0,324.96,1.0,,0.838,0.5623
lbp_strong,789,0.699,0.5072,0.139,0.0,812.4,1.0,,0.7421,0.5623
harp_locked,789,0.8199,0.5295,0.0387,0.5993,325.5,0.4007,,0.8338,0.5466
harp_full,789,0.6934,0.5049,0.1428,0.0004,812.1,0.9996,,0.741,0.5674
harp_random,789,0.8052,0.5193,0.0806,0.5979,326.7,0.4021,,0.8042,0.566
harp_audit,789,0.8052,0.5218,0.0183,0.599,325.8,0.401,,0.8342,0.5642
harp_ensemble,789,0.8015,0.5265,0.0323,0.6004,324.6,0.3996,,0.8342,0.5706
harp_entropy,789,0.7959,0.5238,0.0466,0.6008,324.3,0.3992,,0.8304,0.5771
memguard,789,0.8744,0.5636,0.0464,0.0,0.0,1.0,,0.888,0.5628
gap_s3,789,0.7433,0.51,0.3798,1.0,0.0,0.0,41.3317,0.7497,0.5286
gap_s5,789,0.3952,0.4953,0.2391,1.0,0.0,0.0,19.2243,0.4552,0.5069
none,1024,0.8744,0.5674,0.0503,1.0,,,,0.8998,0.5628
lbp_eq,1024,0.8633,0.528,0.1566,0.0,324.96,1.0,,0.8493,0.5669
lbp_strong,1024,0.6888,0.5259,0.1308,0.0,812.4,1.0,,0.7517,0.56
harp_locked,1024,0.8209,0.5328,0.0284,0.6008,324.3,0.3992,,0.8432,0.5462
harp_full,1024,0.6999,0.5132,0.138,0.0004,812.1,0.9996,,0.7572,0.5563
harp_random,1024,0.8015,0.5283,0.0634,0.6008,324.3,0.3992,,0.8284,0.5693
harp_audit,1024,0.8153,0.5284,0.0114,0.5997,325.2,0.4003,,0.8477,0.5577
harp_ensemble,1024,0.8126,0.5235,0.0202,0.5982,326.4,0.4018,,0.8423,0.5568
harp_entropy,1024,0.7959,0.5291,0.0376,0.6001,324.9,0.3999,,0.8382,0.5669
memguard,1024,0.8744,0.5674,0.0503,0.0,0.0,1.0,,0.8998,0.5628
gap_s3,1024,0.7913,0.5173,0.409,1.0,0.0,0.0,41.3317,0.7606,0.5245
gap_s5,1024,0.4192,0.509,0.2597,1.0,0.0,0.0,19.2243,0.4636,0.5111
