tag,Acc,LiRA,ECE,ExactFrac,eps,edge_mia,label_gap,Acc_std,LiRA_std,n
gap_s3,0.77618,0.51832,0.39884,1.0,41.3317,0.7479600000000001,0.52206,0.027929500532590995,0.008629426400404618,5
gap_s5,0.44155999999999995,0.5001,0.28668,1.0,19.2243,0.46299999999999997,0.5144,0.08950817281120198,0.008962979415350666,5
harp_audit,0.81958,0.5258200000000001,0.0223,0.59956,,0.84192,0.55706,0.010956596186772633,0.010549028391278503,5
harp_ensemble,0.81738,0.52736,0.030559999999999997,0.59962,,0.84024,0.5599999999999999,0.012506278423256079,0.016057334772620228,5
harp_entropy,0.80496,0.52962,0.0448,0.59956,,0.8374599999999999,0.5678599999999999,0.011678527304416401,0.015687319720079602,5
harp_full,0.71504,0.5123,0.15178,0.0004,,0.7557,0.5553,0.016972124204117797,0.01217887515331365,5
harp_locked,0.82622,0.53576,0.032979999999999995,0.59968,,0.84192,0.54414,0.006434827115004732,0.008625137680060567,5
harp_random,0.8103400000000001,0.5261,0.07644,0.59956,,0.82216,0.56048,0.007029082443676397,0.007359687493365515,5
lbp_eq,0.8701599999999999,0.5197200000000001,0.15874,0.0,,0.84598,0.5626800000000001,0.00537010241987992,0.012217078210439672,5
lbp_strong,0.7071,0.5168200000000001,0.14182,0.0,,0.75026,0.55254,0.014259382875847052,0.012715620315187155,5
memguard,0.877,0.58098,0.056620000000000004,0.0,,0.8888200000000002,0.5615,0.005616493568054744,0.032404197258997125,5
none,0.877,0.56672,0.05134,1.0,,0.8946,0.5615,0.005616493568054744,0.006947445573734289,5
