dataset,model,het,sparsity,is_gcn,het_x_gcn,sparsity_x_gcn,snr,snr_x_inv,conf,homophily,density,h_target,rho_target
synth_h0.2_r0.005_snr0.25,GCN,0.8020050078630447,2.0794415416798357,1.0,0.8020050078630447,2.0794415416798357,0.25,3.9999840000640003,0.703723986856517,0.19799499213695526,0.005,0.2,0.005
synth_h0.2_r0.005_snr0.25,GraphSAGE,0.8020050078630447,2.0794415416798357,0.0,0.0,0.0,0.25,3.9999840000640003,0.7609137850101706,0.19799499213695526,0.005,0.2,0.005
synth_h0.2_r0.005_snr1.0,GCN,0.8020050078630447,2.0794415416798357,1.0,0.8020050078630447,2.0794415416798357,1.0,0.9999990000010001,0.5771397277421374,0.19799499213695526,0.005,0.2,0.005
synth_h0.2_r0.005_snr1.0,GraphSAGE,0.8020050078630447,2.0794415416798357,0.0,0.0,0.0,1.0,0.9999990000010001,0.5802691284618995,0.19799499213695526,0.005,0.2,0.005
synth_h0.2_r0.005_snr2.5,GCN,0.8020050078630447,2.0794415416798357,1.0,0.8020050078630447,2.0794415416798357,2.5,0.399999840000064,0.5348145830073541,0.19799499213695526,0.005,0.2,0.005
synth_h0.2_r0.005_snr2.5,GraphSAGE,0.8020050078630447,2.0794415416798357,0.0,0.0,0.0,2.5,0.399999840000064,0.4704662807072445,0.19799499213695526,0.005,0.2,0.005
synth_h0.2_r0.01_snr0.25,GCN,0.8007518798112869,1.3862943611198904,1.0,0.8007518798112869,1.3862943611198904,0.25,3.9999840000640003,0.685104052573932,0.19924812018871307,0.01,0.2,0.01
synth_h0.2_r0.01_snr0.25,GraphSAGE,0.8007518798112869,1.3862943611198904,0.0,0.0,0.0,0.25,3.9999840000640003,0.7343921139101863,0.19924812018871307,0.01,0.2,0.01
synth_h0.2_r0.01_snr1.0,GCN,0.8007518798112869,1.3862943611198904,1.0,0.8007518798112869,1.3862943611198904,1.0,0.9999990000010001,0.5623533093412612,0.19924812018871307,0.01,0.2,0.01
synth_h0.2_r0.01_snr1.0,GraphSAGE,0.8007518798112869,1.3862943611198904,0.0,0.0,0.0,1.0,0.9999990000010001,0.5873102800813644,0.19924812018871307,0.01,0.2,0.01
