dataset,model,seed,degree,risk,score,is_member
Cora,GCN,42,3,0.1758957952260971,0.9979010820388794,0
Cora,GCN,42,3,0.1758957952260971,0.9977387189865112,0
Cora,GCN,42,1,0.35504886507987976,0.9863348007202148,0
Cora,GCN,42,5,0.08273614943027496,0.9096860289573669,0
Cora,GCN,42,3,0.1758957952260971,0.9908943176269531,0
Cora,GCN,42,1,0.57003253698349,0.9462783336639404,0
Cora,GCN,42,3,0.1758957952260971,0.9996095299720764,1
Cora,GCN,42,2,0.2833876311779022,0.972599446773529,0
Cora,GCN,42,2,0.7133550643920898,0.0005828289431519806,0
Cora,GCN,42,2,0.2833876311779022,0.9777824878692627,0
Cora,GCN,42,4,0.22605863213539124,0.9592069387435913,0
Cora,GCN,42,2,0.2833876311779022,0.9889772534370422,1
Cora,GCN,42,5,0.16872964799404144,0.9975711703300476,0
Cora,GCN,42,4,0.22605863213539124,0.9993977546691895,0
Cora,GCN,42,5,0.2547231614589691,0.9971422553062439,1
Cora,GCN,42,1,0.35504886507987976,0.9971649050712585,0
Cora,GCN,42,2,0.2833876311779022,0.08241599053144455,0
Cora,GCN,42,5,0.08273614943027496,0.998275637626648,0
Cora,GCN,42,1,0.35504886507987976,0.9209031462669373,1
Cora,GCN,42,7,0.10167519748210907,0.9999967813491821,0
Cora,GCN,42,4,0.11856676638126373,0.9867894053459167,1
Cora,GCN,42,4,0.5485342144966125,0.13554807007312775,0
Cora,GCN,42,2,0.2833876311779022,0.9405466914176941,1
Cora,GCN,42,6,0.20148907601833344,0.9417518973350525,1
Cora,GCN,42,4,0.6201953887939453,0.7550246119499207,1
Cora,GCN,42,9,0.1591748148202896,0.997040331363678,0
Cora,GCN,42,1,0.35504886507987976,0.9859817028045654,0
Cora,GCN,42,3,0.24755699932575226,0.9188527464866638,0
Cora,GCN,42,8,0.080347441136837,0.9979799389839172,0
Cora,GCN,42,4,0.22605863213539124,0.4139440059661865,0
Cora,GCN,42,3,0.4625406861305237,0.9989544153213501,0
Cora,GCN,42,2,0.2833876311779022,0.9970321655273438,0
Cora,GCN,42,6,0.20148907601833344,0.9984074234962463,1
Cora,GCN,42,3,0.1758957952260971,0.9999979734420776,1
Cora,GCN,42,6,0.4881339967250824,0.9722102284431458,1
Cora,GCN,42,2,0.2833876311779022,0.9873390197753906,0
Cora,GCN,42,2,0.2833876311779022,0.9996569156646729,0
Cora,GCN,42,9,0.20694899559020996,0.9974234104156494,1
Cora,GCN,42,2,0.7133550643920898,0.7031960487365723,1
Cora,GCN,42,1,0.35504886507987976,0.8117609620094299,0
Cora,GCN,42,6,0.20148907601833344,0.999369204044342,1
Cora,GCN,42,5,0.16872964799404144,0.9990465044975281,0
Cora,GCN,42,12,0.3092959225177765,0.30808791518211365,0
Cora,GCN,42,4,0.11856676638126373,0.9906938672065735,1
Cora,GCN,42,1,1.0,0.7736778855323792,1
Cora,GCN,42,10,0.09315962344408035,0.9999802112579346,1
Cora,GCN,42,3,0.24755699932575226,0.48635217547416687,0
Cora,GCN,42,1,0.57003253698349,0.9153881669044495,0
Cora,GCN,42,1,0.57003253698349,0.9979287385940552,1
Cora,GCN,42,3,0.319218248128891,0.9995539784431458,0
Cora,GCN,42,10,0.17915309965610504,0.9995220899581909,1
Cora,GCN,42,1,0.35504886507987976,0.09641600400209427,0
Cora,GCN,42,3,0.1758957952260971,0.9988715052604675,1
Cora,GCN,42,3,0.24755699932575226,0.8873895406723022,0
Cora,GCN,42,7,0.30642154812812805,0.9007821083068848,1
Cora,GCN,42,2,0.2833876311779022,0.9975177049636841,1
Cora,GCN,42,3,0.1758957952260971,0.9987795948982239,1
Cora,GCN,42,12,0.06564770638942719,0.9935830235481262,1
