dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds,peak_rss_mb,gtd_volume_mode
ogbn-arxiv,GraphSAGE,none,{},42,15aa6bf040e2,0.6542,8.1e-05,0.6629,0.6699,0.007,0.3953,0.9569,0.5221,0.6524,0.5131,0.5083,0.0079,0.0438,0.5035,0.554,0.5622,0.6524,,,0.5009,0.4215,0.0016,0.012,0.0554,85.6764,1,,243.19,1044.2,
ogbn-arxiv,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""noise_scale"": 0.1, ""budget_B"": 0.0}",42,15aa6bf040e2,0.6542,8.1e-05,0.6385,0.6459,0.0073,0.3425,0.8217,0.5134,0.6524,0.4945,0.5039,0.0013,0.0075,0.5037,0.5468,0.5316,0.6524,,,0.4985,0.4194,0.0014,0.0113,0.286,129.964,1,,452.43,1075.4,
ogbn-arxiv,GraphSAGE,lbp,"{""scale"": 0.15}",42,15aa6bf040e2,0.6542,8.1e-05,0.4455,0.4618,0.0164,0.1933,0.7413,0.5091,0.6524,0.5097,0.5078,0.0014,0.0125,0.5082,0.4941,0.5117,0.6524,,,0.4985,0.418,0.0012,0.0104,0.2481,106.5914,1,,282.69,1075.4,
ogbn-arxiv,GraphSAGE,none,{},123,15aa6bf040e2,0.6542,8.1e-05,0.6661,0.6618,-0.0043,0.3837,0.9569,0.5302,0.6496,0.5068,0.5022,0.0073,0.0387,0.4978,0.5476,0.5573,0.6496,,,0.5025,0.4232,0.0013,0.0128,0.0391,107.2732,1,,273.06,1075.4,
ogbn-arxiv,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""noise_scale"": 0.1, ""budget_B"": 0.0}",123,15aa6bf040e2,0.6542,8.1e-05,0.6481,0.6484,0.0002,0.3492,0.8132,0.5409,0.6495,0.4794,0.4919,0.0009,0.0072,0.5001,0.5451,0.5505,0.6496,,,0.5005,0.4215,0.0013,0.012,0.2755,97.817,1,,347.49,1557.9,
ogbn-arxiv,GraphSAGE,lbp,"{""scale"": 0.15}",123,15aa6bf040e2,0.6542,8.1e-05,0.4663,0.4711,0.0048,0.1974,0.722,0.5075,0.6496,0.5032,0.5019,0.001,0.0104,0.5024,0.4929,0.5081,0.6496,,,0.4967,0.4181,0.0013,0.0122,0.266,95.4399,1,,256.72,1557.9,
ogbn-arxiv,GraphSAGE,none,{},456,15aa6bf040e2,0.6542,8.1e-05,0.6691,0.6718,0.0027,0.391,0.9565,0.5299,0.6513,0.5114,0.5069,0.0067,0.0408,0.5014,0.5531,0.5629,0.6513,,,0.5014,0.4209,0.0011,0.0106,0.0597,93.7654,1,,256.87,1557.9,
ogbn-arxiv,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""noise_scale"": 0.1, ""budget_B"": 0.0}",456,15aa6bf040e2,0.6542,8.1e-05,0.6413,0.6482,0.007,0.3533,0.8214,0.5283,0.6514,0.4881,0.4999,0.001,0.007,0.5035,0.5474,0.552,0.6513,,,0.4983,0.4183,0.0012,0.0109,0.2847,94.9656,1,,272.11,1601.1,
ogbn-arxiv,GraphSAGE,lbp,"{""scale"": 0.15}",456,15aa6bf040e2,0.6542,8.1e-05,0.4507,0.4632,0.0125,0.1982,0.7373,0.508,0.6513,0.5078,0.5071,0.0013,0.0121,0.5063,0.4932,0.5051,0.6513,,,0.5014,0.4181,0.001,0.0113,0.2535,110.0388,1,,300.61,1601.1,
ogbn-arxiv,GraphSAGE,gtd,"{""gamma"": 0.5, ""stage1_frac"": 1.0, ""pseudo_conf"": 0.9}",42,07773cb6cd14,0.6542,8.1e-05,0.6567,0.6704,0.0136,0.3928,0.9565,0.5187,0.6524,0.5147,0.5112,0.0071,0.042,0.5068,0.5564,0.5638,0.6524,,,0.5001,0.4212,0.0017,0.0127,0.056,369.5274,1,,778.05,,stage1_only_ce
ogbn-arxiv,GraphSAGE,gtd,"{""gamma"": 0.5, ""stage1_frac"": 1.0, ""pseudo_conf"": 0.9}",123,07773cb6cd14,0.6542,8.1e-05,0.6657,0.663,-0.0027,0.3804,0.9569,0.5296,0.6496,0.506,0.502,0.0069,0.0371,0.4986,0.5485,0.5654,0.6496,,,0.5014,0.4224,0.0015,0.0127,0.0403,98.732,1,,279.64,,stage1_only_ce
ogbn-arxiv,GraphSAGE,gtd,"{""gamma"": 0.5, ""stage1_frac"": 1.0, ""pseudo_conf"": 0.9}",456,07773cb6cd14,0.6542,8.1e-05,0.6696,0.6715,0.0019,0.3884,0.9566,0.5297,0.6513,0.5117,0.5071,0.0068,0.0408,0.501,0.5527,0.5644,0.6513,,,0.5013,0.421,0.0014,0.0106,0.064,122.6492,1,,291.22,,stage1_only_ce
