dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase,variant,lam,sigma
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.2188,0.00052,0.297,0.2928,0.6562,0.3592,random_40_20_40,0.2817,0.5708,0.7383,0.6951,0.7411,0.6898,0.0,0.0,0.6796,0.6796,0.7386,0.6891,,,0.5478,0.5329,0.0043,0.0332,0.2794,2.0994,1,,select,lbp,,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.2188,0.00052,0.2849,0.2816,0.6618,0.377,random_40_20_40,0.2711,0.5902,0.734,0.6901,0.7395,0.6954,0.0,0.0299,0.6885,0.6885,0.7361,0.6911,,,0.536,0.5349,0.003,0.0266,0.2892,1.8301,1,,select,lbp,,
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.35}",42,06e54a47c487,0.2188,0.00052,0.3312,0.3191,0.752,0.4207,random_40_20_40,0.3153,0.6003,0.7666,0.7161,0.7552,0.703,0.0,0.0171,0.7104,0.7104,0.7674,0.7158,,,0.5559,0.5377,0.003,0.0253,0.245,7.2371,1,,select,sami_lam0.5_sig0.35,0.5,0.35
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.35}",123,06e54a47c487,0.2188,0.00052,0.3135,0.3217,0.7724,0.4589,random_40_20_40,0.2907,0.6003,0.7815,0.7286,0.7728,0.7211,0.0,0.0243,0.7294,0.7294,0.7822,0.7293,,,0.5518,0.5436,0.0141,0.0451,0.26,21.3025,1,,select,sami_lam0.5_sig0.35,0.5,0.35
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.4}",42,06e54a47c487,0.2188,0.00052,0.3257,0.3125,0.7201,0.3944,random_40_20_40,0.311,0.5956,0.7558,0.7095,0.744,0.6947,0.0,0.0158,0.6972,0.6972,0.7579,0.7109,,,0.5544,0.5368,0.002,0.0247,0.2516,15.6961,1,,select,sami_lam0.5_sig0.4,0.5,0.4
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.4}",123,06e54a47c487,0.2188,0.00052,0.3105,0.323,0.7451,0.4345,random_40_20_40,0.2883,0.5943,0.7705,0.7171,0.7624,0.7148,0.0,0.0257,0.7173,0.7173,0.7715,0.7184,,,0.5471,0.5396,0.0148,0.0447,0.2639,14.7125,1,,select,sami_lam0.5_sig0.4,0.5,0.4
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.5}",42,06e54a47c487,0.2188,0.00052,0.3161,0.3086,0.6687,0.3526,random_40_20_40,0.3022,0.5883,0.7348,0.6885,0.7233,0.6803,0.0,0.0,0.6763,0.6763,0.7378,0.6882,,,0.5496,0.5347,0.002,0.0276,0.2649,17.2881,1,,select,sami_lam0.5_sig0.5,0.5,0.5
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.5}",123,06e54a47c487,0.2188,0.00052,0.303,0.3171,0.698,0.3951,random_40_20_40,0.2801,0.5859,0.7486,0.6984,0.7428,0.6974,0.0,0.0,0.6975,0.6975,0.7495,0.6984,,,0.5423,0.5355,0.0168,0.0414,0.2739,24.3963,1,,select,sami_lam0.5_sig0.5,0.5,0.5
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.6}",42,06e54a47c487,0.2188,0.00052,0.3066,0.3026,0.6188,0.3122,random_40_20_40,0.294,0.5817,0.7159,0.6743,0.7052,0.6658,0.0,0.0,0.6561,0.6561,0.7203,0.6753,,,0.5435,0.5296,0.0007,0.0224,0.278,23.9275,1,,select,sami_lam0.5_sig0.6,0.5,0.6
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.6}",123,06e54a47c487,0.2188,0.00052,0.2977,0.3046,0.651,0.3533,random_40_20_40,0.2766,0.5781,0.7288,0.6822,0.7254,0.6845,0.0,0.0,0.6766,0.6766,0.7303,0.6793,,,0.5345,0.5321,0.0102,0.0382,0.283,25.0882,1,,select,sami_lam0.5_sig0.6,0.5,0.6
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.35}",42,06e54a47c487,0.2188,0.00052,0.3326,0.3395,0.7161,0.3836,random_40_20_40,0.3144,0.6015,0.7503,0.6997,0.7386,0.6865,0.0,0.0227,0.6918,0.6918,0.7512,0.7007,,,0.5511,0.5354,0.0039,0.027,0.2524,23.7696,1,,select,sami_lam1.0_sig0.35,1.0,0.35
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.35}",123,06e54a47c487,0.2188,0.00052,0.3138,0.3158,0.728,0.4141,random_40_20_40,0.2852,0.5991,0.7606,0.7023,0.7515,0.7007,0.0,0.0247,0.7071,0.7071,0.7605,0.7016,,,0.5467,0.54,0.0125,0.0362,0.2621,22.3057,1,,select,sami_lam1.0_sig0.35,1.0,0.35
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.4}",42,06e54a47c487,0.2188,0.00052,0.3283,0.3329,0.6908,0.3625,random_40_20_40,0.3106,0.5966,0.7404,0.6921,0.7281,0.6803,0.0,0.0,0.6813,0.6813,0.7409,0.6944,,,0.548,0.5327,0.0016,0.025,0.2572,24.2852,1,,select,sami_lam1.0_sig0.4,1.0,0.4
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.4}",123,06e54a47c487,0.2188,0.00052,0.3109,0.3151,0.7092,0.3984,random_40_20_40,0.2838,0.5938,0.7494,0.6941,0.7413,0.6941,0.0,0.0243,0.6992,0.6992,0.7489,0.6934,,,0.5422,0.5367,0.0141,0.0378,0.2657,24.0688,1,,select,sami_lam1.0_sig0.4,1.0,0.4
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.5}",42,06e54a47c487,0.2188,0.00052,0.3197,0.3276,0.6447,0.325,random_40_20_40,0.3044,0.5894,0.7211,0.676,0.7093,0.6664,0.0,0.0,0.6625,0.6625,0.723,0.6776,,,0.5432,0.5306,0.002,0.027,0.2672,19.1278,1,,select,sami_lam1.0_sig0.5,1.0,0.5
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.5}",123,06e54a47c487,0.2188,0.00052,0.3069,0.3145,0.6628,0.3559,random_40_20_40,0.2803,0.5843,0.7309,0.6783,0.7241,0.6806,0.0,0.0,0.678,0.678,0.7318,0.675,,,0.534,0.5293,0.0122,0.0342,0.2718,17.345,1,,select,sami_lam1.0_sig0.5,1.0,0.5
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.6}",42,06e54a47c487,0.2188,0.00052,0.3092,0.3151,0.6043,0.2951,random_40_20_40,0.2956,0.5831,0.7039,0.6655,0.693,0.6539,0.0,0.0,0.6475,0.6475,0.7055,0.6641,,,0.5393,0.5281,0.0023,0.0237,0.2802,16.3961,1,,select,sami_lam1.0_sig0.6,1.0,0.6
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.6}",123,06e54a47c487,0.2188,0.00052,0.2964,0.3059,0.624,0.3276,random_40_20_40,0.2722,0.576,0.7137,0.6655,0.7084,0.6701,0.0,0.0,0.6638,0.6638,0.7146,0.6641,,,0.5293,0.5265,0.0118,0.0299,0.2857,20.0602,1,,select,sami_lam1.0_sig0.6,1.0,0.6
Actor,GraphSAGE,none,{},42,06e54a47c487,0.2188,0.00052,0.327,0.325,0.903,0.576,random_40_20_40,0.3146,0.6554,0.8756,0.7984,0.8401,0.777,0.0013,0.0115,0.788,0.788,0.8747,0.7993,,,0.6159,0.5855,0.0026,0.0303,0.2703,6.739,1,,confirm,none,,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.2188,0.00052,0.297,0.2928,0.6562,0.3592,random_40_20_40,0.2817,0.5708,0.7383,0.6951,0.7411,0.6898,0.0,0.0,0.6796,0.6796,0.7386,0.6891,,,0.5478,0.5329,0.0043,0.0332,0.2794,6.1428,1,,confirm,lbp,,
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.5}",42,06e54a47c487,0.2188,0.00052,0.3194,0.3263,0.6438,0.3243,random_40_20_40,0.3041,0.5894,0.721,0.6763,0.7091,0.6674,0.0,0.0,0.6622,0.6622,0.7226,0.6773,,,0.5423,0.5293,0.002,0.027,0.2676,19.0884,1,,confirm,sami_selected,,
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.35}",42,06e54a47c487,0.2188,0.00052,0.3312,0.3191,0.752,0.4207,random_40_20_40,0.3153,0.6003,0.7666,0.7161,0.7552,0.703,0.0,0.0171,0.7104,0.7104,0.7674,0.7158,,,0.5554,0.5368,0.003,0.0253,0.245,18.4375,1,,confirm,sami_locked035,,
Actor,GraphSAGE,none,{},123,06e54a47c487,0.2188,0.00052,0.3414,0.3375,0.9105,0.5691,random_40_20_40,0.3261,0.6627,0.8746,0.7977,0.8355,0.7806,0.0013,0.0128,0.7845,0.7845,0.872,0.7895,,,0.5983,0.5837,0.0053,0.0349,0.2554,5.3964,1,,confirm,none,,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.2188,0.00052,0.2849,0.2816,0.6618,0.377,random_40_20_40,0.2711,0.5902,0.734,0.6901,0.7395,0.6954,0.0,0.0299,0.6885,0.6885,0.7361,0.6911,,,0.536,0.5349,0.003,0.0266,0.2892,5.3661,1,,confirm,lbp,,
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 1.0, ""noise_scale"": 0.5}",123,06e54a47c487,0.2188,0.00052,0.3076,0.3132,0.6618,0.3543,random_40_20_40,0.2811,0.5842,0.7307,0.6776,0.724,0.6806,0.0,0.0,0.6771,0.6771,0.7317,0.6747,,,0.5337,0.5288,0.0122,0.0339,0.2715,17.3501,1,,confirm,sami_selected,,
Actor,GraphSAGE,sami,"{""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""lam"": 0.5, ""noise_scale"": 0.35}",123,06e54a47c487,0.2188,0.00052,0.3135,0.3211,0.7724,0.4589,random_40_20_40,0.2907,0.6003,0.7815,0.7286,0.7728,0.7211,0.0,0.0243,0.7294,0.7294,0.7822,0.7293,,,0.5518,0.5437,0.0141,0.0451,0.26,17.5235,1,,confirm,sami_locked035,,
