dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,attack_setting
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.6569,0.6482,0.6454,0.6404,0.5663,0.5471,0.0129,0.0397,0.0549,1.6536,1,,none_k1
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8864,0.9926,0.1062,0.8812,0.9605,0.5833,0.554,0.5685,0.5346,0.0,0.0,0.5652,0.5596,0.5439,0.5439,0.5197,0.5125,0.0083,0.012,0.1035,6.8797,1,,sami_k1
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8957,1.0,0.1043,0.8927,0.9749,0.6171,0.5817,0.5635,0.5365,0.0009,0.0046,0.5876,0.5586,0.5926,0.5711,0.5376,0.5305,0.0074,0.0231,0.1168,6.1242,5,,sami_k5
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8929,1.0,0.1071,0.8894,0.9805,0.5942,0.5817,0.5596,0.5245,0.0037,0.0055,0.5822,0.5503,0.5781,0.5706,0.5334,0.5235,0.0074,0.0249,0.1181,5.9513,20,,sami_k20
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.6528,0.6445,0.6437,0.645,0.5776,0.5512,0.0139,0.0323,0.0623,1.9269,1,,none_k1
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8726,0.9954,0.1228,0.8592,0.9581,0.5798,0.5503,0.5716,0.542,0.0,0.0148,0.5801,0.5503,0.5682,0.5609,0.5231,0.5171,0.0083,0.012,0.0884,6.2369,1,,sami_k1
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8772,0.9991,0.1219,0.8667,0.9717,0.5737,0.5586,0.5872,0.5448,0.0,0.0268,0.5671,0.5457,0.5796,0.5697,0.5388,0.5217,0.0129,0.0277,0.1071,5.7542,5,,sami_k5
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8772,1.0,0.1228,0.8666,0.9808,0.5633,0.5743,0.5819,0.542,0.0,0.0249,0.5702,0.5522,0.5819,0.5739,0.5338,0.5171,0.012,0.0249,0.1156,6.3464,20,,sami_k20
Cora,GraphSAGE,none,{},456,eac9960f8ba0,0.81,0.00144,0.8846,1.0,0.1154,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.6533,0.6491,0.6454,0.6417,0.5587,0.5439,0.0102,0.0268,0.0428,2.1453,1,,none_k1
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8772,0.9963,0.1191,0.8694,0.9647,0.5717,0.5559,0.5739,0.5402,0.0,0.0,0.557,0.566,0.5703,0.5545,0.4986,0.4935,0.0102,0.0222,0.0948,5.3246,1,,sami_k1
