dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,gap_attack_auc,gap_attack_acc
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.6569,0.6482,,,0.6461,0.5762,0.0295,0.1016,0.0549,1.3959,1,,,
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",42,eac9960f8ba0,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9264,0.5608,0.5596,0.5596,0.5,0.0,0.0,0.5608,0.5596,,,0.5413,0.5254,0.0,0.0,0.1191,1.3534,1,,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8864,0.9926,0.1062,0.8812,0.9605,0.5833,0.554,0.5685,0.5346,0.0,0.0,0.5646,0.5577,,,0.5386,0.5157,0.0018,0.0175,0.1035,4.1595,1,,,
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.6528,0.6445,,,0.6438,0.5766,0.0157,0.0591,0.0623,1.6166,1,,,
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",123,eac9960f8ba0,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9134,0.5636,0.5568,0.5646,0.5,0.0,0.0,0.5636,0.5568,,,0.5353,0.5152,0.0,0.0,0.1293,1.6179,1,,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8735,0.9954,0.1219,0.8601,0.9581,0.5795,0.5494,0.5716,0.542,0.0,0.0148,0.5802,0.5485,,,0.5168,0.5028,0.0055,0.0111,0.0903,5.0689,1,,,
Cora,GraphSAGE,none,{},456,eac9960f8ba0,0.81,0.00144,0.8846,1.0,0.1154,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.6533,0.6491,,,0.6456,0.5799,0.0305,0.1006,0.0428,1.6468,1,,,
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",456,eac9960f8ba0,0.81,0.00144,0.8846,1.0,0.1154,0.8768,0.9268,0.5628,0.5633,0.5577,0.5,0.0,0.0,0.5628,0.5633,,,0.5434,0.5291,0.0,0.0,0.1154,1.6817,1,,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8772,0.9963,0.1191,0.8694,0.9647,0.5717,0.5559,0.5739,0.5402,0.0,0.0,0.5558,0.5642,,,0.5275,0.5139,0.0028,0.024,0.0948,5.0714,1,,,
Actor,GraphSAGE,none,{},42,06e54a47c487,0.2188,0.00052,0.327,0.903,0.576,0.3146,0.6554,0.8756,0.7984,0.8401,0.777,0.0013,0.0115,0.8747,0.7993,0.8709,0.7967,0.6159,0.5855,0.0026,0.0303,0.2703,8.4985,1,,0.788,0.788
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,06e54a47c487,0.2188,0.00052,0.3359,0.797,0.4612,0.3176,0.6121,0.7905,0.7352,0.779,0.723,0.0,0.0217,0.7928,0.7359,0.7844,0.7298,0.568,0.5465,0.0023,0.027,0.241,49.7122,1,,0.7306,0.7306
Actor,GraphSAGE,none,{},123,06e54a47c487,0.2188,0.00052,0.3414,0.9105,0.5691,0.3261,0.6627,0.8746,0.7977,0.8355,0.7806,0.0013,0.0128,0.872,0.7895,0.8749,0.7962,0.5983,0.5837,0.0053,0.0349,0.2554,6.2601,1,,0.7845,0.7845
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,06e54a47c487,0.2188,0.00052,0.3191,0.8214,0.5023,0.2949,0.6142,0.8054,0.7507,0.7926,0.7368,0.0,0.025,0.8048,0.749,0.8006,0.7492,0.5599,0.5487,0.0112,0.0365,0.2561,20.2402,1,,0.7512,0.7512
Actor,GraphSAGE,none,{},456,06e54a47c487,0.2188,0.00052,0.3375,0.9095,0.572,0.3259,0.6599,0.8798,0.8063,0.84,0.7826,0.0013,0.0122,0.8788,0.8013,0.873,0.7977,0.6151,0.5868,0.0151,0.0444,0.2604,6.3388,1,,0.786,0.786
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,06e54a47c487,0.2188,0.00052,0.3263,0.8253,0.499,0.3133,0.6201,0.8114,0.7566,0.797,0.7431,0.0,0.0204,0.812,0.7595,0.8034,0.7505,0.5683,0.551,0.0076,0.0316,0.2494,20.3059,1,,0.7495,0.7495
Actor,GraphSAGE,none,{},789,06e54a47c487,0.2188,0.00052,0.328,0.9092,0.5813,0.3121,0.6522,0.8761,0.7961,0.8399,0.7799,0.0053,0.0187,0.8723,0.7957,0.8758,0.7964,0.6044,0.5832,0.0072,0.0263,0.2792,6.6461,1,,0.7906,0.7906
Actor,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,06e54a47c487,0.2188,0.00052,0.3155,0.8171,0.5016,0.292,0.6075,0.8021,0.7497,0.7911,0.7372,0.0,0.0276,0.8048,0.7477,0.7976,0.7502,0.5606,0.5456,0.002,0.028,0.2686,21.2693,1,,0.7508,0.7508
Actor,GraphSAGE,none,{},1024,06e54a47c487,0.2188,0.00052,0.3395,0.902,0.5625,0.3217,0.6609,0.871,0.7944,0.8247,0.7727,0.0003,0.0118,0.8703,0.7977,0.8706,0.7863,0.591,0.5706,0.0082,0.0296,0.2603,6.4461,1,,0.7812,0.7812
