dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,variant,phase,wall_seconds
Citeseer,GraphSAGE,none,{},42,06e54a47c487,0.7355,0.000823,0.7408,0.7654,1.0,0.2592,random_40_20_40,0.7073,0.9131,0.7372,0.7295,0.7326,0.6566,0.0008,0.0128,0.6296,0.6296,0.737,0.731,,,0.5833,0.5654,0.0083,0.0316,0.153,6.0545,1,,none,confirm,30.83
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,06e54a47c487,0.7355,0.000823,0.7363,0.7579,1.0,0.2637,random_40_20_40,0.696,0.9019,0.6121,0.6349,0.6204,0.5567,0.0008,0.0188,0.6319,0.6319,0.6565,0.6341,,,0.5371,0.5274,0.0008,0.0105,0.233,6.1829,1,,gtd,confirm,29.01
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.7355,0.000823,0.6228,0.6,0.8527,0.2299,random_40_20_40,0.5927,0.8129,0.6311,0.5943,0.6501,0.5995,0.0,0.0,0.615,0.615,0.6326,0.6011,,,0.5204,0.5071,0.003,0.027,0.0712,5.3788,1,,lbp,confirm,27.32
Citeseer,GraphSAGE,maskarmor,"{""top_k"": 1}",42,06e54a47c487,0.7355,0.000823,0.7408,0.7654,1.0,0.2592,random_40_20_40,0.7073,0.8267,0.6306,0.6281,0.6296,0.5,0.0,0.0,0.6296,0.6296,0.6306,0.6281,,,0.6467,0.5729,0.0,0.0,0.2592,5.2987,1,,maskarmor,confirm,28.66
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.7355,0.000823,0.7325,0.8241,0.9684,0.2359,random_40_20_40,0.7022,0.8736,0.6438,0.6146,0.6464,0.586,0.0,0.0,0.618,0.618,0.6487,0.6221,,,0.525,0.5177,0.0015,0.021,0.0606,15.5847,1,,sami_locked_cora,confirm,81.49
Citeseer,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.7355,0.000823,0.7423,0.8466,0.9887,0.2464,random_40_20_40,0.7099,0.8802,0.6486,0.6176,0.6486,0.5868,0.0,0.0,0.6232,0.6232,0.6395,0.6191,,,0.521,0.5147,0.0068,0.0188,0.0513,16.6126,1,,sami_selected,confirm,80.62
Citeseer,GraphSAGE,none,{},123,06e54a47c487,0.7355,0.000823,0.7431,0.7414,0.9992,0.2562,random_40_20_40,0.7171,0.9252,0.7395,0.7325,0.7393,0.6679,0.0075,0.0308,0.6281,0.6281,0.7394,0.7318,,,0.595,0.5718,0.0105,0.0406,0.1386,5.7522,1,,none,confirm,29.15
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,06e54a47c487,0.7355,0.000823,0.7408,0.7534,0.9992,0.2585,random_40_20_40,0.7127,0.9136,0.6141,0.6319,0.614,0.547,0.0038,0.024,0.6292,0.6292,0.6653,0.6341,,,0.5492,0.5368,0.0038,0.0165,0.2255,5.5878,1,,gtd,confirm,28.62
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.7355,0.000823,0.6266,0.6361,0.8392,0.2126,random_40_20_40,0.6009,0.8206,0.6277,0.5875,0.6416,0.5913,0.0,0.0,0.6063,0.6063,0.6241,0.5973,,,0.5203,0.5053,0.0038,0.0301,0.0848,5.6811,1,,lbp,confirm,29.9
Citeseer,GraphSAGE,maskarmor,"{""top_k"": 1}",123,06e54a47c487,0.7355,0.000823,0.7431,0.7414,0.9992,0.2562,random_40_20_40,0.7171,0.8319,0.6362,0.6326,0.6281,0.5,0.0,0.0,0.6281,0.6281,0.6362,0.6326,,,0.6622,0.5894,0.0,0.0,0.2569,6.3753,1,,maskarmor,confirm,33.45
