dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds
Computers,GraphSAGE,none,{},42,06e54a47c487,0.7772,0.0026,0.7022,0.7142,0.7099,0.0076,random_40_20_40,0.3611,0.9592,0.5059,0.4921,0.5033,0.5039,0.0009,0.0116,0.5038,0.5038,0.5092,0.4994,,,0.4962,0.501,0.0007,0.0064,0.1108,34.8991,1,,206.06
Computers,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,06e54a47c487,0.7772,0.0026,0.4743,0.4873,0.4745,0.0002,random_40_20_40,0.1671,0.8732,0.4993,0.4861,0.5017,0.4995,0.0002,0.0127,0.5001,0.5001,0.4902,0.4925,,,0.4963,0.498,0.0005,0.0118,0.07,51.8427,1,,388.29
Computers,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.7772,0.0026,0.4045,0.408,0.4014,-0.0031,random_40_20_40,0.243,0.6718,0.4936,0.4894,0.5014,0.5015,0.0004,0.0104,0.4985,0.4985,0.4906,0.4874,,,0.502,0.5061,0.0016,0.0107,0.0173,58.2252,1,,277.86
Computers,GraphSAGE,maskarmor,"{""top_k"": 1}",42,06e54a47c487,0.7772,0.0026,0.7022,0.7142,0.7099,0.0076,random_40_20_40,0.3611,0.6861,0.5013,0.4975,0.5038,0.5,0.0,0.0,0.5038,0.5038,0.5013,0.4975,,,0.4991,0.4995,0.0,0.0,0.2978,55.1486,1,,294.56
Computers,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.7772,0.0026,0.6933,0.6975,0.6997,0.0064,random_40_20_40,0.3856,0.8492,0.4918,0.4917,0.5044,0.5092,0.0007,0.0131,0.5032,0.5032,0.4922,0.4935,,,0.4964,0.497,0.0013,0.0078,0.151,255.164,1,,1147.3
Computers,GraphSAGE,none,{},123,06e54a47c487,0.7772,0.0026,0.7113,0.7258,0.732,0.0207,random_40_20_40,0.3953,0.9674,0.5234,0.5119,0.5172,0.5132,0.0004,0.0145,0.5104,0.5104,0.5104,0.5106,,,0.5011,0.5029,0.0016,0.0105,0.0496,50.5634,1,,276.71
Computers,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,06e54a47c487,0.7772,0.0026,0.7008,0.7247,0.7221,0.0213,random_40_20_40,0.4517,0.9513,0.5142,0.5112,0.5177,0.5163,0.0015,0.0144,0.5106,0.5106,0.5089,0.505,,,0.5041,0.5065,0.0007,0.0111,0.118,54.7262,1,,395.81
Computers,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.7772,0.0026,0.4536,0.4567,0.4732,0.0196,random_40_20_40,0.294,0.7293,0.5177,0.5026,0.5121,0.5126,0.0,0.0098,0.5098,0.5098,0.4974,0.4937,,,0.5017,0.5035,0.0011,0.0125,0.0264,65.8201,1,,257.16
Computers,GraphSAGE,maskarmor,"{""top_k"": 1}",123,06e54a47c487,0.7772,0.0026,0.7113,0.7258,0.732,0.0207,random_40_20_40,0.3953,0.6959,0.5144,0.5137,0.5104,0.5,0.0,0.0,0.5104,0.5104,0.5144,0.5137,,,0.5081,0.5013,0.0,0.0,0.2887,55.2615,1,,187.35
Computers,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.7772,0.0026,0.7015,0.7258,0.731,0.0294,random_40_20_40,0.4639,0.8703,0.5257,0.513,0.5194,0.5143,0.0002,0.0135,0.5147,0.5147,0.5209,0.5152,,,0.5005,0.5028,0.0002,0.0084,0.1925,78.7728,1,,339.68
Computers,GraphSAGE,none,{},456,06e54a47c487,0.7772,0.0026,0.6946,0.7065,0.7051,0.0105,random_40_20_40,0.3055,0.9416,0.521,0.517,0.5054,0.5095,0.0009,0.0089,0.5053,0.5053,0.5194,0.5117,,,0.4965,0.5004,0.0013,0.0107,0.1199,17.6207,1,,92.4
Computers,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,06e54a47c487,0.7772,0.0026,0.523,0.5364,0.5395,0.0165,random_40_20_40,0.2048,0.8665,0.5137,0.5097,0.5055,0.5112,0.0013,0.0087,0.5083,0.5083,0.5132,0.5101,,,0.5002,0.5054,0.0005,0.0104,0.0807,20.2291,1,,128.3
Computers,GraphSAGE,lbp,"{""scale"": 0.3}",456,06e54a47c487,0.7772,0.0026,0.4079,0.4109,0.4203,0.0124,random_40_20_40,0.2295,0.6549,0.4981,0.4974,0.506,0.5046,0.0,0.0091,0.5062,0.5062,0.4834,0.4917,,,0.4967,0.5011,0.0004,0.008,0.0187,22.0671,1,,110.79
Computers,GraphSAGE,maskarmor,"{""top_k"": 1}",456,06e54a47c487,0.7772,0.0026,0.6946,0.7065,0.7051,0.0105,random_40_20_40,0.3055,0.6566,0.5056,0.505,0.5053,0.5,0.0,0.0,0.5053,0.5053,0.5056,0.505,,,0.4911,0.4917,0.0,0.0,0.3054,21.8619,1,,108.88
Computers,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,06e54a47c487,0.7772,0.0026,0.6566,0.6695,0.6664,0.0098,random_40_20_40,0.3324,0.8205,0.5,0.5017,0.5088,0.5085,0.0015,0.0142,0.5049,0.5049,0.522,0.511,,,0.5,0.5014,0.0009,0.0127,0.146,78.2277,1,,400.35
Computers,GraphSAGE,none,{},789,06e54a47c487,0.7772,0.0026,0.7326,0.7382,0.738,0.0055,random_40_20_40,0.4916,0.9678,0.5094,0.5026,0.508,0.5057,0.0004,0.0056,0.5027,0.5027,0.4966,0.4972,,,0.502,0.5017,0.0025,0.0116,0.0624,21.607,1,,109.49
Computers,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,06e54a47c487,0.7772,0.0026,0.4406,0.444,0.4617,0.0211,random_40_20_40,0.1509,0.8645,0.4988,0.4994,0.5134,0.5097,0.0004,0.0064,0.5105,0.5105,0.4988,0.4941,,,0.5068,0.5083,0.0005,0.0104,0.0945,20.2715,1,,123.71
Computers,GraphSAGE,lbp,"{""scale"": 0.3}",789,06e54a47c487,0.7772,0.0026,0.4508,0.4509,0.4486,-0.0022,random_40_20_40,0.2775,0.7136,0.501,0.5019,0.5043,0.5019,0.0005,0.0118,0.4989,0.4989,0.5006,0.5008,,,0.5,0.4991,0.0009,0.0105,0.0302,27.4357,1,,109.6
Computers,GraphSAGE,maskarmor,"{""top_k"": 1}",789,06e54a47c487,0.7772,0.0026,0.7326,0.7382,0.738,0.0055,random_40_20_40,0.4916,0.7221,0.5026,0.5017,0.5027,0.5,0.0,0.0,0.5027,0.5027,0.5026,0.5017,,,0.5045,0.5029,0.0,0.0,0.2674,19.9329,1,,106.03
Computers,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.7772,0.0026,0.7231,0.7291,0.7357,0.0125,random_40_20_40,0.4599,0.884,0.5064,0.5083,0.51,0.5081,0.0011,0.0113,0.5063,0.5063,0.5006,0.5028,,,0.504,0.5055,0.0016,0.0105,0.1898,125.2409,1,,405.91
Computers,GraphSAGE,none,{},1024,06e54a47c487,0.7772,0.0026,0.6915,0.6822,0.6813,-0.0102,random_40_20_40,0.3051,0.9515,0.4938,0.4921,0.4988,0.4966,0.0016,0.0107,0.4949,0.4949,0.5023,0.4914,,,0.5001,0.5004,0.002,0.0091,0.1131,15.557,1,,77.56
Computers,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,06e54a47c487,0.7772,0.0026,0.3839,0.3804,0.389,0.0051,random_40_20_40,0.0793,0.8423,0.5123,0.4926,0.4997,0.497,0.0013,0.0116,0.5025,0.5025,0.5147,0.5025,,,0.4973,0.496,0.0009,0.01,0.0738,15.5827,1,,78.28
Computers,GraphSAGE,lbp,"{""scale"": 0.3}",1024,06e54a47c487,0.7772,0.0026,0.4076,0.3967,0.3917,-0.0158,random_40_20_40,0.2284,0.6689,0.5043,0.5012,0.4894,0.4952,0.0018,0.0113,0.4921,0.4921,0.4998,0.4905,,,0.4998,0.4981,0.0007,0.0082,0.0266,17.653,1,,82.7
Computers,GraphSAGE,maskarmor,"{""top_k"": 1}",1024,06e54a47c487,0.7772,0.0026,0.6915,0.6822,0.6813,-0.0102,random_40_20_40,0.3051,0.6505,0.5079,0.4892,0.4949,0.5,0.0,0.0,0.4949,0.4949,0.5079,0.4892,,,0.5074,0.5028,0.0,0.0091,0.3085,15.475,1,,77.3
Computers,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.7772,0.0026,0.4785,0.4822,0.479,0.0005,random_40_20_40,0.2288,0.7069,0.5046,0.4894,0.501,0.4994,0.0007,0.0084,0.5003,0.5003,0.4989,0.4908,,,0.4972,0.4949,0.0007,0.014,0.1234,54.8725,1,,283.19
