dataset,model,defense,seed,acc,conf_auc,gap_auc
Cora,GraphSAGE,none,42,0.8809,0.6572,0.5596
Cora,GraphSAGE,none,123,0.8707,0.6531,0.5646
Cora,GraphSAGE,none,456,0.8846,0.6535,0.5577
Cora,GraphSAGE,sami,42,0.8846,0.5872,0.554
Cora,GraphSAGE,sami,123,0.8726,0.5844,0.5614
Cora,GraphSAGE,sami,456,0.8763,0.576,0.5596
Cora,GraphSAGE,gtd,42,0.8846,0.5992,0.5577
Cora,GraphSAGE,gtd,123,0.868,0.5885,0.5656
Cora,GraphSAGE,gtd,456,0.8827,0.5818,0.5582
Cora,GraphSAGE,lbp,42,0.7054,0.5716,0.5499
Cora,GraphSAGE,lbp,123,0.7184,0.5584,0.5457
Cora,GraphSAGE,lbp,456,0.7239,0.5485,0.5448
