dataset,model,seed,spearman_r_vs_adv,pearson_r_vs_adv,mean_risk
Cora,GCN,42,-0.48425798563196915,-0.5334962493924716,0.3287569582462311
Cora,GCN,123,-0.4821961484347166,-0.5425792302486503,0.31446734070777893
Cora,GCN,456,-0.4788155732828405,-0.5118929816944385,0.3197340965270996
Cora,GraphSAGE,42,-0.2290335531220188,-0.2696309044251449,0.3287569582462311
Cora,GraphSAGE,123,-0.27485236240381283,-0.31829439812595406,0.31446734070777893
Cora,GraphSAGE,456,-0.30589361343911026,-0.341003623392476,0.3197340965270996
Citeseer,GCN,42,-0.4276175181615989,-0.5694019352938648,0.39338192343711853
Citeseer,GCN,123,-0.46686360877488,-0.6095498257297183,0.40699541568756104
Citeseer,GCN,456,-0.45048727010424783,-0.5938640881605648,0.40555045008659363
Citeseer,GraphSAGE,42,-0.2768683597914239,-0.259519361749341,0.39338192343711853
Citeseer,GraphSAGE,123,-0.2733953681219137,-0.27324236521047574,0.40699541568756104
Citeseer,GraphSAGE,456,-0.2456932056772465,-0.17274344382581977,0.40555045008659363
synthetic_low_sparse,GCN,42,-0.27873163380426275,-0.35268890169574874,0.4841158986091614
synthetic_low_sparse,GCN,123,-0.32734921202179607,-0.3311705897896427,0.4951692521572113
synthetic_low_sparse,GCN,456,-0.28615720698835484,-0.2834014659116444,0.4885711669921875
synthetic_low_sparse,GraphSAGE,42,0.026974360367823975,0.03254542882525575,0.4841158986091614
synthetic_low_sparse,GraphSAGE,123,-0.09007940812248748,-0.054394926478613825,0.4951692521572113
synthetic_low_sparse,GraphSAGE,456,-0.021539682074305587,-0.018041288285375632,0.4885711669921875
