dataset,seed,defense,quintile,risk_lo,risk_hi,n_members,conf_auroc,tpr_at_0.01,mean_member_conf
Cora,42,none,1,0.026601513847708702,0.1758957952260971,163,0.6834401146553823,0.006134969325153374,0.9969688712453549
Cora,42,none,2,0.1758957952260971,0.2833876311779022,247,0.6664647982624363,0.0,0.9947857106262855
Cora,42,none,3,0.2833876311779022,0.3407166004180908,236,0.6851025869759143,0.01694915254237288,0.9959109776605994
Cora,42,none,4,0.3407166004180908,0.49837133288383484,204,0.610898375970887,0.014705882352941176,0.9917748327933106
Cora,42,none,5,0.49837133288383484,1.0,233,0.567869017472527,0.017167381974248927,0.9896693201535761
Cora,42,sami,1,0.026601513847708702,0.1758957952260971,163,0.7870689801675645,0.0,0.9015536051555576
Cora,42,sami,2,0.1758957952260971,0.2833876311779022,247,0.614186489022471,0.0,0.8180503053525873
Cora,42,sami,3,0.2833876311779022,0.3407166004180908,236,0.551330657151353,0.0,0.7793658652275355
Cora,42,sami,4,0.3407166004180908,0.49837133288383484,204,0.4401512682635381,0.0,0.709143010555496
Cora,42,sami,5,0.49837133288383484,1.0,233,0.3962526601119922,0.0,0.6585893067050317
Cora,123,none,1,0.0,0.15740743279457092,154,0.6776150903574726,0.0,0.9961527524056373
Cora,123,none,2,0.15740743279457092,0.26731082797050476,269,0.675136530428007,0.011152416356877323,0.9963211623266284
Cora,123,none,3,0.26731082797050476,0.30394527316093445,184,0.6834301858765908,0.04891304347826087,0.9959120870284413
Cora,123,none,4,0.30394527316093445,0.48711758852005005,255,0.6314829902413412,0.023529411764705882,0.9929082896195206
Cora,123,none,5,0.48711758852005005,1.0,221,0.524301943236276,0.01809954751131222,0.9850136505532588
Cora,123,sami,1,0.0,0.15740743279457092,154,0.8283597750356753,0.0,0.9158436812514564
Cora,123,sami,2,0.15740743279457092,0.26731082797050476,269,0.6673514641622644,0.0,0.8367058172721692
Cora,123,sami,3,0.26731082797050476,0.30394527316093445,184,0.6050699546348709,0.0,0.8015718081575542
Cora,123,sami,4,0.30394527316093445,0.48711758852005005,255,0.4923596400702479,0.0,0.7359858303760282
Cora,123,sami,5,0.48711758852005005,1.0,221,0.3965438721834355,0.0,0.638714257418148
Cora,456,none,1,0.0,0.1758957952260971,175,0.7054451919271865,0.011428571428571429,0.9969587053571428
Cora,456,none,2,0.1758957952260971,0.282193273305893,258,0.6852609389651199,0.03875968992248062,0.9961073336213134
Cora,456,none,3,0.282193273305893,0.319218248128891,192,0.6651998691905202,0.052083333333333336,0.9945227879409989
Cora,456,none,4,0.319218248128891,0.4625406861305237,239,0.6317025772976816,0.0041841004184100415,0.994172260851042
Cora,456,none,5,0.4625406861305237,1.0,219,0.5311265426242848,0.0045662100456621,0.985119430714002
Cora,456,sami,1,0.0,0.1758957952260971,175,0.7977364463791056,0.0,0.8957816207132542
Cora,456,sami,2,0.1758957952260971,0.282193273305893,258,0.6531920376215937,0.0,0.8257755865260407
Cora,456,sami,3,0.282193273305893,0.319218248128891,192,0.5909943444136657,0.0,0.7930104809164377
Cora,456,sami,4,0.319218248128891,0.4625406861305237,239,0.5274902738016589,0.0,0.7549917945682231
Cora,456,sami,5,0.4625406861305237,1.0,219,0.3742711139781682,0.0,0.6266734529298045
Actor,42,none,1,0.030913976952433586,0.36491939425468445,514,0.8387620315379889,0.005836575875486381,0.7040541924188342
Actor,42,none,2,0.36491939425468445,0.5128397703170777,702,0.8346104644624381,0.004273504273504274,0.6957056891873606
Actor,42,none,3,0.5128397703170777,0.5766129493713379,318,0.8296828450844089,0.012578616352201259,0.6862261976531279
