dataset,n_nodes,homophily,density,seed,n_shadows,acc,lira,tpr01,train_s,defense,family,hetero
ogbn-5k,5000,0.6860465407371521,3.784756951390278e-05,42,4,0.4185,0.5094045,0.0125,1.6025609970092773,none,subsample,False
ogbn-5k,5000,0.7086482048034668,4.7609521904380875e-05,123,4,0.4285,0.502507875,0.0055,1.644350290298462,none,subsample,False
ogbn-5k,5000,0.6403326392173767,3.8487697539507904e-05,456,4,0.423,0.50919875,0.011,1.5670440196990967,none,subsample,False
ogbn-10k,10000,0.6752896904945374,3.710371037103711e-05,42,4,0.44625,0.5037211875000001,0.01075,4.132518768310547,none,subsample,False
ogbn-10k,10000,0.6818290948867798,4.154415441544154e-05,123,4,0.45125,0.496386625,0.01725,3.3118340969085693,none,subsample,False
ogbn-10k,10000,0.6433084607124329,3.482348234823482e-05,456,4,0.4375,0.504420375,0.01275,3.2565410137176514,none,subsample,False
ogbn-20k,20000,0.6695880889892578,3.993699684984249e-05,42,4,0.45675,0.5020937968750001,0.010375,6.7183849811553955,none,subsample,False
ogbn-20k,20000,0.6623167395591736,4.348717435871793e-05,123,4,0.45775,0.504305796875,0.01275,6.641113996505737,none,subsample,False
ogbn-20k,20000,0.656136155128479,3.569178458922946e-05,456,4,0.45525,0.504054328125,0.009875,6.505523920059204,none,subsample,False
ogbn-50k,50000,0.6707484722137451,3.991759835196704e-05,42,4,0.47815,0.50127972,0.0105,18.217171907424927,none,subsample,False
ogbn-50k,50000,0.6584364175796509,4.1684033680673616e-05,123,4,0.4831,0.49978003749999994,0.0095,18.933500289916992,none,subsample,False
ogbn-50k,50000,0.6438145041465759,3.891757835156703e-05,456,4,0.4808,0.495693205,0.0089,21.305453062057495,none,subsample,False
